iter	Logloss
0	0.6907624626
1	0.6884321469
2	0.685798956
3	0.6834538865
4	0.6800308799
5	0.6779891921
6	0.6763175148
7	0.6737899018
8	0.6702596771
9	0.6669427422
10	0.6640409251
11	0.6611163387
12	0.6586407508
13	0.6570325583
14	0.6545709771
15	0.6517345034
16	0.6498170139
17	0.6481936215
18	0.6468704132
19	0.6446470614
20	0.641786408
21	0.6389118568
22	0.6365405768
23	0.634825264
24	0.6327408536
25	0.6307377809
26	0.6282206616
27	0.6256973014
28	0.6241015851
29	0.6228017411
30	0.6191480719
31	0.6164784635
32	0.6140375432
33	0.6119887655
34	0.6098856997
35	0.6090053154
36	0.6069020564
37	0.6049440509
38	0.6025473209
39	0.600086127
40	0.5980097713
41	0.5955753132
42	0.5933930112
43	0.5919535768
44	0.5907248553
45	0.5889360727
46	0.5855841151
47	0.5832809967
48	0.5820238161
49	0.5796992679
50	0.5777842823
51	0.5756362912
52	0.5739788421
53	0.5714087746
54	0.5702324581
55	0.5677981255
56	0.5653194804
57	0.5640431838
58	0.5606760255
59	0.5597319755
60	0.5582335691
61	0.5563981404
62	0.554841384
63	0.553563762
64	0.5512482773
65	0.5492100994
66	0.547144143
67	0.5452119686
68	0.5436311928
69	0.5424162176
70	0.5407945642
71	0.5386980455
72	0.5369727219
73	0.5346848847
74	0.5332814925
75	0.5313399336
76	0.5294771971
77	0.5271931392
78	0.5249173373
79	0.5230907745
80	0.5223396741
81	0.520940146
82	0.5194832457
83	0.5177346452
84	0.515219884
85	0.5139836398
86	0.5128929862
87	0.511673366
88	0.5098137439
89	0.5088880594
90	0.5076793304
91	0.5059590714
92	0.5045283916
93	0.5036307049
94	0.5026368883
95	0.5010336092
96	0.4994337033
97	0.4981008646
98	0.4971509301
99	0.4957052482
