iter	Passed	Remaining
0	0	57
1	1	52
2	1	50
3	2	49
4	2	48
5	3	50
6	3	49
7	4	48
8	4	47
9	5	46
10	5	45
11	6	44
12	6	44
13	7	43
14	7	43
15	8	42
16	8	42
17	9	41
18	9	41
19	10	40
20	10	39
21	11	39
22	11	38
23	12	38
24	12	37
25	13	37
26	13	36
27	14	36
28	14	35
29	15	36
30	16	35
31	16	35
32	17	35
33	17	34
34	18	34
35	19	34
36	20	34
37	20	33
38	21	33
39	21	32
40	22	31
41	22	31
42	23	30
43	23	30
44	24	29
45	24	28
46	25	28
47	25	27
48	26	27
49	26	26
50	27	26
51	28	26
52	28	25
53	29	25
54	30	25
55	31	24
56	32	24
57	32	23
58	33	23
59	33	22
60	34	21
61	34	21
62	35	20
63	35	20
64	36	19
65	36	18
66	37	18
67	37	17
68	38	17
69	38	16
70	39	16
71	39	15
72	40	14
73	40	14
74	41	13
75	41	13
76	42	12
77	42	12
78	43	11
79	44	11
80	44	10
81	45	9
82	45	9
83	46	8
84	46	8
85	47	7
86	47	7
87	48	6
88	48	6
89	49	5
90	49	4
91	50	4
92	50	3
93	51	3
94	51	2
95	52	2
96	52	1
97	53	1
98	53	0
99	54	0
