1:Date,2:Time,3:Temperature_Comedor_Sensor,4:Temperature_Habitacion_Sensor,5:Weather_Temperature,6:CO2_Comedor_Sensor,7:CO2_Habitacion_Sensor,8:Humedad_Comedor_Sensor,9:Humedad_Habitacion_Sensor,10:Lighting_Comedor_Sensor,11:Lighting_Habitacion_Sensor,12:Precipitacion,13:Meteo_Exterior_Crepusculo,14:Meteo_Exterior_Viento,15:Meteo_Exterior_Sol_Oest,16:Meteo_Exterior_Sol_Est,17:Meteo_Exterior_Sol_Sud,18:Meteo_Exterior_Piranometro,19:Exterior_Entalpic_1,20:Exterior_Entalpic_2,21:Exterior_Entalpic_turbo,22:Temperature_Exterior_Sensor,23:Humedad_Exterior_Sensor,24:Day_Of_Week
13/03/2012,11:45,18.1875,17.8275,0.0,216.56,221.92,39.9125,42.415,81.665,113.52,0.0,623.36,1.42625,9690.24,12604.2,95436.8,758.88,0,0,0,18.115,48.375,2.0
13/03/2012,12:00,18.4633,18.1207,6.8,219.947,220.363,39.9267,42.2453,81.7413,113.605,0.0,623.211,1.592,11022.0,10787.2,95436.8,762.069,0,0,0,18.4147,47.808,2.0
13/03/2012,12:15,18.7673,18.4367,17.0,219.403,218.933,39.772,42.2267,81.424,113.6,0.0,622.656,1.89133,13960.5,9669.63,95398.6,766.251,0,0,0,18.8533,47.432,2.0
13/03/2012,12:30,19.0727,18.7513,18.0,218.613,217.045,39.776,42.0987,81.5013,113.344,0.0,622.571,1.828,18511.2,9648.13,95360.3,766.037,0,0,0,19.2907,47.024,2.0
13/03/2012,12:45,19.3721,19.0414,20.0,217.714,216.08,39.7757,42.0686,81.4657,113.034,0.0,622.4,2.36071,26349.0,9208.32,95354.9,762.743,0,0,0,19.74,45.4743,2.0
13/03/2012,13:00,19.6407,19.2773,20.0,218.389,216.011,39.8107,42.0347,81.2427,113.6,0.0,622.4,2.06333,36511.7,8694.78,95354.9,752.683,0,0,0,20.166,45.5467,2.0
13/03/2012,13:15,19.912,19.5367,20.0,218.155,215.829,39.8613,41.9947,81.36,112.981,0.0,622.4,2.23067,49288.5,8501.25,95354.9,740.949,0,0,0,20.566,44.968,2.0
13/03/2012,13:30,20.164,19.7307,20.0,216.661,215.296,39.824,41.9947,81.024,111.259,0.0,621.803,1.924,62253.7,8687.62,95174.7,721.109,0,0,0,20.8427,45.1813,2.0
13/03/2012,13:45,20.412,19.9693,20.0,217.461,214.549,39.9587,42.1253,81.104,83.3547,0.0,620.651,2.51067,71453.4,8888.32,91848.7,699.392,0,0,0,21.204,45.416,2.0
13/03/2012,14:00,20.64,20.1407,20.0,215.349,213.909,39.94,42.0427,81.1813,83.36,0.0,620.309,2.65333,80076.8,9046.02,87217.5,677.675,0,0,0,21.5227,45.0213,2.0
13/03/2012,14:15,20.8453,20.3267,20.0,213.888,213.312,39.9813,42.1787,61.0693,83.6107,0.0,619.755,2.82667,86682.3,9182.21,81720.7,648.427,0,0,0,21.756,44.36,2.0
13/03/2012,14:30,21.0333,20.4713,20.0,215.413,213.739,40.3587,42.7067,51.2373,59.952,0.0,619.712,2.49467,88648.4,9347.07,75380.1,615.68,0,0,0,21.984,44.7947,2.0
13/03/2012,14:45,21.2333,20.9093,20.0,216.021,222.528,40.9107,41.5147,43.3733,52.824,0.0,619.328,2.466,91406.3,9712.64,68515.2,582.869,0,0,0,22.108,43.984,2.0
13/03/2012,15:00,21.4293,21.4253,19.6667,216.256,219.68,41.1987,40.956,36.2653,45.6747,0.0,619.243,2.432,90472.4,9963.52,60604.4,544.533,0,0,0,22.1373,44.5467,2.0
13/03/2012,15:15,21.488,21.8467,19.0,213.173,219.285,41.88,40.6347,34.476,40.16,0.0,619.157,1.732,88391.7,9655.3,52794.7,503.744,0,0,0,22.08,44.7813,2.0
13/03/2012,15:30,21.524,22.1573,18.6667,211.093,217.589,43.2213,40.8413,31.1267,32.248,0.0,618.944,1.89133,89134.4,8651.78,44743.3,460.523,0,0,0,21.9373,45.6773,2.0
13/03/2012,15:45,21.584,22.404,18.2,211.157,215.136,43.3653,40.8867,21.442,23.44,0.0,618.645,1.64267,88462.7,7906.3,36479.0,415.744,0,0,0,21.7067,45.5173,2.0
13/03/2012,16:00,21.612,22.7307,18.0,209.419,214.24,42.744,40.3867,20.822,23.44,0.0,618.56,1.59067,85333.3,7433.22,28270.6,368.917,0,0,0,21.4667,45.2373,2.0
13/03/2012,16:15,21.664,22.9373,18.0,209.408,213.632,42.216,39.9227,20.8233,23.44,0.0,618.56,1.732,84587.9,7175.17,21476.7,320.448,0,0,0,21.1773,45.0747,2.0
13/03/2012,16:30,21.6853,23.2,18.0,209.547,215.029,41.976,39.6133,21.2633,22.244,0.0,618.517,1.59,78588.6,6831.1,16318.5,271.723,0,0,0,20.9373,45.072,2.0
13/03/2012,16:45,21.788,23.436,18.0,212.715,217.067,41.52,39.084,20.4807,23.44,0.0,617.92,1.94733,74555.4,6515.71,12792.5,222.443,0,0,0,20.7107,44.128,2.0
13/03/2012,17:00,21.832,23.668,18.7333,212.405,216.661,41.3253,38.3013,20.742,22.784,0.0,617.792,1.564,65830.9,5899.26,10106.2,173.835,0,0,0,20.4627,43.2747,2.0
13/03/2012,17:15,21.808,23.852,19.0,212.064,216.672,40.8667,37.7867,20.84,23.5853,0.0,617.109,1.544,40424.4,4243.46,6537.22,101.244,0,0,0,20.2047,43.6107,2.0
