data,method,n_feats,acc,auc,f1
wine,mc,1,0.6979754207989503,0.8061904388179493,0.6979754207989503
wine,mc,2,0.8710990990990991,0.9613827320520902,0.8710990990990991
wine,mc,3,0.9098321851263027,0.9663636732123793,0.9098321851263027
wine,mc,4,0.9380752012516718,0.9871410490303347,0.9380752012516718
wine,mc,5,0.9646930123400711,0.9960725286694748,0.9646930123400711
wine,mc,6,0.977493602846544,0.9970871084191477,0.977493602846544
wine,mc,7,0.9719389809978045,0.9973723530322909,0.9719389809978045
wine,mc,8,0.9679839503368914,0.9966525100043734,0.9679839503368914
wine,mc,9,0.9634052792288086,0.9968170307761406,0.9634052792288086
wine,mc,10,0.9617076488252959,0.9964006119580135,0.9617076488252959
wine,mc,11,0.963881318293083,0.995680351078643,0.963881318293083
wine,mc,12,0.9813533197062607,0.9984415317927222,0.9813533197062607
wine,mc,13,0.9757651601181012,0.997878229258664,0.9757651601181012
wine,mi,1,0.6979754207989503,0.8061904388179493,0.6979754207989503
wine,mi,2,0.8710990990990991,0.9613827320520902,0.8710990990990991
wine,mi,3,0.9449784742725921,0.993283113958735,0.944978474272592
wine,mi,4,0.9521732404673582,0.9935125733671282,0.952173240467358
wine,mi,5,0.9646930123400711,0.9960725286694748,0.9646930123400711
wine,mi,6,0.977493602846544,0.9970871084191477,0.977493602846544
wine,mi,7,0.9719389809978045,0.9973723530322909,0.9719389809978045
wine,mi,8,0.9679839503368914,0.9966525100043734,0.9679839503368914
wine,mi,9,0.9617695005930301,0.9957806894642817,0.9617695005930301
wine,mi,10,0.9617076488252959,0.9964006119580135,0.9617076488252959
wine,mi,11,0.9646284351578469,0.9964865096409611,0.9646284351578469
wine,mi,12,0.9617403285638579,0.9953022257762942,0.9617403285638579
wine,mi,13,0.9757651601181012,0.997878229258664,0.9757651601181012
wine,hybrid,1,0.6979754207989503,0.8061904388179493,0.6979754207989503
wine,hybrid,2,0.8710990990990991,0.9613827320520902,0.8710990990990991
wine,hybrid,3,0.9098321851263027,0.9663636732123793,0.9098321851263027
wine,hybrid,4,0.9380752012516718,0.9871410490303347,0.9380752012516718
wine,hybrid,5,0.9646930123400711,0.9960725286694748,0.9646930123400711
wine,hybrid,6,0.977493602846544,0.9970871084191477,0.977493602846544
wine,hybrid,7,0.9719389809978045,0.9973723530322909,0.9719389809978045
wine,hybrid,8,0.9679839503368914,0.9966525100043734,0.9679839503368914
wine,hybrid,9,0.9634052792288086,0.9968170307761406,0.9634052792288086
wine,hybrid,10,0.9617076488252959,0.9964006119580135,0.9617076488252959
wine,hybrid,11,0.963881318293083,0.995680351078643,0.963881318293083
wine,hybrid,12,0.9813533197062607,0.9984415317927222,0.9813533197062607
wine,hybrid,13,0.9757651601181012,0.997878229258664,0.9757651601181012
wine,rf,1,0.6055085169202815,0.7772161124991872,0.6055085169202815
wine,rf,2,0.8791841421253187,0.9698158509958716,0.8791841421253187
wine,rf,3,0.9449784742725921,0.993283113958735,0.944978474272592
wine,rf,4,0.9521732404673582,0.9935125733671282,0.952173240467358
wine,rf,5,0.9646930123400711,0.9960725286694748,0.9646930123400711
wine,rf,6,0.977493602846544,0.9970871084191477,0.977493602846544
wine,rf,7,0.9719389809978045,0.9973723530322909,0.9719389809978045
wine,rf,8,0.9723329295682237,0.9972519160886655,0.9723329295682237
wine,rf,9,0.9661829055946705,0.9971018447123002,0.9661829055946705
wine,rf,10,0.9686145052615641,0.9966840938756054,0.9686145052615641
wine,rf,11,0.9646284351578469,0.9964865096409611,0.9646284351578469
wine,rf,12,0.977539505892447,0.9983273321839574,0.977539505892447
wine,rf,13,0.9757651601181012,0.997878229258664,0.9757651601181012
wine,et,1,0.6343487016428193,0.8002797665939229,0.6343487016428193
wine,et,2,0.7748827314709669,0.871963784888526,0.7748827314709669
wine,et,3,0.9291501249148307,0.9867269828687529,0.9291501249148307
wine,et,4,0.9380752012516718,0.9871410490303347,0.9380752012516718
wine,et,5,0.9646930123400711,0.9960725286694748,0.9646930123400711
wine,et,6,0.977493602846544,0.9970871084191477,0.977493602846544
wine,et,7,0.9719389809978045,0.9973723530322909,0.9719389809978045
wine,et,8,0.9679839503368914,0.9966525100043734,0.9679839503368914
wine,et,9,0.9617695005930301,0.9957806894642817,0.9617695005930301
wine,et,10,0.9639669922022863,0.9958782513456945,0.9639669922022863
wine,et,11,0.9646284351578469,0.9964865096409611,0.9646284351578469
wine,et,12,0.9617403285638579,0.9953022257762942,0.9617403285638579
wine,et,13,0.9757651601181012,0.997878229258664,0.9757651601181012
wine,dt,1,0.6055085169202815,0.7772161124991872,0.6055085169202815
wine,dt,2,0.7306330027506498,0.8376014605592246,0.7306330027506498
wine,dt,3,0.9061341509576802,0.9757206242553551,0.9061341509576802
wine,dt,4,0.9004716733540261,0.9711819529695823,0.9004716733540261
wine,dt,5,0.9222512680747975,0.9808326564643852,0.9222512680747975
wine,dt,6,0.9532711282711283,0.9920428142634146,0.9532711282711283
wine,dt,7,0.9464579453402984,0.9917965874494342,0.9464579453402984
wine,dt,8,0.9555251722310546,0.9916351694352731,0.9555251722310546
wine,dt,9,0.9588955510131981,0.9919885355481111,0.9588955510131981
wine,dt,10,0.9578488656723951,0.9912228471436546,0.9578488656723951
wine,dt,11,0.9521432104373281,0.9907987449020575,0.9521432104373281
wine,dt,12,0.9680447926918514,0.9971037459224311,0.9680447926918514
wine,dt,13,0.9757651601181012,0.997878229258664,0.9757651601181012
wine,ct_es_1_vm_1_alpha_0.01_select_mc,1,0.4106427940545587,0.5950383381025462,0.4106427940545587
wine,ct_es_1_vm_1_alpha_0.01_select_mc,2,0.697344537815126,0.8239672329300175,0.697344537815126
wine,ct_es_1_vm_1_alpha_0.01_select_mc,3,0.864001438413203,0.9442582861602012,0.8640014384132032
wine,ct_es_1_vm_1_alpha_0.01_select_mc,4,0.8797582456405986,0.9445326080885605,0.8797582456405986
wine,ct_es_1_vm_1_alpha_0.01_select_mc,5,0.9346420369949783,0.9887141806874208,0.9346420369949783
wine,ct_es_1_vm_1_alpha_0.01_select_mc,6,0.9336907411613293,0.9901025622889493,0.9336907411613293
wine,ct_es_1_vm_1_alpha_0.01_select_mc,7,0.9308045019809725,0.9897067015091341,0.9308045019809725
wine,ct_es_1_vm_1_alpha_0.01_select_mc,8,0.951842859666389,0.9927256020300534,0.951842859666389
wine,ct_es_1_vm_1_alpha_0.01_select_mc,9,0.9650595048830344,0.9954056902916116,0.9650595048830344
wine,ct_es_1_vm_1_alpha_0.01_select_mc,10,0.9629450374744494,0.9956152934003348,0.9629450374744494
wine,ct_es_1_vm_1_alpha_0.01_select_mc,11,0.9601019002195473,0.9962315574158225,0.9601019002195473
wine,ct_es_1_vm_1_alpha_0.01_select_mc,12,0.9820068387715448,0.9978980805273249,0.9820068387715448
wine,ct_es_1_vm_1_alpha_0.01_select_mc,13,0.9757651601181012,0.997878229258664,0.9757651601181012
wine,cf_es_1_vm_1_alpha_0.01_select_mc,1,0.6055085169202815,0.7772161124991872,0.6055085169202815
wine,cf_es_1_vm_1_alpha_0.01_select_mc,2,0.7841082090493855,0.9076325661762515,0.7841082090493855
wine,cf_es_1_vm_1_alpha_0.01_select_mc,3,0.9090054508289802,0.9779192013722036,0.9090054508289802
wine,cf_es_1_vm_1_alpha_0.01_select_mc,4,0.9495870997047469,0.9925318479695292,0.9495870997047469
wine,cf_es_1_vm_1_alpha_0.01_select_mc,5,0.9646930123400711,0.9960725286694748,0.9646930123400711
wine,cf_es_1_vm_1_alpha_0.01_select_mc,6,0.977493602846544,0.9970871084191477,0.977493602846544
wine,cf_es_1_vm_1_alpha_0.01_select_mc,7,0.9719389809978045,0.9973723530322909,0.9719389809978045
wine,cf_es_1_vm_1_alpha_0.01_select_mc,8,0.9629017841370782,0.9969287770717894,0.9629017841370782
wine,cf_es_1_vm_1_alpha_0.01_select_mc,9,0.9617695005930301,0.9957806894642817,0.9617695005930301
wine,cf_es_1_vm_1_alpha_0.01_select_mc,10,0.9617076488252959,0.9964006119580135,0.9617076488252959
wine,cf_es_1_vm_1_alpha_0.01_select_mc,11,0.9825111918641329,0.99815238283877,0.9825111918641329
