data,method,n_feats,acc,auc,f1
wine,r_cf_alpha_0.99,1,0.6979754207989503,0.8061904388179493,0.6979754207989503
wine,r_cf_alpha_0.99,2,0.7603478688772806,0.8369634175750637,0.7603478688772806
wine,r_cf_alpha_0.99,3,0.9098321851263027,0.9663636732123793,0.9098321851263027
wine,r_cf_alpha_0.99,4,0.9160783809019103,0.9622410974655281,0.9160783809019103
wine,r_cf_alpha_0.99,5,0.9348123501652914,0.9843756888288461,0.9348123501652914
wine,r_cf_alpha_0.99,6,0.9607404799757739,0.9949745661420092,0.9607404799757739
wine,r_cf_alpha_0.99,7,0.9719389809978045,0.9973723530322909,0.9719389809978045
wine,r_cf_alpha_0.99,8,0.9629017841370782,0.9969287770717894,0.9629017841370782
wine,r_cf_alpha_0.99,9,0.9701734171145937,0.9972246968869639,0.9701734171145937
wine,r_cf_alpha_0.99,10,0.9617076488252959,0.9964006119580135,0.9617076488252959
wine,r_cf_alpha_0.99,11,0.9646284351578469,0.9964865096409611,0.9646284351578469
wine,r_cf_alpha_0.99,12,0.9617403285638579,0.9953022257762942,0.9617403285638579
wine,r_cf_alpha_0.99,13,0.9757651601181012,0.997878229258664,0.9757651601181012
wine,r_cf_alpha_0.95,1,0.6979754207989503,0.8061904388179493,0.6979754207989503
wine,r_cf_alpha_0.95,2,0.7603478688772806,0.8369634175750637,0.7603478688772806
wine,r_cf_alpha_0.95,3,0.9098321851263027,0.9663636732123793,0.9098321851263027
wine,r_cf_alpha_0.95,4,0.9160783809019103,0.9622410974655281,0.9160783809019103
wine,r_cf_alpha_0.95,5,0.9348123501652914,0.9843756888288461,0.9348123501652914
wine,r_cf_alpha_0.95,6,0.9450155954273601,0.992422911012766,0.9450155954273601
wine,r_cf_alpha_0.95,7,0.9719389809978045,0.9973723530322909,0.9719389809978045
wine,r_cf_alpha_0.95,8,0.9723329295682237,0.9972519160886655,0.9723329295682237
wine,r_cf_alpha_0.95,9,0.9711900724253665,0.9965875279118549,0.9711900724253665
wine,r_cf_alpha_0.95,10,0.9673294218588335,0.9961864344324489,0.9673294218588335
wine,r_cf_alpha_0.95,11,0.963881318293083,0.995680351078643,0.963881318293083
wine,r_cf_alpha_0.95,12,0.9617403285638579,0.9953022257762942,0.9617403285638579
wine,r_cf_alpha_0.95,13,0.9757651601181012,0.997878229258664,0.9757651601181012
wine,r_cf_alpha_0.05,1,0.6979754207989503,0.8061904388179493,0.6979754207989503
wine,r_cf_alpha_0.05,2,0.7603478688772806,0.8369634175750637,0.7603478688772806
wine,r_cf_alpha_0.05,3,0.9098321851263027,0.9663636732123793,0.9098321851263027
wine,r_cf_alpha_0.05,4,0.9160783809019103,0.9622410974655281,0.9160783809019103
wine,r_cf_alpha_0.05,5,0.9348123501652914,0.9843756888288461,0.9348123501652914
wine,r_cf_alpha_0.05,6,0.9607404799757739,0.9949745661420092,0.9607404799757739
wine,r_cf_alpha_0.05,7,0.9719389809978045,0.9973723530322909,0.9719389809978045
wine,r_cf_alpha_0.05,8,0.9723329295682237,0.9972519160886655,0.9723329295682237
wine,r_cf_alpha_0.05,9,0.9701734171145937,0.9972246968869639,0.9701734171145937
wine,r_cf_alpha_0.05,10,0.9617076488252959,0.9964006119580135,0.9617076488252959
