,cf,ct,dt,et,hy,mc,mi,r_cf,rf
wine_mean,0.9393192442604206,0.9179456372985785,0.9025346490640606,0.922033594033594,0.9342464753052988,0.9342464753052988,0.9364574503398033,0.9213371982195512,0.9323871855048326
wine_sd,0.07658990885343336,0.08816928976824413,0.10948500970812235,0.1015861505818222,0.07756932312761075,0.07756932312761075,0.07662422113223347,0.0882582732440143,0.10160502240823842
wine_best,0.9825111918641328,0.9847714689479394,0.9757651601181012,0.9774936028465441,0.9813533197062608,0.9813533197062608,0.9774936028465441,0.9757651601181012,0.9775395058924471
wine_loc_best,0.8461538461538461,0.8461538461538461,1.0,0.46153846153846156,0.9230769230769231,0.9230769230769231,0.46153846153846156,1.0,0.9230769230769231
orlraws10P_mean,0.9040000000000001,0.7813,0.7485499999999999,0.8363999999999999,0.46529999999999994,0.6868999999999998,0.44749999999999995,0.8382999999999999,0.87705
orlraws10P_sd,0.07894101728839269,0.04022319309997524,0.025679143697807195,0.1387991354439933,0.15503856905537036,0.16649984984978217,0.150998257222428,0.11441710398454645,0.0986073953669431
orlraws10P_best,0.953,0.8240000000000001,0.8130000000000001,0.9489999999999998,0.654,0.8099999999999999,0.624,0.9239999999999998,0.938
orlraws10P_loc_best,0.8,0.2,0.1,0.95,1.0,0.7,0.75,1.0,0.9
glass_mean,0.8487643880667136,0.817484831705762,0.8411211718514042,0.8252464008859357,0.8460523591395684,0.8401924829692271,0.8266105070639955,0.848084749488238,0.8340975905231719
glass_sd,0.0695629282337234,0.07748225917957043,0.06786315231512315,0.06776127516472989,0.068687028323908,0.06514859515421134,0.07120632090250731,0.06926345168994065,0.06908852590155484
glass_best,0.8939481861807443,0.8895764790764791,0.8895764790764791,0.8939481861807443,0.8939481861807443,0.8883324943790061,0.8939481861807443,0.8929467767374744,0.8939481861807443
glass_loc_best,0.8,0.9,0.9,0.8,0.8,0.6,0.8,0.4,0.8
warpPIE10P_mean,0.9613349999999998,0.942325,0.9488199999999999,0.9355,0.910925,0.94368,0.8954650000000001,0.9224800000000002,0.945525
warpPIE10P_sd,0.07209182211450528,0.0903403207467827,0.08228233550916081,0.08558534060407653,0.11120713662729613,0.0792304075067408,0.11495287489823135,0.129618649567836,0.07369735319820553
warpPIE10P_best,0.9966,0.9841,0.9791,0.9742,0.9746,0.9792,0.9608,0.9889,0.9774
warpPIE10P_loc_best,0.95,1.0,0.65,0.9,0.85,0.95,0.95,1.0,0.95
warpAR10P_mean,0.8810666666666668,0.8350833333333332,0.8314499999999999,0.8485166666666666,0.8025499999999999,0.7474166666666667,0.7961166666666667,0.7556499999999999,0.8685499999999999
warpAR10P_sd,0.089126665892422,0.08788574953176559,0.0774827862414788,0.13077186398211482,0.14674369089917783,0.1783072410818535,0.11188848223182025,0.14145561058537717,0.11952543955892564
warpAR10P_best,0.9396666666666668,0.9023333333333332,0.8836666666666666,0.93,0.9096666666666668,0.8886666666666667,0.8646666666666667,0.8713333333333333,0.9273333333333332
warpAR10P_loc_best,1.0,0.35,0.4,0.9,0.9,0.85,0.7,1.0,0.85
pixraw10P_mean,0.95015,0.9053999999999999,0.8741999999999999,0.91985,0.52425,0.58505,0.5693500000000001,0.8933500000000001,0.9698500000000001
pixraw10P_sd,0.03418875623112928,0.03340879178331735,0.014827428353526026,0.058281779223644845,0.05060983366064242,0.17148130940042478,0.06733988807768981,0.09852131749017567,0.010653761381734987
pixraw10P_best,0.987,0.93,0.8959999999999999,0.9670000000000001,0.5940000000000001,0.7440000000000001,0.6689999999999999,0.954,0.98
pixraw10P_loc_best,0.7,0.7,0.1,0.9,0.85,0.6,0.8,0.95,0.95
ALLAML_mean,0.9462952380952381,0.871509523809524,0.8294523809523809,0.9568952380952382,0.9455761904761903,0.9455761904761903,0.9526714285714286,0.9589571428571431,0.9543380952380955
ALLAML_sd,0.011703783217065979,0.033793575609521245,0.05983094993991401,0.007855139108059775,0.01693348824747092,0.01693348824747092,0.006434739452566284,0.009392756208738806,0.00908384647919708
ALLAML_best,0.964095238095238,0.9137142857142856,0.8883809523809523,0.9819047619047621,0.963809523809524,0.963809523809524,0.9664761904761904,0.9721904761904762,0.9666666666666668
ALLAML_loc_best,0.45,0.75,0.75,0.05,0.5,0.5,0.05,0.75,0.95
