,cf,ct,dt,et,hy,mc,mi,r_cf,rf
wine_mean,0.9793503892186306,0.9760726756293465,0.9605399600515981,0.9703555376148245,0.976421549854017,0.976421549854017,0.9787232018784155,0.9654734038301744,0.9775453512847684
wine_sd,0.05432442892346607,0.05327510187945429,0.06951644156730206,0.06145077491520728,0.05260990766725247,0.05260990766725247,0.05273140179559793,0.06477321150602003,0.06065861147325198
wine_best,0.9983273321839574,0.9982469281408722,0.9978782292586641,0.9978782292586641,0.9984415317927222,0.9984415317927222,0.9978782292586641,0.9978782292586641,0.9983273321839574
wine_loc_best,0.9230769230769231,0.7692307692307693,1.0,1.0,0.9230769230769231,0.9230769230769231,1.0,1.0,0.9230769230769231
orlraws10P_mean,0.9806194444444444,0.9522722222222221,0.9381222222222222,0.9645027777777777,0.8497305555555557,0.9249166666666667,0.8396555555555556,0.9605694444444446,0.9726833333333333
orlraws10P_sd,0.0229904369968764,0.011942382522967764,0.007689401835305239,0.039366005836629706,0.07356489727741077,0.06610666971173837,0.07856341639950033,0.04756173743432086,0.03732370777124602
orlraws10P_best,0.9933333333333334,0.9652777777777776,0.9569444444444444,0.9940555555555556,0.9365,0.9678888888888888,0.9213888888888888,0.9875555555555556,0.9915555555555556
orlraws10P_loc_best,0.95,0.4,0.1,0.95,1.0,0.7,1.0,0.65,1.0
glass_mean,0.8966776440691298,0.8923735952114569,0.8938183923486402,0.8859426529973247,0.8948225355063706,0.8941678531095171,0.8831012467828048,0.8957445228017515,0.8867306658808909
glass_sd,0.04623231411339396,0.044190657845415586,0.04043649569566014,0.04606578517306689,0.045465453299656455,0.045107553969639835,0.044836692422680555,0.04580566310877982,0.04967186210047366
glass_best,0.922318561824966,0.920410167351542,0.9201152533044828,0.9204597568611512,0.9222531244834048,0.9222531244834048,0.9204597568611512,0.922318561824966,0.9204597568611512
glass_loc_best,0.4,0.6,0.9,0.8,0.6,0.6,0.8,0.4,0.8
warpPIE10P_mean,0.9930893888888891,0.9864798333333333,0.9866892499999999,0.9842195277777777,0.9760603611111112,0.989641777777778,0.9671636666666666,0.9797913333333332,0.9867864444444443
warpPIE10P_sd,0.019832349411192815,0.028181969459830633,0.03518337635739742,0.028127811041832554,0.030930077711208682,0.022428214178018584,0.039088980791410245,0.04214595564972195,0.023234493152214153
warpPIE10P_best,0.9997394444444444,0.999272222222222,0.9984472222222222,0.9967688888888888,0.994705,0.9978544444444444,0.9895861111111112,0.9982944444444444,0.9967022222222224
warpPIE10P_loc_best,0.9,0.95,0.95,0.95,1.0,0.45,1.0,1.0,1.0
warpAR10P_mean,0.9810348765432098,0.9721351851851852,0.9682228395061729,0.9686891975308642,0.9511947530864194,0.9306157407407406,0.9467873456790125,0.9443867283950617,0.9754802469135802
warpAR10P_sd,0.020979497447419088,0.027732385111668718,0.030588771721375026,0.0462723639799297,0.050952208449144436,0.08581387337964724,0.03215073855499614,0.051933093950414025,0.04820055916865047
warpAR10P_best,0.9942839506172838,0.987783950617284,0.9824691358024692,0.991432098765432,0.9860493827160492,0.98629012345679,0.9686049382716049,0.9834506172839506,0.9931913580246916
warpAR10P_loc_best,1.0,0.85,0.45,0.9,0.55,0.95,0.7,0.9,0.85
pixraw10P_mean,0.9901694444444444,0.9787972222222223,0.9747111111111112,0.9851277777777778,0.8410694444444445,0.8711305555555556,0.862661111111111,0.9748888888888887,0.9967166666666666
pixraw10P_sd,0.006263944158934629,0.010706648311384764,0.007274140870653272,0.018021015996437545,0.024775954322802347,0.10709102815929876,0.03058665562421303,0.037719485470318226,0.00160144306269094
pixraw10P_best,0.9984444444444444,0.9872777777777776,0.9897777777777778,0.9963888888888888,0.8718333333333333,0.9397222222222222,0.9079444444444444,0.9945,0.9992777777777776
pixraw10P_loc_best,0.9,0.3,0.25,0.35,1.0,0.6,0.9,1.0,0.95
ALLAML_mean,0.9849822222222222,0.9448066666666668,0.8998266666666668,0.9951511111111113,0.9876711111111112,0.9876711111111112,0.9951999999999999,0.9953066666666665,0.994417777777778
ALLAML_sd,0.009682383136907776,0.03859125071280986,0.06389017689014434,0.002009407374999018,0.012992248601250679,0.012992248601250679,0.001385340496447759,0.002993513455292563,0.00412608053857248
ALLAML_best,0.9941777777777778,0.9772444444444446,0.9640444444444444,0.9995555555555556,0.9973777777777778,0.9973777777777778,0.9978222222222224,0.9987111111111112,0.9979111111111112
ALLAML_loc_best,0.45,0.7,0.75,0.05,0.95,0.95,0.2,0.45,0.2
CLL_SUB_111_mean,0.8408676453338731,0.794317597347422,0.8530669091629619,0.8823293501657536,0.7375269639554728,0.7375269639554728,0.8275019566852901,0.8559976582222195,0.8754579972496639
CLL_SUB_111_sd,0.04961273560156337,0.031761903267148235,0.014236693467904281,0.023167137976637102,0.017139632575175572,0.017139632575175572,0.01983984103330672,0.03858167549887168,0.014431978218093198
CLL_SUB_111_best,0.8876269779603113,0.8302102715348331,0.8773395525851665,0.917250089416756,0.7616625966625967,0.7616625966625967,0.8585566470566469,0.9042377622377622,0.9053505568505568
CLL_SUB_111_loc_best,0.6,0.1,0.1,1.0,0.65,0.65,0.85,0.85,1.0
ORL_mean,0.9764746794871796,0.9742589743589744,0.9719403846153846,0.9602392628205128,0.9345336538461538,0.9401650641025642,0.9346623397435898,0.9571099358974358,0.9694977564102565
ORL_sd,0.03866067518308214,0.03384649634776916,0.046400672485789086,0.056668671136589466,0.06170121774472142,0.07456818867952975,0.06152215234107933,0.04087198513946055,0.04837275779450741
