data,method,n_feats,mse,r2
coepra1,r_cf_alpha_0.99,5,0.6274369296688528,0.45235157478255356
coepra1,r_cf_alpha_0.99,10,0.5054177045752689,0.5456591774986633
coepra1,r_cf_alpha_0.99,15,0.5124552596236489,0.5387008823121043
coepra1,r_cf_alpha_0.99,20,0.5082176481177371,0.5393410854215178
coepra1,r_cf_alpha_0.99,25,0.514877681390078,0.5296598603913002
coepra1,r_cf_alpha_0.99,30,0.5263737823242775,0.5201459188059726
coepra1,r_cf_alpha_0.99,35,0.5294955915890867,0.5176423898660636
coepra1,r_cf_alpha_0.99,40,0.521279234234026,0.5253131048328991
coepra1,r_cf_alpha_0.99,45,0.5275280843794111,0.5204642299525685
coepra1,r_cf_alpha_0.99,50,0.5370469369700344,0.5145155337643631
coepra1,r_cf_alpha_0.99,55,0.5307054703458011,0.5324230312048399
coepra1,r_cf_alpha_0.99,60,0.526216717262823,0.5340446185119587
coepra1,r_cf_alpha_0.99,65,0.5285661725921018,0.5319008000410559
coepra1,r_cf_alpha_0.99,70,0.5758144057766431,0.5044392506657835
coepra1,r_cf_alpha_0.99,75,0.6417892932423237,0.4918090006477648
coepra1,r_cf_alpha_0.99,80,0.6504199767457995,0.4934167609514121
coepra1,r_cf_alpha_0.99,85,0.6238157826987318,0.490837815804658
coepra1,r_cf_alpha_0.99,90,0.6594474553424501,0.4905457872334094
coepra1,r_cf_alpha_0.99,95,0.6461418231084268,0.5037944613534792
coepra1,r_cf_alpha_0.99,100,0.6425663956850057,0.5023429370413541
coepra1,r_cf_alpha_0.95,5,0.5444881708254151,0.510258324110393
coepra1,r_cf_alpha_0.95,10,0.5253790871131163,0.5256925482312678
coepra1,r_cf_alpha_0.95,15,0.4993767878439893,0.5525671731938746
coepra1,r_cf_alpha_0.95,20,0.5081360156576219,0.5500668349393896
coepra1,r_cf_alpha_0.95,25,0.5089949241091938,0.5479179022205878
coepra1,r_cf_alpha_0.95,30,0.5136887553978638,0.5351930622247791
coepra1,r_cf_alpha_0.95,35,0.532328833094243,0.5215825203280026
coepra1,r_cf_alpha_0.95,40,0.5400169422373862,0.5163498541605739
coepra1,r_cf_alpha_0.95,45,0.5620362292391082,0.4997311538625905
coepra1,r_cf_alpha_0.95,50,0.5933009410568583,0.47456689632851523
coepra1,r_cf_alpha_0.95,55,0.5444599279363671,0.5216675974848105
coepra1,r_cf_alpha_0.95,60,0.5381320196368798,0.5275629946475463
coepra1,r_cf_alpha_0.95,65,0.5481818680670909,0.5172872598588871
coepra1,r_cf_alpha_0.95,70,0.5436168069545941,0.524059912028204
coepra1,r_cf_alpha_0.95,75,0.5110289681919159,0.542476044545227
coepra1,r_cf_alpha_0.95,80,0.5213339802200746,0.5349054739135577
coepra1,r_cf_alpha_0.95,85,0.5258515530707527,0.534917936020493
coepra1,r_cf_alpha_0.95,90,0.5262215644027222,0.5352059511361217
coepra1,r_cf_alpha_0.95,95,0.5216767335739778,0.538082413695576
coepra1,r_cf_alpha_0.95,100,0.5193297325130833,0.5413742477653606
coepra1,r_cf_alpha_0.05,5,0.7488755445174184,0.31654337355361656
coepra1,r_cf_alpha_0.05,10,0.517834765766056,0.5244519216015203
coepra1,r_cf_alpha_0.05,15,0.5356297387375769,0.515866045851056
coepra1,r_cf_alpha_0.05,20,0.5489346482375096,0.5007889597894384
coepra1,r_cf_alpha_0.05,25,0.5265066879194497,0.519860121579099
coepra1,r_cf_alpha_0.05,30,0.5513308521181332,0.5131445457796385
coepra1,r_cf_alpha_0.05,35,0.551470686528915,0.5113877142159107
coepra1,r_cf_alpha_0.05,40,0.539563710513638,0.5177946933779636
coepra1,r_cf_alpha_0.05,45,0.5488854568082531,0.5106615589396648
coepra1,r_cf_alpha_0.05,50,0.5565736056712913,0.5002615048093071
coepra1,r_cf_alpha_0.05,55,0.569612501885955,0.4890068231425345
coepra1,r_cf_alpha_0.05,60,0.5867014779634545,0.47716226921689675
coepra1,r_cf_alpha_0.05,65,0.5656967322526301,0.49739043577913866
coepra1,r_cf_alpha_0.05,70,0.5669907718599918,0.5001600698828318
coepra1,r_cf_alpha_0.05,75,0.5928195161701652,0.48073677637324896
coepra1,r_cf_alpha_0.05,80,0.5988651827891168,0.4768918162856495
coepra1,r_cf_alpha_0.05,85,0.6041723966124909,0.4747820129337318
coepra1,r_cf_alpha_0.05,90,0.5516012662774412,0.5264871187447848
coepra1,r_cf_alpha_0.05,95,0.5562143752084381,0.5214100931068879
coepra1,r_cf_alpha_0.05,100,0.5238087341723123,0.5744301035694386
coepra1,r_cf_alpha_0.01,5,0.5320622218684024,0.5178006786704734
coepra1,r_cf_alpha_0.01,10,0.4726922587841564,0.5708699190234438
coepra1,r_cf_alpha_0.01,15,0.472709043623566,0.5704033451593471
coepra1,r_cf_alpha_0.01,20,0.4866062835256074,0.5574004481891809
coepra1,r_cf_alpha_0.01,25,0.5025921429999171,0.5415881905326603
coepra1,r_cf_alpha_0.01,30,0.5074568799024578,0.5346899519821607
coepra1,r_cf_alpha_0.01,35,0.4910829115017739,0.5478730520243925
coepra1,r_cf_alpha_0.01,40,0.5113738851530215,0.5285884802971743
coepra1,r_cf_alpha_0.01,45,0.5211596686628607,0.5217546236949889
coepra1,r_cf_alpha_0.01,50,0.5269844543525927,0.516299266300165
coepra1,r_cf_alpha_0.01,55,0.5339201982534193,0.5122935038206711
coepra1,r_cf_alpha_0.01,60,0.5515225540473597,0.498668238622479
coepra1,r_cf_alpha_0.01,65,0.5812358447162673,0.47592779280687314
coepra1,r_cf_alpha_0.01,70,0.590888189610318,0.4693067788601962
coepra1,r_cf_alpha_0.01,75,0.5948728724324361,0.4678054237602158
coepra1,r_cf_alpha_0.01,80,0.5926762941507046,0.4645715172447266
coepra1,r_cf_alpha_0.01,85,0.5913702497872101,0.46725487480179206
coepra1,r_cf_alpha_0.01,90,0.608254699487269,0.45841260178311555
coepra1,r_cf_alpha_0.01,95,0.6088826809481127,0.45274536525468506
coepra1,r_cf_alpha_0.01,100,0.5857628931816378,0.4652472940168953
coepra2,r_cf_alpha_0.99,5,0.3172447704026087,0.5243996236763036
coepra2,r_cf_alpha_0.99,10,0.6635362452367018,0.4410969389112104
coepra2,r_cf_alpha_0.99,15,0.7404981673197342,0.4769836969429653
