data,method,n_feats,mse,r2
coepra1,pearson,5,0.7515063624509348,0.3119763706286908
coepra1,pearson,10,0.7487099038680036,0.3134445531679225
coepra1,pearson,15,0.7460347404479287,0.31520866607933684
coepra1,pearson,20,0.7495579054087221,0.31147870160405905
coepra1,pearson,25,0.7548436221435371,0.3057013156412789
coepra1,pearson,30,0.5452377679457877,0.5035675600526274
coepra1,pearson,35,0.5499135561362362,0.4985726215368295
coepra1,pearson,40,0.5558055495274196,0.4966222974146494
coepra1,pearson,45,0.5589140075246808,0.4960906511769637
coepra1,pearson,50,0.5628512599635312,0.4951390156631369
coepra1,pearson,55,0.5658380490132339,0.4926116292245573
coepra1,pearson,60,0.5706718384560909,0.4905880581332795
coepra1,pearson,65,0.5756232933729707,0.4894429736093355
coepra1,pearson,70,0.5779486497743339,0.4874719171794606
coepra1,pearson,75,0.5798406569567057,0.48658014353753376
coepra1,pearson,80,0.5811364646893595,0.48634346193991174
coepra1,pearson,85,0.5837507451678177,0.48488759653666114
coepra1,pearson,90,0.5860976830227393,0.48377427980380727
coepra1,pearson,95,0.6042107594293448,0.46901495334663
coepra1,pearson,100,0.608857752023581,0.4667836278599782
coepra1,distance,5,0.7379726520495357,0.3266092052438583
coepra1,distance,10,0.7404107381457983,0.32128305997248885
coepra1,distance,15,0.744421193574948,0.3170014176416389
coepra1,distance,20,0.7546360268404084,0.3063688543911701
coepra1,distance,25,0.761191134198513,0.2996109787013022
coepra1,distance,30,0.7678726320919107,0.2956590101444219
coepra1,distance,35,0.7694601011795248,0.295407624746644
coepra1,distance,40,0.7763884311339391,0.2919621136520822
coepra1,distance,45,0.7805979305105217,0.28837660157514045
coepra1,distance,50,0.7876291072792324,0.2830090095012151
coepra1,distance,55,0.7899468883075748,0.2815130551884586
coepra1,distance,60,0.7932808812405576,0.28222480495672153
coepra1,distance,65,0.7959470103461846,0.2807509769673485
coepra1,distance,70,0.7990220537939657,0.28033380933076557
coepra1,distance,75,0.7979620336390594,0.2787400950623255
coepra1,distance,80,0.8008770913274394,0.27873088343215735
coepra1,distance,85,0.8062464540160432,0.2768205207461469
coepra1,distance,90,0.8057504829910606,0.276733225595669
coepra1,distance,95,0.8096410462772013,0.2757228882068181
coepra1,distance,100,0.8146284515392545,0.27581721917794466
coepra1,hybrid,5,0.7379726520495357,0.3266092052438583
coepra1,hybrid,10,0.7404107381457983,0.32128305997248885
coepra1,hybrid,15,0.744421193574948,0.3170014176416389
coepra1,hybrid,20,0.7546360268404084,0.3063688543911701
coepra1,hybrid,25,0.761191134198513,0.2996109787013022
coepra1,hybrid,30,0.7678726320919107,0.2956590101444219
coepra1,hybrid,35,0.7694601011795248,0.295407624746644
coepra1,hybrid,40,0.7763884311339391,0.2919621136520822
coepra1,hybrid,45,0.7805979305105217,0.28837660157514045
coepra1,hybrid,50,0.7876291072792324,0.2830090095012151
coepra1,hybrid,55,0.7899468883075748,0.2815130551884586
coepra1,hybrid,60,0.7932808812405576,0.28222480495672153
coepra1,hybrid,65,0.7959470103461846,0.2807509769673485
coepra1,hybrid,70,0.7990220537939657,0.28033380933076557
coepra1,hybrid,75,0.7979620336390594,0.2787400950623255
coepra1,hybrid,80,0.8008770913274394,0.27873088343215735
coepra1,hybrid,85,0.8062464540160432,0.2768205207461469
coepra1,hybrid,90,0.8057504829910606,0.276733225595669
coepra1,hybrid,95,0.8096410462772013,0.2757228882068181
coepra1,hybrid,100,0.8146284515392545,0.27581721917794466
coepra1,rf,5,0.7122602432879773,0.3570901379153545
coepra1,rf,10,0.5277900905729611,0.5293938405817428
coepra1,rf,15,0.5472160479205714,0.5118793774169181
coepra1,rf,20,0.5494976486791047,0.506106105140745
coepra1,rf,25,0.5453495997987112,0.5075985975960128
coepra1,rf,30,0.5214775794688116,0.5243712337016144
coepra1,rf,35,0.5478520102281971,0.49811885645831416
coepra1,rf,40,0.5228401914176332,0.5248804157235618
coepra1,rf,45,0.5118693174478282,0.5316619512254241
coepra1,rf,50,0.5238882909484256,0.5217467107118166
coepra1,rf,55,0.5446720204008908,0.5082083129552765
coepra1,rf,60,0.5485646689268462,0.5067900514774643
coepra1,rf,65,0.5396689218242661,0.5124262676915217
coepra1,rf,70,0.5497336150983845,0.5062336732526991
coepra1,rf,75,0.5571040461376742,0.5001444467718049
coepra1,rf,80,0.5567576337677543,0.49895323516455
coepra1,rf,85,0.5283998849577112,0.5325348028945236
coepra1,rf,90,0.5331880198638284,0.5282158643709095
coepra1,rf,95,0.5422475095796171,0.524215742069461
coepra1,rf,100,0.5315368925824081,0.5299586412553035
coepra1,et,5,0.5832226018449058,0.4678749082599003
coepra1,et,10,0.5194096353753289,0.5257132870226946
coepra1,et,15,0.49583312088999093,0.5435894085538238
coepra1,et,20,0.5033303980471404,0.537701542705878
coepra1,et,25,0.47066562522453204,0.5650483950644312
coepra1,et,30,0.46715979369120053,0.5661427121860032
coepra1,et,35,0.47114509481212546,0.5629812303355364
coepra1,et,40,0.4340803617950387,0.6090447748925263
coepra1,et,45,0.4432109374057648,0.5987950647968276
coepra1,et,50,0.45075417311989785,0.5975206077158886
coepra1,et,55,0.45379222160041294,0.5963134313354311
coepra1,et,60,0.45881552225645833,0.5927662001112206
coepra1,et,65,0.4717062661115989,0.5822535776799678
coepra1,et,70,0.4817712622642696,0.5748789452955828
coepra1,et,75,0.5076712966753021,0.5601815414678905
coepra1,et,80,0.5089951679674083,0.5595070206766876
coepra1,et,85,0.5116665401519482,0.558259541516393
coepra1,et,90,0.5119613814604766,0.5578100196084672
coepra1,et,95,0.5198584874278085,0.5491867146336602
coepra1,et,100,0.5232937397037267,0.5484317104766883
coepra1,dt,5,0.6166763435090454,0.4337206890143577
coepra1,dt,10,0.6627488269390888,0.4409098370288286
coepra1,dt,15,0.6355992475994139,0.46273508095038707
coepra1,dt,20,0.5525702119303146,0.5189167733327887
coepra1,dt,25,0.5587386120762615,0.51306020651984
coepra1,dt,30,0.5565596931334185,0.5235507987948932
coepra1,dt,35,0.44898911459361407,0.6020362767639497
coepra1,dt,40,0.45155978000196795,0.5982046531600808
coepra1,dt,45,0.4900858529847268,0.562036218511942
coepra1,dt,50,0.4992371315747567,0.557338476332413
coepra1,dt,55,0.5201818619649795,0.5471931536039232
coepra1,dt,60,0.5276781111900589,0.5493265337738442
coepra1,dt,65,0.5487382812379812,0.5387966680814056
coepra1,dt,70,0.5926665418521688,0.5079360716015938
coepra1,dt,75,0.5938584104424403,0.5097171615465185
coepra1,dt,80,0.6125861505571089,0.5011532462577327
coepra1,dt,85,0.6057058709622235,0.503616048910069
coepra1,dt,90,0.6016789471238708,0.5054166898126826
coepra1,dt,95,0.6045248698273008,0.5051877601135684
coepra1,dt,100,0.6090188321496325,0.502627926470454
coepra1,ct_es_1_vm_1_alpha_0.01_select_pearson,5,0.806251238623142,0.2752918206043622
coepra1,ct_es_1_vm_1_alpha_0.01_select_pearson,10,0.8113475384849048,0.2661787960887035
coepra1,ct_es_1_vm_1_alpha_0.01_select_pearson,15,0.8422569699827391,0.25465401880408167
coepra1,ct_es_1_vm_1_alpha_0.01_select_pearson,20,0.8277976765173684,0.2636106699423836
coepra1,ct_es_1_vm_1_alpha_0.01_select_pearson,25,0.8345502728197418,0.25950055398901506
coepra1,ct_es_1_vm_1_alpha_0.01_select_pearson,30,0.8557135943543788,0.24357551139368921
coepra1,ct_es_1_vm_1_alpha_0.01_select_pearson,35,0.8681114368286573,0.2384404157604576
coepra1,ct_es_1_vm_1_alpha_0.01_select_pearson,40,0.8728657804496576,0.23550637643543051
coepra1,ct_es_1_vm_1_alpha_0.01_select_pearson,45,0.871518157057562,0.23652353742516716
coepra1,ct_es_1_vm_1_alpha_0.01_select_pearson,50,0.8812731919568456,0.23043654508531392
coepra1,ct_es_1_vm_1_alpha_0.01_select_pearson,55,0.857590965807697,0.2422596141782031
coepra1,ct_es_1_vm_1_alpha_0.01_select_pearson,60,0.856332387073062,0.24111133385988515
coepra1,ct_es_1_vm_1_alpha_0.01_select_pearson,65,0.8667837962123797,0.23240955455383658
coepra1,ct_es_1_vm_1_alpha_0.01_select_pearson,70,0.8675412075189929,0.2287857660808065
coepra1,ct_es_1_vm_1_alpha_0.01_select_pearson,75,0.8689354142529861,0.22705251150890965
coepra1,ct_es_1_vm_1_alpha_0.01_select_pearson,80,0.8772480142913104,0.2210389100452264
coepra1,ct_es_1_vm_1_alpha_0.01_select_pearson,85,0.8749627421708732,0.2225540058806071
coepra1,ct_es_1_vm_1_alpha_0.01_select_pearson,90,0.869730238041489,0.22379467735088876
coepra1,ct_es_1_vm_1_alpha_0.01_select_pearson,95,0.6804172231685879,0.4015371026085438
coepra1,ct_es_1_vm_1_alpha_0.01_select_pearson,100,0.6863335353466408,0.3961113733225577
coepra1,cf_es_1_vm_1_alpha_0.01_select_pearson,5,0.8876352381808614,0.17281663566530905
coepra1,cf_es_1_vm_1_alpha_0.01_select_pearson,10,0.8786751704240638,0.22434175641972018
coepra1,cf_es_1_vm_1_alpha_0.01_select_pearson,15,0.8476879697685321,0.24346947460438564
coepra1,cf_es_1_vm_1_alpha_0.01_select_pearson,20,0.6667723640357114,0.40679691610731733
coepra1,cf_es_1_vm_1_alpha_0.01_select_pearson,25,0.6711065539514043,0.4200671342200325
coepra1,cf_es_1_vm_1_alpha_0.01_select_pearson,30,0.5055782485095522,0.5510674031713698
coepra1,cf_es_1_vm_1_alpha_0.01_select_pearson,35,0.48113884689811154,0.5691791492852578
coepra1,cf_es_1_vm_1_alpha_0.01_select_pearson,40,0.5425238739780093,0.5498934989832956
coepra1,cf_es_1_vm_1_alpha_0.01_select_pearson,45,7.124580059663208,0.48055523844709136
coepra1,cf_es_1_vm_1_alpha_0.01_select_pearson,50,7.4124056835041285,0.4917100113004141
