,cf,ct,dist,dt,et,hy,pearson,r_cf,rf
coepra1_mean,0.44712546157583954,0.4197884773961033,0.7816941170241336,0.5644701345825187,0.4894171813912668,0.7816941170241336,0.6178675283661479,0.5313789920571128,0.5470957116454802
coepra1_sd,0.04707375394094764,0.05520889405126267,0.024005010905358785,0.05972033881247164,0.03567281997271743,0.024005010905358785,0.079903327670787,0.021638463119500514,0.04088349523529244
coepra1_best,0.3600056484152072,0.3656424545993375,0.7379726520495357,0.4489891145936141,0.4340803617950387,0.7379726520495357,0.5452377679457877,0.4726922587841564,0.5118693174478282
coepra1_loc_best,1.0,0.4,0.05,0.35,0.4,0.05,0.3,0.1,0.45
coepra2_mean,0.3330061702160199,2551.0896099254887,4098122.8735446027,0.8132700517682538,0.2743948278746979,3067427.193266441,104708657.74951366,0.42193900826010056,0.23354597652021125
coepra2_sd,0.07696902119976111,8628.691971512952,12794467.061154392,0.12102506506650255,0.05054445992403877,11585464.614275698,338486138.10623074,0.15784244756163132,0.03326637031655681
coepra2_best,0.18038400877510954,0.6117292330853974,0.1843469025072504,0.5817900820177835,0.21916252635752426,0.19277501132165334,0.2303379941021567,0.23693742886821675,0.18711539171450972
coepra2_loc_best,0.15,0.1,0.5,0.1,0.95,0.45,0.4,0.7,0.3
coepra3_mean,0.5072104135312501,0.48887204938738815,0.48392713635744383,0.523980876067675,0.46803514105800986,0.4618155598167489,0.4534522068067135,0.46357552324570594,0.5130591241439884
coepra3_sd,0.025679248781963204,0.05046441608422701,0.033902965091882356,0.04887067646134946,0.03282546762070343,0.02239072546111521,0.020389208660274737,0.024599487077813863,0.04381454515035931
coepra3_best,0.4468178261581558,0.3791260756053019,0.4246373849871524,0.43005966236640064,0.4103670730973518,0.42258666961032654,0.42926849070089695,0.4337265451840636,0.4330523537233647
coepra3_loc_best,0.2,0.2,0.05,0.1,0.55,0.15,0.95,0.1,0.25
residential_mean,39442.02138514425,38691.53529305187,44822.163213218875,42165.70538361247,40217.878308873915,44822.163213218875,44040.14352321755,46076.85750031354,41343.82154335636
residential_sd,9465.673385362503,6375.752879519248,8749.997418906161,9518.20701961266,10455.267174746588,8749.997418906161,8350.794468970436,9771.376913891943,10333.802724926833
residential_best,32826.64916580389,33551.42532831454,36935.997720852596,36330.02645847127,31269.442002476364,36935.997720852596,35830.17342813312,37486.70261508123,35082.8915391912
residential_loc_best,0.25,0.25,0.35,0.55,0.25,0.35,0.5,0.8,0.3
comm_violence_mean,20363408.83168579,1402243933.4246006,7.827615142249427e+17,31304673199100.6,9449502049.784914,7.827615142249427e+17,19993042.30511514,2685813880.6263227,61128393637.37764
comm_violence_sd,62775889.82299313,2389940502.5763783,2.591483028650919e+18,130903106931018.0,19322155931.38998,2.591483028650919e+18,76052166.24542013,8155591636.846542,101657121296.35793
comm_violence_best,1141055.1943733855,1143722.5778581635,1153318.231675298,1159758.3995839022,1153297.3213400696,1153318.231675298,1157204.5954860302,1150963.1397518893,1180416.7648416795
comm_violence_loc_best,0.3,0.15,0.25,0.15,0.3,0.25,0.35,0.1,0.15
community_crime_mean,0.01984866301848758,0.019584471510972104,0.020252811029527935,0.01986045497325136,0.019835043738973955,0.020261351173229386,0.02031122813774159,0.019709398409622724,0.01974056208744164
community_crime_sd,0.0006254889853547692,0.0007438164699760926,0.0004914988324446187,0.0005172536001147926,0.0006579219866238965,0.0004943470482985308,0.0005774734812105459,0.0006105542650718858,0.0004486923512507768
community_crime_best,0.019315212340951817,0.019021924050647364,0.01963728714534283,0.019264534646321208,0.01932616217233053,0.01963728714534283,0.019559381572856298,0.019085493195778288,0.01936562111038289
community_crime_loc_best,0.55,0.6,0.4,0.75,0.5,0.4,0.35,0.35,1.0
facebook_mean,69.06020787651981,1256.4255230789308,69.76339552341089,3326.0189611885016,68.69560787936462,69.76339552341089,70.22283075452467,67.03932554019924,69.72762173540742
facebook_sd,249.059931244551,4810.501975942171,248.86582753298907,7482.498865744835,249.16082229413175,248.86582753298907,248.7342881096405,249.61014200988777,248.87560095265005
facebook_best,0.0434732064379904,6.805718569848364,0.0434732064379904,5.0574143125278805,0.0434732064379904,0.0434732064379904,0.0434732064379904,0.0434732064379904,0.0434732064379904
facebook_loc_best,0.16666666666666666,0.9444444444444444,0.16666666666666666,0.6111111111111112,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
imports-85_mean,19598190.571004756,18463949.471529856,19196675.068020646,18128965.96576013,17695369.77330886,19044899.115260348,18172458.18359492,18778878.42477428,19055792.889927283
imports-85_sd,1593270.0599680196,2069766.3575059266,2281834.7287257803,1421862.559027031,1828688.8747527536,2062297.1135792772,2226863.982684085,2128137.4112982373,2243216.8932262
imports-85_best,15635512.903116286,14475237.08373622,16471719.886540307,16130116.416474467,15546137.66050456,16471719.886540312,15961290.524526168,15996753.404245695,15635363.692720965
imports-85_loc_best,0.8,0.4,0.8,0.44,0.76,0.8,0.64,0.8,0.72
