,cf,r_cf,rf,et,ct,dt,pearson,dist,hy
coepra1_mean,0.622,0.528,0.508,0.563,0.620,0.519,0.444,0.291,0.291
coepra1_sd,0.048,0.018,0.037,0.032,0.053,0.044,0.079,0.016,0.016
coepra1_best,0.686,0.574,0.533,0.609,0.669,0.602,0.504,0.327,0.327
coepra1_loc_best,1.000,1.000,0.850,0.400,0.400,0.350,0.300,0.050,0.050
coepra2_mean,0.578,0.532,0.627,0.620,0.161,0.216,0.548,0.596,0.582
coepra2_sd,0.063,0.077,0.041,0.088,0.021,0.025,0.072,0.119,0.117
coepra2_best,0.711,0.643,0.681,0.686,0.208,0.267,0.617,0.708,0.705
coepra2_loc_best,0.200,0.550,0.850,0.350,0.150,0.100,0.400,0.650,0.700
coepra3_mean,0.306,0.357,0.314,0.343,0.339,0.341,0.350,0.321,0.344
coepra3_sd,0.045,0.023,0.035,0.040,0.056,0.028,0.029,0.034,0.024
coepra3_best,0.395,0.389,0.385,0.406,0.447,0.383,0.385,0.384,0.384
coepra3_loc_best,1.000,0.550,0.250,0.550,0.200,0.650,0.950,0.050,0.150
residential_mean,0.976,0.971,0.975,0.976,0.977,0.974,0.973,0.972,0.972
residential_sd,0.006,0.007,0.007,0.007,0.005,0.006,0.005,0.006,0.006
residential_best,0.981,0.977,0.980,0.982,0.980,0.978,0.978,0.978,0.978
residential_loc_best,0.250,0.800,0.300,0.250,0.600,0.550,0.500,0.400,0.400
comm_violence_mean,0.824,0.768,0.548,0.665,0.738,0.533,0.835,0.452,0.452
comm_violence_sd,0.039,0.121,0.182,0.236,0.208,0.235,0.061,0.344,0.344
comm_violence_best,0.860,0.858,0.855,0.858,0.859,0.857,0.858,0.858,0.858
comm_violence_loc_best,0.300,0.100,0.150,0.300,0.300,0.150,0.300,0.250,0.250
community_crime_mean,0.639,0.642,0.642,0.640,0.643,0.639,0.631,0.632,0.632
community_crime_sd,0.012,0.012,0.009,0.013,0.014,0.011,0.011,0.010,0.010
community_crime_best,0.649,0.653,0.649,0.650,0.654,0.651,0.644,0.643,0.643
community_crime_loc_best,0.550,0.350,1.000,0.500,0.600,0.750,0.350,0.400,0.400
facebook_mean,1.000,1.000,1.000,1.000,0.985,0.961,1.000,1.000,1.000
facebook_sd,0.001,0.001,0.001,0.001,0.056,0.088,0.001,0.001,0.001
facebook_best,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
facebook_loc_best,0.167,0.167,0.167,0.167,1.000,0.778,0.167,0.167,0.167
imports-85_mean,0.725,0.733,0.731,0.746,0.738,0.742,0.741,0.728,0.730
imports-85_sd,0.020,0.026,0.027,0.022,0.025,0.016,0.028,0.030,0.025
imports-85_best,0.775,0.770,0.772,0.773,0.784,0.766,0.769,0.761,0.761
imports-85_loc_best,0.800,0.800,0.720,0.760,0.400,0.440,0.640,0.920,0.920
