type,es,vm,alpha,time,iteration,n_features
reg,True,True,0.01,2.0660693645477295,1,100
clf,True,True,0.01,2.4938406944274902,1,100
reg,True,True,0.01,0.6639766693115234,2,100
clf,True,True,0.01,0.7669148445129395,2,100
reg,True,True,0.01,0.6720631122589111,3,100
clf,True,True,0.01,0.8663723468780518,3,100
reg,True,True,0.01,0.6680710315704346,4,100
clf,True,True,0.01,0.8798565864562988,4,100
reg,True,True,0.01,0.5766768455505371,5,100
clf,True,True,0.01,0.8794877529144287,5,100
reg,True,True,0.05,0.7704555988311768,1,100
clf,True,True,0.05,0.9816391468048096,1,100
reg,True,True,0.05,0.7831072807312012,2,100
clf,True,True,0.05,0.9006175994873047,2,100
reg,True,True,0.05,0.7846026420593262,3,100
clf,True,True,0.05,0.9011616706848145,3,100
reg,True,True,0.05,0.7905356884002686,4,100
clf,True,True,0.05,0.8899257183074951,4,100
reg,True,True,0.05,0.7891526222229004,5,100
clf,True,True,0.05,0.8926324844360352,5,100
reg,True,True,0.95,0.7987060546875,1,100
clf,True,True,0.95,0.7994139194488525,1,100
reg,True,True,0.95,0.8032007217407227,2,100
clf,True,True,0.95,0.814767599105835,2,100
reg,True,True,0.95,0.8087813854217529,3,100
clf,True,True,0.95,0.8240251541137695,3,100
reg,True,True,0.95,0.8089339733123779,4,100
clf,True,True,0.95,0.8254179954528809,4,100
reg,True,True,0.95,0.8136746883392334,5,100
clf,True,True,0.95,0.8170585632324219,5,100
reg,True,False,0.01,0.7172455787658691,1,100
clf,True,False,0.01,0.9069018363952637,1,100
reg,True,False,0.01,0.5914075374603271,2,100
clf,True,False,0.01,0.7789442539215088,2,100
reg,True,False,0.01,0.6789209842681885,3,100
clf,True,False,0.01,0.7757105827331543,3,100
reg,True,False,0.01,0.5745654106140137,4,100
clf,True,False,0.01,0.8805875778198242,4,100
reg,True,False,0.01,0.6719512939453125,5,100
clf,True,False,0.01,0.8880069255828857,5,100
reg,True,False,0.05,0.7807984352111816,1,100
clf,True,False,0.05,0.8889312744140625,1,100
reg,True,False,0.05,0.7912008762359619,2,100
clf,True,False,0.05,0.8962645530700684,2,100
reg,True,False,0.05,0.7952961921691895,3,100
clf,True,False,0.05,0.898503303527832,3,100
reg,True,False,0.05,0.7936217784881592,4,100
clf,True,False,0.05,0.905341625213623,4,100
reg,True,False,0.05,0.7919082641601562,5,100
clf,True,False,0.05,0.8933029174804688,5,100
reg,True,False,0.95,0.7930541038513184,1,100
clf,True,False,0.95,0.800452470779419,1,100
reg,True,False,0.95,0.802614688873291,2,100
clf,True,False,0.95,0.8209011554718018,2,100
reg,True,False,0.95,0.823052167892456,3,100
clf,True,False,0.95,0.8212997913360596,3,100
reg,True,False,0.95,0.8127162456512451,4,100
clf,True,False,0.95,0.8241755962371826,4,100
reg,True,False,0.95,0.8209972381591797,5,100
clf,True,False,0.95,0.8193690776824951,5,100
reg,False,True,0.01,0.8093647956848145,1,100
clf,False,True,0.01,1.006422996520996,1,100
reg,False,True,0.01,0.795166015625,2,100
clf,False,True,0.01,0.9748208522796631,2,100
reg,False,True,0.01,0.6757192611694336,3,100
clf,False,True,0.01,0.9697372913360596,3,100
reg,False,True,0.01,0.7787892818450928,4,100
clf,False,True,0.01,0.9779367446899414,4,100
reg,False,True,0.01,0.6731724739074707,5,100
clf,False,True,0.01,0.978623628616333,5,100
reg,False,True,0.05,0.9764437675476074,1,100
clf,False,True,0.05,1.2792134284973145,1,100
reg,False,True,0.05,0.9893233776092529,2,100
clf,False,True,0.05,1.3002398014068604,2,100
reg,False,True,0.05,0.9865419864654541,3,100
clf,False,True,0.05,1.2990038394927979,3,100
reg,False,True,0.05,0.8939316272735596,4,100
clf,False,True,0.05,1.2953758239746094,4,100
reg,False,True,0.05,0.984025239944458,5,100
clf,False,True,0.05,1.3075497150421143,5,100
reg,False,True,0.95,1.1928293704986572,1,100
clf,False,True,0.95,1.5052857398986816,1,100
reg,False,True,0.95,1.1979970932006836,2,100
clf,False,True,0.95,1.5180363655090332,2,100
reg,False,True,0.95,1.200998306274414,3,100
clf,False,True,0.95,1.511305332183838,3,100
reg,False,True,0.95,1.2019598484039307,4,100
clf,False,True,0.95,1.5114269256591797,4,100
reg,False,True,0.95,1.206681728363037,5,100
clf,False,True,0.95,1.5252914428710938,5,100
reg,False,False,0.01,0.8100082874298096,1,100
clf,False,False,0.01,1.1053485870361328,1,100
reg,False,False,0.01,0.7820699214935303,2,100
clf,False,False,0.01,0.9754471778869629,2,100
reg,False,False,0.01,0.7737174034118652,3,100
clf,False,False,0.01,0.9768493175506592,3,100
reg,False,False,0.01,0.7821104526519775,4,100
clf,False,False,0.01,0.9757530689239502,4,100
reg,False,False,0.01,0.67561936378479,5,100
clf,False,False,0.01,0.9787309169769287,5,100
reg,False,False,0.05,0.9813430309295654,1,100
clf,False,False,0.05,1.2868366241455078,1,100
reg,False,False,0.05,0.9834907054901123,2,100
clf,False,False,0.05,1.297144889831543,2,100
reg,False,False,0.05,0.9964721202850342,3,100
clf,False,False,0.05,1.3038346767425537,3,100
reg,False,False,0.05,0.997138261795044,4,100
clf,False,False,0.05,1.305962085723877,4,100
reg,False,False,0.05,0.994891881942749,5,100
clf,False,False,0.05,1.3041579723358154,5,100
reg,False,False,0.95,1.2044661045074463,1,100
clf,False,False,0.95,1.520329475402832,1,100
reg,False,False,0.95,1.198740005493164,2,100
clf,False,False,0.95,1.5185954570770264,2,100
reg,False,False,0.95,1.212639331817627,3,100
clf,False,False,0.95,1.5226926803588867,3,100
reg,False,False,0.95,1.2128345966339111,4,100
clf,False,False,0.95,1.5165700912475586,4,100
reg,False,False,0.95,1.2022254467010498,5,100
clf,False,False,0.95,1.523118019104004,5,100
reg,True,True,0.01,0.7029306888580322,1,150
clf,True,True,0.01,0.9155099391937256,1,150
reg,True,True,0.01,0.6950666904449463,2,150
clf,True,True,0.01,0.9889841079711914,2,150
reg,True,True,0.01,0.6808743476867676,3,150
clf,True,True,0.01,0.8860087394714355,3,150
reg,True,True,0.01,0.6839935779571533,4,150
clf,True,True,0.01,0.9813284873962402,4,150
reg,True,True,0.01,0.6790239810943604,5,150
clf,True,True,0.01,0.892136812210083,5,150
reg,True,True,0.05,0.7936737537384033,1,150
clf,True,True,0.05,0.990368127822876,1,150
reg,True,True,0.05,0.8895301818847656,2,150
clf,True,True,0.05,1.0200095176696777,2,150
reg,True,True,0.05,0.7940430641174316,3,150
clf,True,True,0.05,1.0075860023498535,3,150
reg,True,True,0.05,0.7950150966644287,4,150
clf,True,True,0.05,1.0043635368347168,4,150
reg,True,True,0.05,0.9042024612426758,5,150
clf,True,True,0.05,1.0167760848999023,5,150
reg,True,True,0.95,0.8008975982666016,1,150
clf,True,True,0.95,0.8265695571899414,1,150
reg,True,True,0.95,0.798891544342041,2,150
clf,True,True,0.95,0.927138090133667,2,150
reg,True,True,0.95,0.8256773948669434,3,150
clf,True,True,0.95,0.82710862159729,3,150
reg,True,True,0.95,0.8189971446990967,4,150
clf,True,True,0.95,0.833925724029541,4,150
reg,True,True,0.95,0.822563648223877,5,150
clf,True,True,0.95,0.8385825157165527,5,150
reg,True,False,0.01,0.7158539295196533,1,150
clf,True,False,0.01,1.0171749591827393,1,150
reg,True,False,0.01,0.7047200202941895,2,150
clf,True,False,0.01,0.8885788917541504,2,150
reg,True,False,0.01,0.6818633079528809,3,150
clf,True,False,0.01,0.8815083503723145,3,150
reg,True,False,0.01,0.6805102825164795,4,150
clf,True,False,0.01,0.8778326511383057,4,150
reg,True,False,0.01,0.6824090480804443,5,150
clf,True,False,0.01,0.8840751647949219,5,150
reg,True,False,0.05,0.8815796375274658,1,150
clf,True,False,0.05,0.9932947158813477,1,150
reg,True,False,0.05,0.806232213973999,2,150
clf,True,False,0.05,1.0013322830200195,2,150
reg,True,False,0.05,0.7977745532989502,3,150
clf,True,False,0.05,1.0006201267242432,3,150
reg,True,False,0.05,0.8005878925323486,4,150
clf,True,False,0.05,1.0178062915802002,4,150
reg,True,False,0.05,0.8929715156555176,5,150
clf,True,False,0.05,1.005866289138794,5,150
reg,True,False,0.95,0.7940595149993896,1,150
clf,True,False,0.95,0.8067665100097656,1,150
reg,True,False,0.95,0.8043789863586426,2,150
clf,True,False,0.95,0.8245594501495361,2,150
reg,True,False,0.95,0.8091614246368408,3,150
clf,True,False,0.95,0.8321752548217773,3,150
reg,True,False,0.95,0.8141036033630371,4,150
clf,True,False,0.95,0.8284554481506348,4,150
reg,True,False,0.95,0.8251953125,5,150
clf,True,False,0.95,0.8194544315338135,5,150
reg,False,True,0.01,0.8160922527313232,1,150
clf,False,True,0.01,1.1052463054656982,1,150
reg,False,True,0.01,0.904503583908081,2,150
clf,False,True,0.01,1.181438684463501,2,150
reg,False,True,0.01,0.9881997108459473,3,150
clf,False,True,0.01,1.1916792392730713,3,150
reg,False,True,0.01,0.7790436744689941,4,150
clf,False,True,0.01,1.2842371463775635,4,150
reg,False,True,0.01,0.8894939422607422,5,150
clf,False,True,0.01,1.1896038055419922,5,150
reg,False,True,0.05,1.0821752548217773,1,150
clf,False,True,0.05,1.4871883392333984,1,150
reg,False,True,0.05,1.088383436203003,2,150
clf,False,True,0.05,1.502328634262085,2,150
reg,False,True,0.05,1.0950267314910889,3,150
clf,False,True,0.05,1.509434461593628,3,150
reg,False,True,0.05,1.0936589241027832,4,150
clf,False,True,0.05,1.4998528957366943,4,150
reg,False,True,0.05,1.099536418914795,5,150
clf,False,True,0.05,1.5001537799835205,5,150
reg,False,True,0.95,1.2977149486541748,1,150
clf,False,True,0.95,1.7041420936584473,1,150
reg,False,True,0.95,1.3019492626190186,2,150
clf,False,True,0.95,1.7199897766113281,2,150
reg,False,True,0.95,1.3026862144470215,3,150
clf,False,True,0.95,1.719754695892334,3,150
reg,False,True,0.95,1.2998895645141602,4,150
clf,False,True,0.95,1.7229783535003662,4,150
reg,False,True,0.95,1.3113389015197754,5,150
clf,False,True,0.95,1.7193622589111328,5,150
reg,False,False,0.01,0.9028568267822266,1,150
clf,False,False,0.01,1.3047542572021484,1,150
reg,False,False,0.01,0.7968945503234863,2,150
clf,False,False,0.01,1.188063144683838,2,150
reg,False,False,0.01,0.8848638534545898,3,150
clf,False,False,0.01,1.0786933898925781,3,150
reg,False,False,0.01,0.7841465473175049,4,150
clf,False,False,0.01,1.1856403350830078,4,150
reg,False,False,0.01,0.8804879188537598,5,150
clf,False,False,0.01,1.1912815570831299,5,150
reg,False,False,0.05,0.9823586940765381,1,150
clf,False,False,0.05,1.493849754333496,1,150
reg,False,False,0.05,1.0874595642089844,2,150
clf,False,False,0.05,1.4097256660461426,2,150
reg,False,False,0.05,1.093827247619629,3,150
clf,False,False,0.05,1.493999719619751,3,150
reg,False,False,0.05,1.093550682067871,4,150
clf,False,False,0.05,1.5120553970336914,4,150
reg,False,False,0.05,1.0906562805175781,5,150
clf,False,False,0.05,1.496565580368042,5,150
reg,False,False,0.95,1.2899982929229736,1,150
clf,False,False,0.95,1.7148616313934326,1,150
reg,False,False,0.95,1.3004894256591797,2,150
clf,False,False,0.95,1.7235996723175049,2,150
reg,False,False,0.95,1.301107406616211,3,150
clf,False,False,0.95,1.7203459739685059,3,150
reg,False,False,0.95,1.3033857345581055,4,150
clf,False,False,0.95,1.7174365520477295,4,150
reg,False,False,0.95,1.3104727268218994,5,150
clf,False,False,0.95,1.6255452632904053,5,150
reg,True,True,0.01,0.8083329200744629,1,200
clf,True,True,0.01,1.0121886730194092,1,200
reg,True,True,0.01,0.6914222240447998,2,200
clf,True,True,0.01,0.9870543479919434,2,200
reg,True,True,0.01,0.8076319694519043,3,200
clf,True,True,0.01,0.985971212387085,3,200
reg,True,True,0.01,0.6840803623199463,4,200
clf,True,True,0.01,1.078784704208374,4,200
reg,True,True,0.01,0.7880210876464844,5,200
clf,True,True,0.01,0.9887678623199463,5,200
reg,True,True,0.05,0.8814024925231934,1,200
clf,True,True,0.05,1.099179983139038,1,200
reg,True,True,0.05,0.896489143371582,2,200
clf,True,True,0.05,1.104417085647583,2,200
reg,True,True,0.05,0.9008033275604248,3,200
clf,True,True,0.05,1.1389086246490479,3,200
reg,True,True,0.05,0.8915276527404785,4,200
clf,True,True,0.05,1.1090524196624756,4,200
reg,True,True,0.05,0.899050235748291,5,200
clf,True,True,0.05,1.032745599746704,5,200
reg,True,True,0.95,0.7954733371734619,1,200
clf,True,True,0.95,0.8127760887145996,1,200
reg,True,True,0.95,0.8101258277893066,2,200
clf,True,True,0.95,0.8252215385437012,2,200
reg,True,True,0.95,0.8082365989685059,3,200
clf,True,True,0.95,0.8197019100189209,3,200
reg,True,True,0.95,0.8120596408843994,4,200
clf,True,True,0.95,0.8282663822174072,4,200
reg,True,True,0.95,0.8056783676147461,5,200
clf,True,True,0.95,0.8191182613372803,5,200
reg,True,False,0.01,0.8271422386169434,1,200
clf,True,False,0.01,1.0197639465332031,1,200
reg,True,False,0.01,0.8041646480560303,2,200
clf,True,False,0.01,0.9910011291503906,2,200
reg,True,False,0.01,0.7873821258544922,3,200
clf,True,False,0.01,0.9886875152587891,3,200
reg,True,False,0.01,0.7963476181030273,4,200
clf,True,False,0.01,0.9848296642303467,4,200
reg,True,False,0.01,0.6890230178833008,5,200
clf,True,False,0.01,0.9872419834136963,5,200
reg,True,False,0.05,0.8806142807006836,1,200
clf,True,False,0.05,1.1003241539001465,1,200
reg,True,False,0.05,0.8924345970153809,2,200
clf,True,False,0.05,1.109647512435913,2,200
reg,True,False,0.05,0.9110264778137207,3,200
clf,True,False,0.05,1.1115355491638184,3,200
reg,True,False,0.05,0.9035224914550781,4,200
clf,True,False,0.05,1.0103681087493896,4,200
reg,True,False,0.05,0.909834623336792,5,200
clf,True,False,0.05,1.0234315395355225,5,200
reg,True,False,0.95,0.8077971935272217,1,200
clf,True,False,0.95,0.8191213607788086,1,200
reg,True,False,0.95,0.803729772567749,2,200
clf,True,False,0.95,0.826080322265625,2,200
reg,True,False,0.95,0.8249588012695312,3,200
clf,True,False,0.95,0.812070369720459,3,200
reg,True,False,0.95,0.8111860752105713,4,200
clf,True,False,0.95,0.8279922008514404,4,200
reg,True,False,0.95,0.8265607357025146,5,200
clf,True,False,0.95,0.8253605365753174,5,200
reg,False,True,0.01,1.0168886184692383,1,200
clf,False,True,0.01,1.4211030006408691,1,200
reg,False,True,0.01,1.0002868175506592,2,200
clf,False,True,0.01,1.3894481658935547,2,200
reg,False,True,0.01,0.8946824073791504,3,200
clf,False,True,0.01,1.292471170425415,3,200
reg,False,True,0.01,0.8909876346588135,4,200
clf,False,True,0.01,1.2958245277404785,4,200
reg,False,True,0.01,0.9864838123321533,5,200
clf,False,True,0.01,1.2944049835205078,5,200
reg,False,True,0.05,1.2920866012573242,1,200
clf,False,True,0.05,1.7962360382080078,1,200
reg,False,True,0.05,1.2988896369934082,2,200
clf,False,True,0.05,1.7119274139404297,2,200
reg,False,True,0.05,1.2957324981689453,3,200
clf,False,True,0.05,1.7046594619750977,3,200
reg,False,True,0.05,1.298706293106079,4,200
clf,False,True,0.05,1.7132389545440674,4,200
reg,False,True,0.05,1.2088594436645508,5,200
clf,False,True,0.05,1.7191767692565918,5,200
reg,False,True,0.95,1.3985998630523682,1,200
clf,False,True,0.95,1.9086978435516357,1,200
reg,False,True,0.95,1.4106862545013428,2,200
clf,False,True,0.95,1.832517385482788,2,200
reg,False,True,0.95,1.4139933586120605,3,200
clf,False,True,0.95,1.9306726455688477,3,200
reg,False,True,0.95,1.4120550155639648,4,200
clf,False,True,0.95,1.929633617401123,4,200
reg,False,True,0.95,1.4189739227294922,5,200
clf,False,True,0.95,1.927361011505127,5,200
reg,False,False,0.01,0.9090735912322998,1,200
clf,False,False,0.01,1.4117679595947266,1,200
reg,False,False,0.01,1.000107765197754,2,200
clf,False,False,0.01,1.3936796188354492,2,200
reg,False,False,0.01,0.991971492767334,3,200
clf,False,False,0.01,1.2935633659362793,3,200
reg,False,False,0.01,0.9873871803283691,4,200
clf,False,False,0.01,1.2946178913116455,4,200
reg,False,False,0.01,0.8936769962310791,5,200
clf,False,False,0.01,1.2827861309051514,5,200
reg,False,False,0.05,1.188246250152588,1,200
clf,False,False,0.05,1.69887375831604,1,200
reg,False,False,0.05,1.2001550197601318,2,200
clf,False,False,0.05,1.8155429363250732,2,200
reg,False,False,0.05,1.2071001529693604,3,200
clf,False,False,0.05,1.7101333141326904,3,200
reg,False,False,0.05,1.193699598312378,4,200
clf,False,False,0.05,1.716024398803711,4,200
reg,False,False,0.05,1.2920880317687988,5,200
clf,False,False,0.05,1.708930492401123,5,200
reg,False,False,0.95,1.4044365882873535,1,200
clf,False,False,0.95,1.8172986507415771,1,200
reg,False,False,0.95,1.4183049201965332,2,200
clf,False,False,0.95,1.8248827457427979,2,200
reg,False,False,0.95,1.4205126762390137,3,200
clf,False,False,0.95,1.9353604316711426,3,200
reg,False,False,0.95,1.4059967994689941,4,200
clf,False,False,0.95,1.9187030792236328,4,200
reg,False,False,0.95,1.4119632244110107,5,200
clf,False,False,0.95,1.938805103302002,5,200
reg,True,True,0.01,0.8131875991821289,1,250
clf,True,True,0.01,1.02284574508667,1,250
reg,True,True,0.01,0.8007595539093018,2,250
clf,True,True,0.01,1.097193717956543,2,250
reg,True,True,0.01,0.795896053314209,3,250
clf,True,True,0.01,1.0032579898834229,3,250
reg,True,True,0.01,0.7843234539031982,4,250
clf,True,True,0.01,1.0980851650238037,4,250
reg,True,True,0.01,0.7936844825744629,5,250
clf,True,True,0.01,1.1004416942596436,5,250
reg,True,True,0.05,0.892333984375,1,250
clf,True,True,0.05,1.1015751361846924,1,250
reg,True,True,0.05,0.9013838768005371,2,250
clf,True,True,0.05,1.118314504623413,2,250
reg,True,True,0.05,0.903003454208374,3,250
clf,True,True,0.05,1.1249406337738037,3,250
reg,True,True,0.05,0.9082741737365723,4,250
clf,True,True,0.05,1.1096625328063965,4,250
reg,True,True,0.05,0.9066867828369141,5,250
clf,True,True,0.05,1.2148478031158447,5,250
reg,True,True,0.95,0.8066732883453369,1,250
clf,True,True,0.95,0.8168866634368896,1,250
reg,True,True,0.95,0.8090171813964844,2,250
clf,True,True,0.95,0.8314254283905029,2,250
reg,True,True,0.95,0.8275401592254639,3,250
clf,True,True,0.95,0.8209555149078369,3,250
reg,True,True,0.95,0.8303172588348389,4,250
clf,True,True,0.95,0.8491456508636475,4,250
reg,True,True,0.95,0.821953296661377,5,250
clf,True,True,0.95,0.8393666744232178,5,250
reg,True,False,0.01,0.8231792449951172,1,250
clf,True,False,0.01,1.117222547531128,1,250
reg,True,False,0.01,0.8065745830535889,2,250
clf,True,False,0.01,1.099583387374878,2,250
reg,True,False,0.01,0.7905423641204834,3,250
clf,True,False,0.01,1.0949745178222656,3,250
reg,True,False,0.01,0.7989211082458496,4,250
clf,True,False,0.01,1.0986533164978027,4,250
reg,True,False,0.01,0.8867688179016113,5,250
clf,True,False,0.01,1.0948002338409424,5,250
reg,True,False,0.05,0.8832478523254395,1,250
clf,True,False,0.05,1.1019508838653564,1,250
reg,True,False,0.05,0.9015257358551025,2,250
clf,True,False,0.05,1.1083266735076904,2,250
reg,True,False,0.05,0.9009585380554199,3,250
clf,True,False,0.05,1.1020336151123047,3,250
reg,True,False,0.05,0.9079873561859131,4,250
clf,True,False,0.05,1.1209478378295898,4,250
reg,True,False,0.05,0.901557445526123,5,250
clf,True,False,0.05,1.1204321384429932,5,250
reg,True,False,0.95,0.8036770820617676,1,250
clf,True,False,0.95,0.8218419551849365,1,250
reg,True,False,0.95,0.7994544506072998,2,250
clf,True,False,0.95,0.8404791355133057,2,250
reg,True,False,0.95,0.8143472671508789,3,250
clf,True,False,0.95,0.831496000289917,3,250
reg,True,False,0.95,0.82379150390625,4,250
clf,True,False,0.95,0.8275961875915527,4,250
reg,True,False,0.95,0.8402607440948486,5,250
clf,True,False,0.95,0.8369002342224121,5,250
reg,False,True,0.01,1.0224485397338867,1,250
clf,False,True,0.01,1.5180690288543701,1,250
reg,False,True,0.01,1.002863883972168,2,250
clf,False,True,0.01,1.3872058391571045,2,250
reg,False,True,0.01,0.9895119667053223,3,250
clf,False,True,0.01,1.4968328475952148,3,250
reg,False,True,0.01,0.9853522777557373,4,250
clf,False,True,0.01,1.4989449977874756,4,250
reg,False,True,0.01,0.9853720664978027,5,250
clf,False,True,0.01,1.4922654628753662,5,250
reg,False,True,0.05,1.2955353260040283,1,250
clf,False,True,0.05,1.7941644191741943,1,250
reg,False,True,0.05,1.2946970462799072,2,250
clf,False,True,0.05,1.8188939094543457,2,250
