task,dataset,seed,fold,projection_count,projected_columns,k,n_features_selected,downstream_model,accuracy,f1,f1_macro,balanced_accuracy,roc_auc,auc
classification,wine,0,0,5,10,5,5,lr,0.9166666666666666,0.9157848324514991,0.9193121693121693,0.9246031746031745,0.9963173400673401,0.9963173400673401
classification,wine,0,0,5,10,5,5,svm,0.9444444444444444,0.9444444444444444,0.9484126984126985,0.9484126984126985,0.9950547138047138,0.9950547138047138
classification,wine,0,0,5,10,5,5,knn,0.9722222222222222,0.9722633744855966,0.974320987654321,0.9761904761904763,0.976746632996633,0.976746632996633
classification,wine,0,0,5,10,10,10,lr,0.9444444444444444,0.9435246235246235,0.9451526251526251,0.9523809523809524,0.9975799663299664,0.9975799663299664
classification,wine,0,0,5,10,10,10,svm,1.0,1.0,1.0,1.0,1.0,1.0
classification,wine,0,0,5,10,10,10,knn,0.9722222222222222,0.9722633744855966,0.974320987654321,0.9761904761904763,1.0,1.0
classification,wine,0,0,5,10,13,13,lr,1.0,1.0,1.0,1.0,1.0,1.0
classification,wine,0,0,5,10,13,13,svm,1.0,1.0,1.0,1.0,1.0,1.0
classification,wine,0,0,5,10,13,13,knn,0.9444444444444444,0.9435246235246235,0.9451526251526251,0.9523809523809524,0.9785353535353535,0.9785353535353535
classification,wine,0,0,10,20,5,5,lr,0.9166666666666666,0.9157848324514991,0.9193121693121693,0.9246031746031745,0.9963173400673401,0.9963173400673401
classification,wine,0,0,10,20,5,5,svm,0.9444444444444444,0.9444444444444444,0.9484126984126985,0.9484126984126985,0.9950547138047138,0.9950547138047138
classification,wine,0,0,10,20,5,5,knn,0.9722222222222222,0.9722633744855966,0.974320987654321,0.9761904761904763,0.976746632996633,0.976746632996633
classification,wine,0,0,10,20,10,10,lr,0.9444444444444444,0.9435246235246235,0.9451526251526251,0.9523809523809524,0.9975799663299664,0.9975799663299664
classification,wine,0,0,10,20,10,10,svm,1.0,1.0,1.0,1.0,1.0,1.0
classification,wine,0,0,10,20,10,10,knn,0.9722222222222222,0.9722633744855966,0.974320987654321,0.9761904761904763,1.0,1.0
classification,wine,0,0,10,20,13,13,lr,1.0,1.0,1.0,1.0,1.0,1.0
classification,wine,0,0,10,20,13,13,svm,1.0,1.0,1.0,1.0,1.0,1.0
classification,wine,0,0,10,20,13,13,knn,0.9444444444444444,0.9435246235246235,0.9451526251526251,0.9523809523809524,0.9785353535353535,0.9785353535353535
classification,wine,0,0,20,40,5,5,lr,0.9166666666666666,0.9157848324514991,0.9193121693121693,0.9246031746031745,0.9963173400673401,0.9963173400673401
classification,wine,0,0,20,40,5,5,svm,0.9444444444444444,0.9444444444444444,0.9484126984126985,0.9484126984126985,0.9950547138047138,0.9950547138047138
classification,wine,0,0,20,40,5,5,knn,0.9722222222222222,0.9722633744855966,0.974320987654321,0.9761904761904763,0.976746632996633,0.976746632996633
classification,wine,0,0,20,40,10,10,lr,0.9444444444444444,0.9435246235246235,0.9451526251526251,0.9523809523809524,0.9975799663299664,0.9975799663299664
classification,wine,0,0,20,40,10,10,svm,1.0,1.0,1.0,1.0,1.0,1.0
classification,wine,0,0,20,40,10,10,knn,0.9722222222222222,0.9722633744855966,0.974320987654321,0.9761904761904763,1.0,1.0
classification,wine,0,0,20,40,13,13,lr,1.0,1.0,1.0,1.0,1.0,1.0
classification,wine,0,0,20,40,13,13,svm,1.0,1.0,1.0,1.0,1.0,1.0
classification,wine,0,0,20,40,13,13,knn,0.9444444444444444,0.9435246235246235,0.9451526251526251,0.9523809523809524,0.9785353535353535,0.9785353535353535
classification,wine,0,0,40,80,5,5,lr,0.9166666666666666,0.9157848324514991,0.9193121693121693,0.9246031746031745,0.9963173400673401,0.9963173400673401
classification,wine,0,0,40,80,5,5,svm,0.9444444444444444,0.9444444444444444,0.9484126984126985,0.9484126984126985,0.9950547138047138,0.9950547138047138
classification,wine,0,0,40,80,5,5,knn,0.9722222222222222,0.9722633744855966,0.974320987654321,0.9761904761904763,0.976746632996633,0.976746632996633
classification,wine,0,0,40,80,10,10,lr,0.9444444444444444,0.9435246235246235,0.9451526251526251,0.9523809523809524,0.9975799663299664,0.9975799663299664
classification,wine,0,0,40,80,10,10,svm,1.0,1.0,1.0,1.0,1.0,1.0
classification,wine,0,0,40,80,10,10,knn,0.9722222222222222,0.9722633744855966,0.974320987654321,0.9761904761904763,1.0,1.0
classification,wine,0,0,40,80,13,13,lr,1.0,1.0,1.0,1.0,1.0,1.0
classification,wine,0,0,40,80,13,13,svm,1.0,1.0,1.0,1.0,1.0,1.0
classification,wine,0,0,40,80,13,13,knn,0.9444444444444444,0.9435246235246235,0.9451526251526251,0.9523809523809524,0.9785353535353535,0.9785353535353535
classification,wine,0,1,5,10,5,5,lr,0.9722222222222222,0.9723691945914168,0.9717813051146384,0.9761904761904763,0.9940753690753691,0.9940753690753691
classification,wine,0,1,5,10,5,5,svm,0.9722222222222222,0.9723691945914168,0.9717813051146384,0.9761904761904763,0.9928127428127428,0.9928127428127428
classification,wine,0,1,5,10,5,5,knn,0.9444444444444444,0.9435246235246235,0.9451526251526251,0.9523809523809524,0.9939863377363376,0.9939863377363376
classification,wine,0,1,5,10,10,10,lr,0.9444444444444444,0.9448329448329448,0.9440559440559441,0.9523809523809524,1.0,1.0
classification,wine,0,1,5,10,10,10,svm,0.9722222222222222,0.9723691945914168,0.9717813051146384,0.9761904761904763,1.0,1.0
classification,wine,0,1,5,10,10,10,knn,0.9444444444444444,0.9435246235246235,0.9451526251526251,0.9523809523809524,1.0,1.0
classification,wine,0,1,5,10,13,13,lr,0.9722222222222222,0.9723691945914168,0.9717813051146384,0.9761904761904763,1.0,1.0
classification,wine,0,1,5,10,13,13,svm,1.0,1.0,1.0,1.0,1.0,1.0
classification,wine,0,1,5,10,13,13,knn,0.9444444444444444,0.9435246235246235,0.9451526251526251,0.9523809523809524,1.0,1.0
classification,wine,0,1,10,20,5,5,lr,0.9444444444444444,0.9445019553715207,0.945824706694272,0.9484126984126985,0.9974747474747474,0.9974747474747474
classification,wine,0,1,10,20,5,5,svm,0.9444444444444444,0.9445019553715207,0.945824706694272,0.9484126984126985,0.9938973063973064,0.9938973063973064
classification,wine,0,1,10,20,5,5,knn,0.9166666666666666,0.9144647944647945,0.9184859584859586,0.9285714285714285,0.9938973063973064,0.9938973063973064
