dataset,k,downstream_model,projection_count,balanced_accuracy_mean,balanced_accuracy_std,folds
breast-cancer,5,knn,5,0.9410234273860215,0.029216077928780844,25
breast-cancer,5,knn,10,0.9407417372451765,0.02896649411605726,25
breast-cancer,5,knn,20,0.9407417372451765,0.02896649411605726,25
breast-cancer,5,knn,40,0.9407417372451765,0.02896649411605726,25
breast-cancer,5,lr,5,0.944293980939903,0.022605492460912435,25
breast-cancer,5,lr,10,0.9447701714160935,0.023370026241549102,25
breast-cancer,5,lr,20,0.9447701714160935,0.023370026241549102,25
breast-cancer,5,lr,40,0.9447701714160935,0.023370026241549102,25
breast-cancer,5,svm,5,0.9409867083638784,0.024602421568330743,25
breast-cancer,5,svm,10,0.9405105178876879,0.02404550174139208,25
breast-cancer,5,svm,20,0.9405105178876879,0.02404550174139208,25
breast-cancer,5,svm,40,0.9405105178876879,0.02404550174139208,25
breast-cancer,10,knn,5,0.9348702291266981,0.026527232746967704,25
breast-cancer,10,knn,10,0.934588538985853,0.02673548691983972,25
breast-cancer,10,knn,20,0.9350647294620436,0.026819950718796542,25
breast-cancer,10,knn,40,0.9350647294620436,0.026819950718796542,25
breast-cancer,10,lr,5,0.9472525982770005,0.022428137969663624,25
breast-cancer,10,lr,10,0.9471654084715009,0.022457759391739548,25
breast-cancer,10,lr,20,0.9471654084715009,0.022457759391739548,25
breast-cancer,10,lr,40,0.9471654084715009,0.022457759391739548,25
breast-cancer,10,svm,5,0.9461189618330136,0.02712402210351891,25
breast-cancer,10,svm,10,0.9464006519738587,0.027309323716436008,25
breast-cancer,10,svm,20,0.9459244614976682,0.026908681584612612,25
breast-cancer,10,svm,40,0.9459244614976682,0.026908681584612612,25
breast-cancer,25,knn,5,0.9590616177686273,0.017648189450927745,25
breast-cancer,25,knn,10,0.9590616177686273,0.017648189450927745,25
breast-cancer,25,knn,20,0.9590616177686273,0.017648189450927745,25
breast-cancer,25,knn,40,0.9590616177686273,0.017648189450927745,25
breast-cancer,25,lr,5,0.9751158111459455,0.014283908018628484,25
breast-cancer,25,lr,10,0.9751158111459455,0.014283908018628484,25
breast-cancer,25,lr,20,0.9751158111459455,0.014283908018628484,25
breast-cancer,25,lr,40,0.9751158111459455,0.014283908018628484,25
breast-cancer,25,svm,5,0.9735096106353887,0.013334219971919643,25
breast-cancer,25,svm,10,0.9735096106353887,0.013334219971919643,25
breast-cancer,25,svm,20,0.9735096106353887,0.013334219971919643,25
breast-cancer,25,svm,40,0.9735096106353887,0.013334219971919643,25
breast-cancer,30,knn,5,0.9579271754558357,0.021014923240401745,25
breast-cancer,30,knn,10,0.9579271754558357,0.021014923240401745,25
breast-cancer,30,knn,20,0.9579271754558357,0.021014923240401745,25
breast-cancer,30,knn,40,0.9579271754558357,0.021014923240401745,25
breast-cancer,30,lr,5,0.9728649805811613,0.01439722827482838,25
breast-cancer,30,lr,10,0.9728649805811613,0.01439722827482838,25
breast-cancer,30,lr,20,0.9728649805811613,0.01439722827482838,25
breast-cancer,30,lr,40,0.9728649805811613,0.01439722827482838,25
breast-cancer,30,svm,5,0.9745491813932692,0.012926615259044198,25
breast-cancer,30,svm,10,0.9745491813932692,0.012926615259044198,25
breast-cancer,30,svm,20,0.9745491813932692,0.012926615259044198,25
breast-cancer,30,svm,40,0.9745491813932692,0.012926615259044198,25
glass,5,knn,5,0.8524920634920634,0.08222387823817255,25
glass,5,knn,10,0.850111111111111,0.08136088705822495,25
glass,5,knn,20,0.8440833333333333,0.08560538847530705,25
glass,5,knn,40,0.8431944444444445,0.08690873497537849,25
glass,5,lr,5,0.8588730158730158,0.06565300800662113,25
glass,5,lr,10,0.8588730158730158,0.06565300800662113,25
glass,5,lr,20,0.8534285714285714,0.07551012094856724,25
glass,5,lr,40,0.8516507936507937,0.07570839272486866,25
glass,5,svm,5,0.8665396825396826,0.0660585083872607,25
glass,5,svm,10,0.8692063492063492,0.06624114120277054,25
glass,5,svm,20,0.8650396825396826,0.07634291696277438,25
glass,5,svm,40,0.864595238095238,0.07670145438271603,25
glass,10,knn,5,0.7743730158730159,0.0688310001487352,25
glass,10,knn,10,0.7743730158730159,0.0688310001487352,25
glass,10,knn,20,0.7743730158730159,0.0688310001487352,25
glass,10,knn,40,0.7743730158730159,0.0688310001487352,25
glass,10,lr,5,0.9035833333333333,0.05439063166738481,25
glass,10,lr,10,0.9035833333333333,0.05439063166738481,25
glass,10,lr,20,0.9035833333333333,0.05439063166738481,25
glass,10,lr,40,0.9035833333333333,0.05439063166738481,25
glass,10,svm,5,0.8350079365079366,0.0862132252951189,25
glass,10,svm,10,0.8350079365079366,0.0862132252951189,25
glass,10,svm,20,0.8350079365079366,0.0862132252951189,25
glass,10,svm,40,0.8350079365079366,0.0862132252951189,25
wine,5,knn,5,0.9636507936507936,0.028055115882293067,25
wine,5,knn,10,0.9607936507936509,0.027835352275744126,25
wine,5,knn,20,0.959968253968254,0.02400829725558694,25
wine,5,knn,40,0.9598095238095239,0.024073579854221205,25
wine,5,lr,5,0.9610101010101011,0.027970152121043024,25
