dataset,projection_count_left,projection_count_right,spearman_complete_ranking_mean,spearman_complete_ranking_std,fold_pairs
glass,5,10,0.9830303030303029,0.01749546270271591,25
glass,5,20,0.9709090909090908,0.020403040279519332,25
glass,5,40,0.9718787878787878,0.020015298709496292,25
glass,10,20,0.9825454545454545,0.01644201208030369,25
glass,10,40,0.9815757575757574,0.016080605044147406,25
glass,20,40,0.995151515151515,0.007824208780216979,25
heart-statlog,5,10,0.9984615384615384,0.0025178987334922047,25
heart-statlog,5,20,0.9967032967032966,0.005015774336127912,25
heart-statlog,5,40,0.9962637362637362,0.005430024571565438,25
heart-statlog,10,20,0.9982417582417582,0.0037934643181699325,25
heart-statlog,10,40,0.9980219780219781,0.003846153846153831,25
heart-statlog,20,40,0.9993406593406593,0.0018223213133820764,25
parkinsons,5,10,0.9719028797289668,0.024984038655785204,25
parkinsons,5,20,0.9532919254658387,0.035471219577613816,25
parkinsons,5,40,0.936849237718803,0.041397069242062795,25
parkinsons,10,20,0.9822473178994919,0.026639643592466324,25
parkinsons,10,40,0.9659853190287975,0.040017801783073015,25
parkinsons,20,40,0.9874872953133824,0.021503609286867398,25
wine,5,10,0.9753846153846153,0.023692300896381576,25
wine,5,20,0.9659340659340659,0.025526300118619696,25
wine,5,40,0.9615384615384615,0.021978021978021976,25
wine,10,20,0.9887912087912087,0.011043819363869122,25
wine,10,40,0.9819780219780221,0.013600057300906226,25
wine,20,40,0.9894505494505494,0.012779893790783533,25
