dataset,seed,fold,projection_count_left,projection_count_right,spearman_complete_ranking
glass,0,0,5,10,0.9878787878787878
glass,0,0,5,20,0.9878787878787878
glass,0,0,5,40,0.9878787878787878
glass,0,0,10,20,0.9999999999999999
glass,0,0,10,40,0.9999999999999999
glass,0,0,20,40,0.9999999999999999
glass,0,1,5,10,0.9636363636363635
glass,0,1,5,20,0.9515151515151514
glass,0,1,5,40,0.9636363636363635
glass,0,1,10,20,0.9878787878787878
glass,0,1,10,40,0.9999999999999999
glass,0,1,20,40,0.9878787878787878
glass,0,2,5,10,0.9999999999999999
glass,0,2,5,20,0.9636363636363635
glass,0,2,5,40,0.9636363636363635
glass,0,2,10,20,0.9636363636363635
glass,0,2,10,40,0.9636363636363635
glass,0,2,20,40,0.9999999999999999
glass,0,3,5,10,0.9999999999999999
glass,0,3,5,20,0.9636363636363635
glass,0,3,5,40,0.9636363636363635
glass,0,3,10,20,0.9636363636363635
glass,0,3,10,40,0.9636363636363635
glass,0,3,20,40,0.9999999999999999
glass,0,4,5,10,0.9878787878787878
glass,0,4,5,20,0.9636363636363635
glass,0,4,5,40,0.9878787878787878
glass,0,4,10,20,0.9757575757575757
glass,0,4,10,40,0.9999999999999999
glass,0,4,20,40,0.9757575757575757
glass,1,0,5,10,0.9999999999999999
glass,1,0,5,20,0.9878787878787878
glass,1,0,5,40,0.9757575757575757
glass,1,0,10,20,0.9878787878787878
glass,1,0,10,40,0.9757575757575757
glass,1,0,20,40,0.9878787878787878
glass,1,1,5,10,0.9515151515151514
glass,1,1,5,20,0.9515151515151514
glass,1,1,5,40,0.9515151515151514
glass,1,1,10,20,0.9636363636363635
glass,1,1,10,40,0.9636363636363635
glass,1,1,20,40,0.9999999999999999
glass,1,2,5,10,0.9757575757575757
glass,1,2,5,20,0.9878787878787878
glass,1,2,5,40,0.9878787878787878
glass,1,2,10,20,0.9878787878787878
glass,1,2,10,40,0.9878787878787878
glass,1,2,20,40,0.9999999999999999
glass,1,3,5,10,0.9999999999999999
glass,1,3,5,20,0.9999999999999999
glass,1,3,5,40,0.9878787878787878
glass,1,3,10,20,0.9999999999999999
glass,1,3,10,40,0.9878787878787878
glass,1,3,20,40,0.9878787878787878
glass,1,4,5,10,0.9636363636363635
glass,1,4,5,20,0.9636363636363635
glass,1,4,5,40,0.9636363636363635
glass,1,4,10,20,0.9999999999999999
glass,1,4,10,40,0.9999999999999999
glass,1,4,20,40,0.9999999999999999
glass,2,0,5,10,0.9999999999999999
glass,2,0,5,20,0.9999999999999999
glass,2,0,5,40,0.9999999999999999
glass,2,0,10,20,0.9999999999999999
glass,2,0,10,40,0.9999999999999999
glass,2,0,20,40,0.9999999999999999
glass,2,1,5,10,0.9272727272727272
glass,2,1,5,20,0.9393939393939393
glass,2,1,5,40,0.9393939393939393
glass,2,1,10,20,0.9636363636363635
glass,2,1,10,40,0.9636363636363635
glass,2,1,20,40,0.9999999999999999
glass,2,2,5,10,0.9878787878787878
glass,2,2,5,20,0.9878787878787878
glass,2,2,5,40,0.9999999999999999
glass,2,2,10,20,0.9999999999999999
glass,2,2,10,40,0.9878787878787878
glass,2,2,20,40,0.9878787878787878
glass,2,3,5,10,0.9878787878787878
glass,2,3,5,20,0.9393939393939393
glass,2,3,5,40,0.9393939393939393
glass,2,3,10,20,0.9515151515151514
glass,2,3,10,40,0.9515151515151514
glass,2,3,20,40,0.9999999999999999
glass,2,4,5,10,0.9999999999999999
glass,2,4,5,20,0.9878787878787878
glass,2,4,5,40,0.9757575757575757
glass,2,4,10,20,0.9878787878787878
glass,2,4,10,40,0.9757575757575757
glass,2,4,20,40,0.9878787878787878
glass,3,0,5,10,0.9878787878787878
glass,3,0,5,20,0.9878787878787878
glass,3,0,5,40,0.9878787878787878
glass,3,0,10,20,0.9999999999999999
glass,3,0,10,40,0.9999999999999999
glass,3,0,20,40,0.9999999999999999
glass,3,1,5,10,0.9878787878787878
glass,3,1,5,20,0.9999999999999999
glass,3,1,5,40,0.9999999999999999
glass,3,1,10,20,0.9878787878787878
glass,3,1,10,40,0.9878787878787878
glass,3,1,20,40,0.9999999999999999
glass,3,2,5,10,0.9878787878787878
glass,3,2,5,20,0.9515151515151514
glass,3,2,5,40,0.9515151515151514
glass,3,2,10,20,0.9757575757575757
glass,3,2,10,40,0.9757575757575757
glass,3,2,20,40,0.9999999999999999
glass,3,3,5,10,0.9757575757575757
glass,3,3,5,20,0.9636363636363635
glass,3,3,5,40,0.9636363636363635
glass,3,3,10,20,0.9878787878787878
glass,3,3,10,40,0.9878787878787878
glass,3,3,20,40,0.9999999999999999
glass,3,4,5,10,0.9757575757575757
glass,3,4,5,20,0.9272727272727272
glass,3,4,5,40,0.9272727272727272
glass,3,4,10,20,0.9515151515151514
glass,3,4,10,40,0.9515151515151514
glass,3,4,20,40,0.9999999999999999
glass,4,0,5,10,0.9999999999999999
glass,4,0,5,20,0.9636363636363635
glass,4,0,5,40,0.9636363636363635
glass,4,0,10,20,0.9636363636363635
glass,4,0,10,40,0.9636363636363635
glass,4,0,20,40,0.9757575757575757
glass,4,1,5,10,0.9757575757575757
glass,4,1,5,20,0.9636363636363635
glass,4,1,5,40,0.9636363636363635
glass,4,1,10,20,0.9757575757575757
glass,4,1,10,40,0.9757575757575757
glass,4,1,20,40,0.9999999999999999
glass,4,2,5,10,0.9878787878787878
glass,4,2,5,20,0.9757575757575757
glass,4,2,5,40,0.9757575757575757
glass,4,2,10,20,0.9878787878787878
glass,4,2,10,40,0.9878787878787878
glass,4,2,20,40,0.9999999999999999
glass,4,3,5,10,0.9757575757575757
glass,4,3,5,20,0.9757575757575757
glass,4,3,5,40,0.9878787878787878
glass,4,3,10,20,0.9999999999999999
glass,4,3,10,40,0.9878787878787878
glass,4,3,20,40,0.9878787878787878
glass,4,4,5,10,0.9878787878787878
glass,4,4,5,20,0.9878787878787878
glass,4,4,5,40,0.9878787878787878
glass,4,4,10,20,0.9999999999999999
glass,4,4,10,40,0.9999999999999999
glass,4,4,20,40,0.9999999999999999
heart-statlog,0,0,5,10,1.0
heart-statlog,0,0,5,20,1.0
heart-statlog,0,0,5,40,1.0
heart-statlog,0,0,10,20,1.0
heart-statlog,0,0,10,40,1.0
heart-statlog,0,0,20,40,1.0
heart-statlog,0,1,5,10,1.0
heart-statlog,0,1,5,20,0.9945054945054945
heart-statlog,0,1,5,40,0.9945054945054945
heart-statlog,0,1,10,20,0.9945054945054945
heart-statlog,0,1,10,40,0.9945054945054945
heart-statlog,0,1,20,40,1.0
heart-statlog,0,2,5,10,1.0
heart-statlog,0,2,5,20,1.0
heart-statlog,0,2,5,40,1.0
heart-statlog,0,2,10,20,1.0
heart-statlog,0,2,10,40,1.0
heart-statlog,0,2,20,40,1.0
heart-statlog,0,3,5,10,0.9945054945054945
heart-statlog,0,3,5,20,0.9945054945054945
heart-statlog,0,3,5,40,0.9835164835164836
heart-statlog,0,3,10,20,1.0
heart-statlog,0,3,10,40,0.9945054945054945
heart-statlog,0,3,20,40,0.9945054945054945
heart-statlog,0,4,5,10,0.9945054945054945
heart-statlog,0,4,5,20,0.9945054945054945
heart-statlog,0,4,5,40,0.9945054945054945
heart-statlog,0,4,10,20,1.0
heart-statlog,0,4,10,40,1.0
heart-statlog,0,4,20,40,1.0
heart-statlog,1,0,5,10,1.0
heart-statlog,1,0,5,20,1.0
heart-statlog,1,0,5,40,1.0
heart-statlog,1,0,10,20,1.0
heart-statlog,1,0,10,40,1.0
heart-statlog,1,0,20,40,1.0
heart-statlog,1,1,5,10,1.0
heart-statlog,1,1,5,20,1.0
heart-statlog,1,1,5,40,1.0
heart-statlog,1,1,10,20,1.0
heart-statlog,1,1,10,40,1.0
heart-statlog,1,1,20,40,1.0
heart-statlog,1,2,5,10,1.0
heart-statlog,1,2,5,20,1.0
heart-statlog,1,2,5,40,1.0
heart-statlog,1,2,10,20,1.0
heart-statlog,1,2,10,40,1.0
heart-statlog,1,2,20,40,1.0
heart-statlog,1,3,5,10,1.0
heart-statlog,1,3,5,20,0.9945054945054945
heart-statlog,1,3,5,40,0.9945054945054945
heart-statlog,1,3,10,20,0.9945054945054945
heart-statlog,1,3,10,40,0.9945054945054945
heart-statlog,1,3,20,40,1.0
heart-statlog,1,4,5,10,0.9945054945054945
heart-statlog,1,4,5,20,0.9945054945054945
heart-statlog,1,4,5,40,0.9945054945054945
heart-statlog,1,4,10,20,1.0
heart-statlog,1,4,10,40,1.0
heart-statlog,1,4,20,40,1.0
heart-statlog,2,0,5,10,1.0
heart-statlog,2,0,5,20,1.0
heart-statlog,2,0,5,40,1.0
heart-statlog,2,0,10,20,1.0
heart-statlog,2,0,10,40,1.0
heart-statlog,2,0,20,40,1.0
heart-statlog,2,1,5,10,1.0
heart-statlog,2,1,5,20,1.0
heart-statlog,2,1,5,40,1.0
heart-statlog,2,1,10,20,1.0
heart-statlog,2,1,10,40,1.0
heart-statlog,2,1,20,40,1.0
heart-statlog,2,2,5,10,1.0
heart-statlog,2,2,5,20,0.9945054945054945
heart-statlog,2,2,5,40,0.9945054945054945
heart-statlog,2,2,10,20,0.9945054945054945
heart-statlog,2,2,10,40,0.9945054945054945
heart-statlog,2,2,20,40,1.0
heart-statlog,2,3,5,10,1.0
heart-statlog,2,3,5,20,1.0
heart-statlog,2,3,5,40,1.0
heart-statlog,2,3,10,20,1.0
heart-statlog,2,3,10,40,1.0
heart-statlog,2,3,20,40,1.0
heart-statlog,2,4,5,10,1.0
heart-statlog,2,4,5,20,1.0
heart-statlog,2,4,5,40,0.9945054945054945
heart-statlog,2,4,10,20,1.0
heart-statlog,2,4,10,40,0.9945054945054945
heart-statlog,2,4,20,40,0.9945054945054945
heart-statlog,3,0,5,10,0.9945054945054945
heart-statlog,3,0,5,20,0.9780219780219779
heart-statlog,3,0,5,40,0.9780219780219779
heart-statlog,3,0,10,20,0.9835164835164836
heart-statlog,3,0,10,40,0.9835164835164836
heart-statlog,3,0,20,40,1.0
heart-statlog,3,1,5,10,1.0
heart-statlog,3,1,5,20,1.0
heart-statlog,3,1,5,40,1.0
heart-statlog,3,1,10,20,1.0
heart-statlog,3,1,10,40,1.0
heart-statlog,3,1,20,40,1.0
heart-statlog,3,2,5,10,0.9945054945054945
heart-statlog,3,2,5,20,0.9945054945054945
heart-statlog,3,2,5,40,0.9945054945054945
heart-statlog,3,2,10,20,1.0
heart-statlog,3,2,10,40,1.0
heart-statlog,3,2,20,40,1.0
heart-statlog,3,3,5,10,1.0
heart-statlog,3,3,5,20,1.0
heart-statlog,3,3,5,40,1.0
heart-statlog,3,3,10,20,1.0
heart-statlog,3,3,10,40,1.0
heart-statlog,3,3,20,40,1.0
heart-statlog,3,4,5,10,1.0
heart-statlog,3,4,5,20,1.0
heart-statlog,3,4,5,40,1.0
heart-statlog,3,4,10,20,1.0
heart-statlog,3,4,10,40,1.0
heart-statlog,3,4,20,40,1.0
heart-statlog,4,0,5,10,1.0
heart-statlog,4,0,5,20,1.0
heart-statlog,4,0,5,40,1.0
heart-statlog,4,0,10,20,1.0
heart-statlog,4,0,10,40,1.0
heart-statlog,4,0,20,40,1.0
heart-statlog,4,1,5,10,0.9945054945054945
heart-statlog,4,1,5,20,0.9945054945054945
heart-statlog,4,1,5,40,0.9945054945054945
heart-statlog,4,1,10,20,1.0
heart-statlog,4,1,10,40,1.0
heart-statlog,4,1,20,40,1.0
heart-statlog,4,2,5,10,1.0
heart-statlog,4,2,5,20,1.0
heart-statlog,4,2,5,40,1.0
heart-statlog,4,2,10,20,1.0
heart-statlog,4,2,10,40,1.0
heart-statlog,4,2,20,40,1.0
heart-statlog,4,3,5,10,1.0
heart-statlog,4,3,5,20,0.9945054945054945
heart-statlog,4,3,5,40,0.9945054945054945
heart-statlog,4,3,10,20,0.9945054945054945
heart-statlog,4,3,10,40,0.9945054945054945
heart-statlog,4,3,20,40,1.0
heart-statlog,4,4,5,10,0.9945054945054945
heart-statlog,4,4,5,20,0.989010989010989
heart-statlog,4,4,5,40,0.9945054945054945
heart-statlog,4,4,10,20,0.9945054945054945
heart-statlog,4,4,10,40,1.0
heart-statlog,4,4,20,40,0.9945054945054945
parkinsons,0,0,5,10,0.9819311123658953
parkinsons,0,0,5,20,0.9514398644833428
parkinsons,0,0,5,40,0.9638622247317901
parkinsons,0,0,10,20,0.9672501411631848
parkinsons,0,0,10,40,0.961603613777527
parkinsons,0,0,20,40,0.9830604178430267
parkinsons,0,1,5,10,0.909655561829475
parkinsons,0,1,5,20,0.9040090344438172
parkinsons,0,1,5,40,0.8927159796725015
parkinsons,0,1,10,20,0.9954827780914738
parkinsons,0,1,10,40,0.9864483342744214
parkinsons,0,1,20,40,0.9954827780914738
parkinsons,0,2,5,10,0.9954827780914738
parkinsons,0,2,5,20,0.9853190287972897
parkinsons,0,2,5,40,0.9819311123658953
parkinsons,0,2,10,20,0.989836250705816
parkinsons,0,2,10,40,0.9841897233201583
parkinsons,0,2,20,40,0.9943534726143423
parkinsons,0,3,5,10,0.9638622247317901
parkinsons,0,3,5,20,0.9740259740259741
parkinsons,0,3,5,40,0.9706380575945794
parkinsons,0,3,10,20,0.9932241671372107
parkinsons,0,3,10,40,0.9887069452286844
parkinsons,0,3,20,40,0.9977413890457371
parkinsons,0,4,5,10,0.9853190287972897
parkinsons,0,4,5,20,0.9853190287972897
parkinsons,0,4,5,40,0.9141727837380011
parkinsons,0,4,10,20,1.0
parkinsons,0,4,10,40,0.9311123658949747
parkinsons,0,4,20,40,0.9311123658949747
parkinsons,1,0,5,10,0.989836250705816
parkinsons,1,0,5,20,0.9841897233201583
parkinsons,1,0,5,40,0.9808018068887635
parkinsons,1,0,10,20,0.9977413890457371
parkinsons,1,0,10,40,0.9954827780914738
parkinsons,1,0,20,40,0.9977413890457371
parkinsons,1,1,5,10,0.9943534726143423
parkinsons,1,1,5,20,0.9909655561829477
parkinsons,1,1,5,40,0.9740259740259741
parkinsons,1,1,10,20,0.9966120835686054
parkinsons,1,1,10,40,0.9864483342744214
parkinsons,1,1,20,40,0.989836250705816
parkinsons,1,2,5,10,0.9740259740259741
parkinsons,1,2,5,20,0.9491812535290796
parkinsons,1,2,5,40,0.867871259175607
parkinsons,1,2,10,20,0.9661208356860531
parkinsons,1,2,10,40,0.8848108413325806
parkinsons,1,2,20,40,0.9469226425748165
parkinsons,1,3,5,10,0.917560700169396
parkinsons,1,3,5,20,0.8802936194240545
parkinsons,1,3,5,40,0.8723884810841334
parkinsons,1,3,10,20,0.9819311123658953
parkinsons,1,3,10,40,0.9762845849802373
parkinsons,1,3,20,40,0.9943534726143423
parkinsons,1,4,5,10,0.953698475437606
parkinsons,1,4,5,20,0.9503105590062113
parkinsons,1,4,5,40,0.9503105590062113
parkinsons,1,4,10,20,0.9932241671372107
parkinsons,1,4,10,40,0.9932241671372107
parkinsons,1,4,20,40,1.0
parkinsons,2,0,5,10,0.979672501411632
parkinsons,2,0,5,20,0.9525691699604744
parkinsons,2,0,5,40,0.9469226425748165
parkinsons,2,0,10,20,0.9841897233201583
parkinsons,2,0,10,40,0.9853190287972897
parkinsons,2,0,20,40,0.9966120835686054
parkinsons,2,1,5,10,0.9920948616600791
parkinsons,2,1,5,20,0.9887069452286844
parkinsons,2,1,5,40,0.8881987577639752
parkinsons,2,1,10,20,0.9977413890457371
parkinsons,2,1,10,40,0.909655561829475
parkinsons,2,1,20,40,0.9243365330321853
parkinsons,2,2,5,10,0.9424054206662904
parkinsons,2,2,5,20,0.9130434782608697
parkinsons,2,2,5,40,0.9153020892151329
parkinsons,2,2,10,20,0.9695087521174479
parkinsons,2,2,10,40,0.9706380575945794
parkinsons,2,2,20,40,0.9977413890457371
parkinsons,2,3,5,10,0.9909655561829477
parkinsons,2,3,5,20,0.8690005646527387
parkinsons,2,3,5,40,0.8690005646527387
parkinsons,2,3,10,20,0.8780350084697911
parkinsons,2,3,10,40,0.8780350084697911
parkinsons,2,3,20,40,1.0
parkinsons,2,4,5,10,0.9977413890457371
parkinsons,2,4,5,20,0.9299830604178432
parkinsons,2,4,5,40,0.8972332015810277
parkinsons,2,4,10,20,0.9333709768492378
parkinsons,2,4,10,40,0.9017504234895539
parkinsons,2,4,20,40,0.9920948616600791
parkinsons,3,0,5,10,0.9570863918690007
parkinsons,3,0,5,20,0.9548277809147376
parkinsons,3,0,5,40,0.9345002823263695
parkinsons,3,0,10,20,0.9932241671372107
parkinsons,3,0,10,40,0.9909655561829477
parkinsons,3,0,20,40,0.9954827780914738
parkinsons,3,1,5,10,0.961603613777527
parkinsons,3,1,5,20,0.9062676453980804
parkinsons,3,1,5,40,0.9141727837380011
parkinsons,3,1,10,20,0.9740259740259741
parkinsons,3,1,10,40,0.9706380575945794
parkinsons,3,1,20,40,0.9954827780914738
parkinsons,3,2,5,10,0.9525691699604744
parkinsons,3,2,5,20,0.9525691699604744
parkinsons,3,2,5,40,0.9649915302089217
parkinsons,3,2,10,20,0.9954827780914738
parkinsons,3,2,10,40,0.9932241671372107
parkinsons,3,2,20,40,0.9943534726143423
parkinsons,3,3,5,10,0.9932241671372107
parkinsons,3,3,5,20,0.989836250705816
parkinsons,3,3,5,40,0.989836250705816
parkinsons,3,3,10,20,0.9988706945228685
parkinsons,3,3,10,40,0.9988706945228685
parkinsons,3,3,20,40,1.0
parkinsons,3,4,5,10,0.9740259740259741
parkinsons,3,4,5,20,0.9683794466403164
parkinsons,3,4,5,40,0.9683794466403164
parkinsons,3,4,10,20,0.9966120835686054
parkinsons,3,4,10,40,0.9966120835686054
parkinsons,3,4,20,40,1.0
parkinsons,4,0,5,10,0.9819311123658953
parkinsons,4,0,5,20,0.9751552795031055
parkinsons,4,0,5,40,0.9740259740259741
parkinsons,4,0,10,20,0.9954827780914738
parkinsons,4,0,10,40,0.9943534726143423
parkinsons,4,0,20,40,0.9988706945228685
parkinsons,4,1,5,10,0.9966120835686054
parkinsons,4,1,5,20,0.9695087521174479
parkinsons,4,1,5,40,0.8893280632411069
parkinsons,4,1,10,20,0.9728966685488425
parkinsons,4,1,10,40,0.8927159796725015
parkinsons,4,1,20,40,0.9672501411631848
