task,dataset,dataset_sha256,n_samples,n_features,seed,fold,projection_count,projected_columns,selection_seconds,feature_ranking
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,0,0,5,10,0.05913495800632518,"[12, 6, 10, 9, 11, 0, 5, 3, 8, 1, 4, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,0,0,10,20,0.14031920800334774,"[6, 12, 10, 11, 9, 0, 5, 3, 1, 8, 4, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,0,0,20,40,0.42513679100375157,"[6, 12, 11, 10, 9, 0, 5, 3, 8, 1, 4, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,0,0,40,80,1.483574249999947,"[6, 12, 11, 10, 9, 0, 5, 3, 1, 8, 4, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,0,1,5,10,0.06584020800073631,"[11, 12, 9, 10, 0, 6, 5, 3, 8, 1, 4, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,0,1,10,20,0.14520316700509284,"[11, 12, 10, 9, 6, 0, 5, 3, 8, 1, 4, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,0,1,20,40,0.44326816700049676,"[12, 11, 10, 9, 6, 0, 5, 3, 8, 1, 4, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,0,1,40,80,1.5066450410085963,"[12, 11, 10, 9, 6, 0, 5, 3, 8, 1, 4, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,0,2,5,10,0.06249162499443628,"[12, 6, 9, 10, 0, 11, 5, 1, 3, 4, 8, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,0,2,10,20,0.14637795799353626,"[12, 6, 9, 10, 0, 11, 5, 1, 3, 8, 4, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,0,2,20,40,0.43560375001106877,"[12, 6, 9, 10, 11, 0, 5, 1, 3, 4, 8, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,0,2,40,80,1.5268173749936977,"[12, 6, 11, 9, 10, 0, 5, 1, 3, 8, 4, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,0,3,5,10,0.06054716699873097,"[6, 12, 9, 11, 10, 0, 5, 1, 8, 4, 3, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,0,3,10,20,0.1475370840053074,"[6, 12, 9, 11, 10, 0, 5, 1, 8, 3, 4, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,0,3,20,40,0.4345807909994619,"[6, 12, 9, 11, 10, 0, 5, 1, 8, 3, 4, 2, 7]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,0,3,40,80,1.562350708001759,"[12, 6, 11, 9, 10, 0, 5, 1, 8, 3, 4, 2, 7]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,0,4,5,10,0.05928954199771397,"[12, 11, 6, 10, 9, 0, 5, 3, 8, 1, 2, 7, 4]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,0,4,10,20,0.14143154099292587,"[12, 11, 6, 10, 9, 0, 5, 3, 8, 1, 7, 2, 4]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,0,4,20,40,0.4400462079938734,"[12, 11, 6, 10, 9, 0, 5, 3, 8, 1, 7, 4, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,0,4,40,80,1.510594375009532,"[12, 11, 6, 10, 9, 0, 5, 3, 8, 1, 7, 4, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,1,0,5,10,0.059377874989877455,"[11, 12, 9, 6, 0, 10, 5, 3, 1, 8, 4, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,1,0,10,20,0.1429217080003582,"[6, 12, 11, 9, 10, 0, 5, 3, 1, 8, 4, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,1,0,20,40,0.43073524998908397,"[12, 6, 10, 11, 9, 0, 5, 1, 3, 8, 4, 2, 7]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,1,0,40,80,1.4726663750043372,"[12, 6, 10, 11, 9, 0, 5, 1, 3, 8, 4, 2, 7]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,1,1,5,10,0.05861929200182203,"[12, 11, 10, 9, 6, 0, 5, 3, 8, 1, 4, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,1,1,10,20,0.13958133300184272,"[12, 6, 11, 10, 9, 0, 5, 8, 3, 1, 4, 2, 7]"
