dataset,projection_count_left,projection_count_right,selected_features,overlap_fraction,jaccard
glass,5,10,5,0.992,0.9866666666666667
glass,5,10,10,1.0,1.0
glass,5,20,5,0.96,0.9333333333333332
glass,5,20,10,1.0,1.0
glass,5,40,5,0.968,0.9466666666666668
glass,5,40,10,1.0,1.0
glass,10,20,5,0.968,0.9466666666666668
glass,10,20,10,1.0,1.0
glass,10,40,5,0.976,0.96
glass,10,40,10,1.0,1.0
glass,20,40,5,0.992,0.9866666666666667
glass,20,40,10,1.0,1.0
heart-statlog,5,10,5,1.0,1.0
heart-statlog,5,10,10,0.996,0.9927272727272728
heart-statlog,5,10,13,1.0,1.0
heart-statlog,5,20,5,1.0,1.0
heart-statlog,5,20,10,0.992,0.9854545454545455
heart-statlog,5,20,13,1.0,1.0
heart-statlog,5,40,5,1.0,1.0
heart-statlog,5,40,10,0.988,0.9781818181818182
heart-statlog,5,40,13,1.0,1.0
heart-statlog,10,20,5,1.0,1.0
heart-statlog,10,20,10,0.996,0.9927272727272728
heart-statlog,10,20,13,1.0,1.0
heart-statlog,10,40,5,1.0,1.0
heart-statlog,10,40,10,0.992,0.9854545454545455
heart-statlog,10,40,13,1.0,1.0
heart-statlog,20,40,5,1.0,1.0
heart-statlog,20,40,10,0.996,0.9927272727272728
heart-statlog,20,40,13,1.0,1.0
parkinsons,5,10,5,0.9440000000000001,0.9066666666666667
parkinsons,5,10,10,0.9359999999999999,0.8848484848484849
parkinsons,5,10,22,1.0,1.0
parkinsons,5,20,5,0.92,0.8704761904761905
parkinsons,5,20,10,0.904,0.8315151515151515
parkinsons,5,20,22,1.0,1.0
parkinsons,5,40,5,0.8960000000000001,0.8266666666666667
parkinsons,5,40,10,0.88,0.7936596736596736
parkinsons,5,40,22,1.0,1.0
parkinsons,10,20,5,0.9520000000000001,0.92
parkinsons,10,20,10,0.956,0.92
parkinsons,10,20,22,1.0,1.0
parkinsons,10,40,5,0.904,0.84
parkinsons,10,40,10,0.932,0.8775757575757577
parkinsons,10,40,22,1.0,1.0
parkinsons,20,40,5,0.9440000000000001,0.9066666666666667
parkinsons,20,40,10,0.968,0.943030303030303
parkinsons,20,40,22,1.0,1.0
wine,5,10,5,0.976,0.96
wine,5,10,10,0.988,0.9781818181818182
wine,5,10,13,1.0,1.0
wine,5,20,5,0.9520000000000001,0.92
wine,5,20,10,0.992,0.9854545454545455
wine,5,20,13,1.0,1.0
wine,5,40,5,0.9440000000000001,0.9066666666666667
wine,5,40,10,0.98,0.9636363636363636
wine,5,40,13,1.0,1.0
wine,10,20,5,0.976,0.96
wine,10,20,10,0.996,0.9927272727272728
wine,10,20,13,1.0,1.0
wine,10,40,5,0.96,0.9333333333333332
wine,10,40,10,0.992,0.9854545454545455
wine,10,40,13,1.0,1.0
wine,20,40,5,0.9840000000000001,0.9733333333333333
wine,20,40,10,0.988,0.9781818181818182
wine,20,40,13,1.0,1.0
