dataset,seed,fold,projection_count_left,projection_count_right,selected_features,overlap_fraction,jaccard,spearman_complete_ranking
breast-cancer,0,0,5,10,5,1.0,1.0,1.0
breast-cancer,0,0,5,10,10,1.0,1.0,1.0
breast-cancer,0,0,5,10,25,1.0,1.0,1.0
breast-cancer,0,0,5,10,30,1.0,1.0,1.0
breast-cancer,0,0,5,20,5,1.0,1.0,0.9991101223581758
breast-cancer,0,0,5,20,10,1.0,1.0,0.9991101223581758
breast-cancer,0,0,5,20,25,1.0,1.0,0.9991101223581758
breast-cancer,0,0,5,20,30,1.0,1.0,0.9991101223581758
breast-cancer,0,0,5,40,5,1.0,1.0,0.9986651835372636
breast-cancer,0,0,5,40,10,1.0,1.0,0.9986651835372636
breast-cancer,0,0,5,40,25,1.0,1.0,0.9986651835372636
breast-cancer,0,0,5,40,30,1.0,1.0,0.9986651835372636
breast-cancer,0,0,10,20,5,1.0,1.0,0.9991101223581758
breast-cancer,0,0,10,20,10,1.0,1.0,0.9991101223581758
breast-cancer,0,0,10,20,25,1.0,1.0,0.9991101223581758
breast-cancer,0,0,10,20,30,1.0,1.0,0.9991101223581758
breast-cancer,0,0,10,40,5,1.0,1.0,0.9986651835372636
breast-cancer,0,0,10,40,10,1.0,1.0,0.9986651835372636
breast-cancer,0,0,10,40,25,1.0,1.0,0.9986651835372636
breast-cancer,0,0,10,40,30,1.0,1.0,0.9986651835372636
breast-cancer,0,0,20,40,5,1.0,1.0,0.9995550611790878
breast-cancer,0,0,20,40,10,1.0,1.0,0.9995550611790878
breast-cancer,0,0,20,40,25,1.0,1.0,0.9995550611790878
breast-cancer,0,0,20,40,30,1.0,1.0,0.9995550611790878
breast-cancer,0,1,5,10,5,1.0,1.0,0.9942157953281423
breast-cancer,0,1,5,10,10,1.0,1.0,0.9942157953281423
breast-cancer,0,1,5,10,25,1.0,1.0,0.9942157953281423
breast-cancer,0,1,5,10,30,1.0,1.0,0.9942157953281423
breast-cancer,0,1,5,20,5,1.0,1.0,0.9964404894327029
breast-cancer,0,1,5,20,10,1.0,1.0,0.9964404894327029
breast-cancer,0,1,5,20,25,1.0,1.0,0.9964404894327029
breast-cancer,0,1,5,20,30,1.0,1.0,0.9964404894327029
breast-cancer,0,1,5,40,5,1.0,1.0,0.9964404894327029
breast-cancer,0,1,5,40,10,1.0,1.0,0.9964404894327029
breast-cancer,0,1,5,40,25,1.0,1.0,0.9964404894327029
breast-cancer,0,1,5,40,30,1.0,1.0,0.9964404894327029
breast-cancer,0,1,10,20,5,1.0,1.0,0.9982202447163514
breast-cancer,0,1,10,20,10,1.0,1.0,0.9982202447163514
breast-cancer,0,1,10,20,25,1.0,1.0,0.9982202447163514
breast-cancer,0,1,10,20,30,1.0,1.0,0.9982202447163514
breast-cancer,0,1,10,40,5,1.0,1.0,0.9968854282536151
breast-cancer,0,1,10,40,10,1.0,1.0,0.9968854282536151
breast-cancer,0,1,10,40,25,1.0,1.0,0.9968854282536151
breast-cancer,0,1,10,40,30,1.0,1.0,0.9968854282536151
breast-cancer,0,1,20,40,5,1.0,1.0,0.9991101223581758
breast-cancer,0,1,20,40,10,1.0,1.0,0.9991101223581758
breast-cancer,0,1,20,40,25,1.0,1.0,0.9991101223581758
breast-cancer,0,1,20,40,30,1.0,1.0,0.9991101223581758
breast-cancer,0,2,5,10,5,1.0,1.0,0.9968854282536151
breast-cancer,0,2,5,10,10,1.0,1.0,0.9968854282536151
breast-cancer,0,2,5,10,25,1.0,1.0,0.9968854282536151
breast-cancer,0,2,5,10,30,1.0,1.0,0.9968854282536151
breast-cancer,0,2,5,20,5,1.0,1.0,0.9973303670745272
breast-cancer,0,2,5,20,10,1.0,1.0,0.9973303670745272
breast-cancer,0,2,5,20,25,1.0,1.0,0.9973303670745272
breast-cancer,0,2,5,20,30,1.0,1.0,0.9973303670745272
breast-cancer,0,2,5,40,5,1.0,1.0,0.9964404894327029
breast-cancer,0,2,5,40,10,1.0,1.0,0.9964404894327029
breast-cancer,0,2,5,40,25,1.0,1.0,0.9964404894327029
breast-cancer,0,2,5,40,30,1.0,1.0,0.9964404894327029
breast-cancer,0,2,10,20,5,1.0,1.0,0.9995550611790878
breast-cancer,0,2,10,20,10,1.0,1.0,0.9995550611790878
breast-cancer,0,2,10,20,25,1.0,1.0,0.9995550611790878
breast-cancer,0,2,10,20,30,1.0,1.0,0.9995550611790878
breast-cancer,0,2,10,40,5,1.0,1.0,0.9982202447163514
breast-cancer,0,2,10,40,10,1.0,1.0,0.9982202447163514
breast-cancer,0,2,10,40,25,1.0,1.0,0.9982202447163514
breast-cancer,0,2,10,40,30,1.0,1.0,0.9982202447163514
breast-cancer,0,2,20,40,5,1.0,1.0,0.9991101223581758
breast-cancer,0,2,20,40,10,1.0,1.0,0.9991101223581758
breast-cancer,0,2,20,40,25,1.0,1.0,0.9991101223581758
breast-cancer,0,2,20,40,30,1.0,1.0,0.9991101223581758
breast-cancer,0,3,5,10,5,1.0,1.0,0.9942157953281423
breast-cancer,0,3,5,10,10,1.0,1.0,0.9942157953281423
breast-cancer,0,3,5,10,25,1.0,1.0,0.9942157953281423
breast-cancer,0,3,5,10,30,1.0,1.0,0.9942157953281423
breast-cancer,0,3,5,20,5,1.0,1.0,0.9937708565072303
breast-cancer,0,3,5,20,10,1.0,1.0,0.9937708565072303
breast-cancer,0,3,5,20,25,1.0,1.0,0.9937708565072303
breast-cancer,0,3,5,20,30,1.0,1.0,0.9937708565072303
breast-cancer,0,3,5,40,5,1.0,1.0,0.9937708565072303
breast-cancer,0,3,5,40,10,1.0,1.0,0.9937708565072303
breast-cancer,0,3,5,40,25,1.0,1.0,0.9937708565072303
breast-cancer,0,3,5,40,30,1.0,1.0,0.9937708565072303
breast-cancer,0,3,10,20,5,1.0,1.0,0.9995550611790878
breast-cancer,0,3,10,20,10,1.0,1.0,0.9995550611790878
breast-cancer,0,3,10,20,25,1.0,1.0,0.9995550611790878
breast-cancer,0,3,10,20,30,1.0,1.0,0.9995550611790878
breast-cancer,0,3,10,40,5,1.0,1.0,0.9995550611790878
breast-cancer,0,3,10,40,10,1.0,1.0,0.9995550611790878
breast-cancer,0,3,10,40,25,1.0,1.0,0.9995550611790878
breast-cancer,0,3,10,40,30,1.0,1.0,0.9995550611790878
breast-cancer,0,3,20,40,5,1.0,1.0,1.0
breast-cancer,0,3,20,40,10,1.0,1.0,1.0
breast-cancer,0,3,20,40,25,1.0,1.0,1.0
breast-cancer,0,3,20,40,30,1.0,1.0,1.0
breast-cancer,0,4,5,10,5,1.0,1.0,0.9919911012235817
breast-cancer,0,4,5,10,10,1.0,1.0,0.9919911012235817
breast-cancer,0,4,5,10,25,1.0,1.0,0.9919911012235817
breast-cancer,0,4,5,10,30,1.0,1.0,0.9919911012235817
breast-cancer,0,4,5,20,5,1.0,1.0,0.9879866518353726
breast-cancer,0,4,5,20,10,1.0,1.0,0.9879866518353726
breast-cancer,0,4,5,20,25,1.0,1.0,0.9879866518353726
breast-cancer,0,4,5,20,30,1.0,1.0,0.9879866518353726
breast-cancer,0,4,5,40,5,1.0,1.0,0.9875417130144604
breast-cancer,0,4,5,40,10,1.0,1.0,0.9875417130144604
breast-cancer,0,4,5,40,25,1.0,1.0,0.9875417130144604
breast-cancer,0,4,5,40,30,1.0,1.0,0.9875417130144604
breast-cancer,0,4,10,20,5,1.0,1.0,0.9964404894327029
breast-cancer,0,4,10,20,10,1.0,1.0,0.9964404894327029
breast-cancer,0,4,10,20,25,1.0,1.0,0.9964404894327029
breast-cancer,0,4,10,20,30,1.0,1.0,0.9964404894327029
breast-cancer,0,4,10,40,5,1.0,1.0,0.9959955506117909
breast-cancer,0,4,10,40,10,1.0,1.0,0.9959955506117909
breast-cancer,0,4,10,40,25,1.0,1.0,0.9959955506117909
breast-cancer,0,4,10,40,30,1.0,1.0,0.9959955506117909
breast-cancer,0,4,20,40,5,1.0,1.0,0.9995550611790878
breast-cancer,0,4,20,40,10,1.0,1.0,0.9995550611790878
breast-cancer,0,4,20,40,25,1.0,1.0,0.9995550611790878
breast-cancer,0,4,20,40,30,1.0,1.0,0.9995550611790878
breast-cancer,1,0,5,10,5,1.0,1.0,0.9959955506117909
breast-cancer,1,0,5,10,10,1.0,1.0,0.9959955506117909
