dataset,projection_count,mean_seconds,median_seconds,std_seconds,max_seconds,median_ratio_to_10
glass,5,0.10662936003936915,0.1057560829940484,0.003159756281955633,0.1125270419870503,0.40759829828740773
glass,10,0.2619703866797499,0.259461542009376,0.011047964286918748,0.2979281659936532,1.0
glass,20,0.8045167784392834,0.7984042919997592,0.04208352165604269,0.893589792001876,3.0771585099533083
glass,40,2.7589882418006892,2.770262958001694,0.10648301950252821,3.0174438749963883,10.676969451995268
heart-statlog,5,0.03774928008206184,0.0339343329833354,0.013542448733362345,0.0985278340231161,0.4157627776369555
heart-statlog,10,0.08636054667877029,0.0816194590006489,0.01386111709719923,0.1281009580125101,1.0
heart-statlog,20,0.2525702949601691,0.2496228749805595,0.019879686322657786,0.3057666659879032,3.0583745351531295
heart-statlog,40,0.911044179998571,0.8946350420010276,0.08502901161614734,1.1676588749978691,10.961050868934514
parkinsons,5,0.03951548156095669,0.038383042003260925,0.002826433010788382,0.048368707997724414,0.42057059221104537
parkinsons,10,0.09145903331693261,0.09126420799293555,0.0017362132752309467,0.09544816697598435,1.0
parkinsons,20,0.27508129823603666,0.27294804199482314,0.004232064787741022,0.28560045798076317,2.9907457479491972
parkinsons,40,0.9422505300410557,0.9356287500122562,0.018106179055970475,0.9792741250130348,10.251869496141138
wine,5,0.05910359004163178,0.0584940419939812,0.001433845989176386,0.0646927920024609,0.4205413457197113
wine,10,0.14025331327866294,0.1390922499995213,0.004774297198279025,0.1595303329959279,1.0
wine,20,0.4215799466799945,0.418463125010021,0.01330582143643493,0.4628120419947663,3.008529411318468
wine,40,1.4516033349599455,1.4384661249932833,0.03646350010790509,1.5284935000090627,10.34181361649002
