test,mode,n,B,n_sims,nominal_alpha,empirical_rejection_rate
ptest_mc,fixed-B,200,199,10000,0.05,0.049
ptest_pc,fixed-B,200,199,10000,0.05,0.0504
ptest_mc,adaptive,200,199,10000,0.05,0.0476
CIT_root_split,"n=200,p=10",200,199,1000,0.05,0.012
CIT_root_split,"n=200,p=50",200,199,1000,0.05,0.023
CIT_root_split,"n=200,p=100",200,199,1000,0.05,0.029
CIT_root_split,"n=500,p=10",500,199,1000,0.05,0.01
CIT_root_split,"n=500,p=100",500,199,1000,0.05,0.02
ptest_mc,fixed-B=49,200,49,10000,0.05,0.0409
ptest_mc,fixed-B=99,200,99,10000,0.05,0.0463
ptest_mc,fixed-B=199,200,199,10000,0.05,0.0438
ptest_mc,fixed-B=499,200,499,10000,0.05,0.0503
ptest_mc,fixed-B=999,200,999,10000,0.05,0.0495
