task,dataset,model_variant,ranking_variant,downstream_model,k,mean_score,median_score,std_score,n_fold_seed_rows,n_nonnull_score_rows,n_seeds,n_folds,n_features,score_missing_rows,scores_complete
classification,ALLAML,cif_default,split_count,knn,5,0.8759999999999999,0.9,0.10003497330820688,25,25,5,5,7129,0,True
classification,ALLAML,cif_default,split_count,knn,10,0.9022222222222221,0.9,0.096278488381896,25,25,5,5,7129,0,True
classification,ALLAML,cif_default,split_count,knn,25,0.8886666666666666,0.9,0.11863940594075523,25,25,5,5,7129,0,True
classification,ALLAML,cif_default,split_count,knn,50,0.8891111111111111,0.9,0.10708540493744835,25,25,5,5,7129,0,True
classification,ALLAML,cif_default,split_count,knn,100,0.9291111111111111,1.0,0.10098893717679559,25,25,5,5,7129,0,True
classification,ALLAML,cif_default,split_count,lr,5,0.8973333333333333,0.9,0.09092177707966945,25,25,5,5,7129,0,True
classification,ALLAML,cif_default,split_count,lr,10,0.9193333333333333,0.9444444444444444,0.08709296863229075,25,25,5,5,7129,0,True
classification,ALLAML,cif_default,split_count,lr,25,0.9362222222222222,0.9444444444444444,0.08566371229953947,25,25,5,5,7129,0,True
classification,ALLAML,cif_default,split_count,lr,50,0.9488888888888889,0.9444444444444444,0.05817880767557408,25,25,5,5,7129,0,True
classification,ALLAML,cif_default,split_count,lr,100,0.9728888888888889,1.0,0.044799507639857634,25,25,5,5,7129,0,True
classification,ALLAML,cif_default,split_count,svm,5,0.9006666666666666,0.9,0.08398388048351872,25,25,5,5,7129,0,True
classification,ALLAML,cif_default,split_count,svm,10,0.9113333333333334,0.9,0.08467257197253693,25,25,5,5,7129,0,True
classification,ALLAML,cif_default,split_count,svm,25,0.9135555555555556,0.9444444444444444,0.10144379538147799,25,25,5,5,7129,0,True
classification,ALLAML,cif_default,split_count,svm,50,0.9486666666666665,1.0,0.07172693417691677,25,25,5,5,7129,0,True
classification,ALLAML,cif_default,split_count,svm,100,0.9477777777777777,0.95,0.05981366814633041,25,25,5,5,7129,0,True
classification,ALLAML,cif_default,split_importance,knn,5,0.858,0.8888888888888888,0.10254076776335326,25,25,5,5,7129,0,True
classification,ALLAML,cif_default,split_importance,knn,10,0.8986666666666667,0.9,0.0878451452689624,25,25,5,5,7129,0,True
classification,ALLAML,cif_default,split_importance,knn,25,0.9151111111111111,0.9,0.08765814632584895,25,25,5,5,7129,0,True
classification,ALLAML,cif_default,split_importance,knn,50,0.9228888888888889,1.0,0.09891801485347063,25,25,5,5,7129,0,True
classification,ALLAML,cif_default,split_importance,knn,100,0.9471111111111111,1.0,0.07792842553377323,25,25,5,5,7129,0,True
classification,ALLAML,cif_default,split_importance,lr,5,0.9064444444444445,0.9,0.09224954972176456,25,25,5,5,7129,0,True
classification,ALLAML,cif_default,split_importance,lr,10,0.9244444444444444,0.9444444444444444,0.06366708680618918,25,25,5,5,7129,0,True
classification,ALLAML,cif_default,split_importance,lr,25,0.9504444444444445,0.95,0.06612278141625791,25,25,5,5,7129,0,True
classification,ALLAML,cif_default,split_importance,lr,50,0.9646666666666667,1.0,0.046060882951498065,25,25,5,5,7129,0,True
classification,ALLAML,cif_default,split_importance,lr,100,0.9622222222222223,1.0,0.046231436047481214,25,25,5,5,7129,0,True
classification,ALLAML,cif_default,split_importance,svm,5,0.8793333333333334,0.9,0.08584966283599196,25,25,5,5,7129,0,True
classification,ALLAML,cif_default,split_importance,svm,10,0.8982222222222223,0.9,0.07838256923891833,25,25,5,5,7129,0,True
classification,ALLAML,cif_default,split_importance,svm,25,0.9382222222222222,0.95,0.07738525289908373,25,25,5,5,7129,0,True
classification,ALLAML,cif_default,split_importance,svm,50,0.9540000000000001,1.0,0.05662216844000005,25,25,5,5,7129,0,True
classification,ALLAML,cif_default,split_importance,svm,100,0.958,1.0,0.05658945356816968,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_bootstrap,split_count,knn,5,0.8964444444444445,0.9,0.07415296724636397,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_bootstrap,split_count,knn,10,0.9224444444444444,0.9444444444444444,0.08371025867483271,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_bootstrap,split_count,knn,25,0.8993333333333333,0.9,0.10962337319484967,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_bootstrap,split_count,knn,50,0.9513333333333334,1.0,0.07210246481292275,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_bootstrap,split_count,knn,100,0.9531111111111111,1.0,0.06557909182011151,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_bootstrap,split_count,lr,5,0.9133333333333333,0.9,0.07983393257333286,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_bootstrap,split_count,lr,10,0.938,0.9444444444444444,0.08161310917050867,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_bootstrap,split_count,lr,25,0.9522222222222223,1.0,0.07794294631753691,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_bootstrap,split_count,lr,50,0.9602222222222223,1.0,0.05294029558964838,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_bootstrap,split_count,lr,100,0.9624444444444444,1.0,0.05341429040765296,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_bootstrap,split_count,svm,5,0.892888888888889,0.9,0.09095571662535168,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_bootstrap,split_count,svm,10,0.9255555555555556,0.9444444444444444,0.07795944392515472,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_bootstrap,split_count,svm,25,0.9420000000000001,0.95,0.08268388908610487,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_bootstrap,split_count,svm,50,0.95,0.95,0.05938210646231096,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_bootstrap,split_count,svm,100,0.9522222222222223,0.95,0.05576349972190202,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_bootstrap,split_importance,knn,5,0.8959999999999999,0.9,0.09111111111111114,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_bootstrap,split_importance,knn,10,0.9008888888888889,0.9,0.09112748272061445,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_bootstrap,split_importance,knn,25,0.9033333333333333,0.9,0.1019107573769119,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_bootstrap,split_importance,knn,50,0.9193333333333333,0.9,0.08421020142887295,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_bootstrap,split_importance,knn,100,0.9491111111111111,1.0,0.07171617583602188,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_bootstrap,split_importance,lr,5,0.8993333333333333,0.9,0.08260982215238925,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_bootstrap,split_importance,lr,10,0.9257777777777778,0.9444444444444444,0.08416070752648189,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_bootstrap,split_importance,lr,25,0.9588888888888889,1.0,0.07610637995568341,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_bootstrap,split_importance,lr,50,0.9544444444444444,1.0,0.061446888974211314,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_bootstrap,split_importance,lr,100,0.9624444444444444,1.0,0.05341429040765296,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_bootstrap,split_importance,svm,5,0.8946666666666667,0.9,0.09428745121589684,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_bootstrap,split_importance,svm,10,0.9235555555555556,0.9444444444444444,0.08240657511023725,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_bootstrap,split_importance,svm,25,0.9426666666666667,0.95,0.0831126708112711,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_bootstrap,split_importance,svm,50,0.9442222222222222,0.95,0.06455928465037311,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_bootstrap,split_importance,svm,100,0.9522222222222223,0.95,0.05576349972190202,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_mute,split_count,knn,5,0.8759999999999999,0.9,0.10003497330820688,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_mute,split_count,knn,10,0.9004444444444445,0.9,0.10693446321868509,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_mute,split_count,knn,25,0.8868888888888888,0.9,0.11810053609325576,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_mute,split_count,knn,50,0.9071111111111111,0.9,0.102734225006345,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_mute,split_count,knn,100,0.9211111111111111,1.0,0.10700755713476792,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_mute,split_count,lr,5,0.8933333333333333,0.9,0.09735440749363233,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_mute,split_count,lr,10,0.9175555555555556,0.9444444444444444,0.09229136185608612,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_mute,split_count,lr,25,0.9366666666666668,0.9444444444444444,0.08543642499572054,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_mute,split_count,lr,50,0.955111111111111,1.0,0.05126787553359701,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_mute,split_count,lr,100,0.9708888888888889,1.0,0.04465459575240492,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_mute,split_count,svm,5,0.9006666666666666,0.9,0.08398388048351872,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_mute,split_count,svm,10,0.9073333333333333,0.9,0.08754363991112599,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_mute,split_count,svm,25,0.9135555555555556,0.9444444444444444,0.09913566794265428,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_mute,split_count,svm,50,0.9526666666666667,1.0,0.062363431038263084,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_mute,split_count,svm,100,0.9542222222222222,1.0,0.06224288678019767,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_mute,split_importance,knn,5,0.8540000000000001,0.8888888888888888,0.10676114642898549,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_mute,split_importance,knn,10,0.9006666666666666,0.9,0.08961394108180934,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_mute,split_importance,knn,25,0.9131111111111112,0.9,0.09090423668297082,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_mute,split_importance,knn,50,0.9188888888888889,1.0,0.10973687197090524,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_mute,split_importance,knn,100,0.9448888888888889,1.0,0.07714557880538656,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_mute,split_importance,lr,5,0.8984444444444445,0.9,0.09923213421520949,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_mute,split_importance,lr,10,0.9244444444444444,0.9444444444444444,0.06366708680618918,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_mute,split_importance,lr,25,0.9508888888888889,1.0,0.07066847190799232,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_mute,split_importance,lr,50,0.9646666666666667,1.0,0.046060882951498065,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_mute,split_importance,lr,100,0.9644444444444444,1.0,0.04667438207825393,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_mute,split_importance,svm,5,0.8793333333333334,0.9,0.08584966283599196,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_mute,split_importance,svm,10,0.8977777777777777,0.9,0.07840356714820944,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_mute,split_importance,svm,25,0.9404444444444445,0.95,0.07535103036971544,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_mute,split_importance,svm,50,0.956,1.0,0.05735331980087178,25,25,5,5,7129,0,True
classification,ALLAML,cif_no_mute,split_importance,svm,100,0.96,1.0,0.054880153750879415,25,25,5,5,7129,0,True
classification,ALLAML,cif_one_tree,split_count,knn,5,0.708,0.7,0.15951540555398872,25,25,5,5,7129,0,True
classification,ALLAML,cif_one_tree,split_count,knn,10,0.7244444444444444,0.7444444444444445,0.13164439567858652,25,25,5,5,7129,0,True
classification,ALLAML,cif_one_tree,split_count,knn,25,0.6646666666666667,0.6888888888888889,0.12696885655537515,25,25,5,5,7129,0,True
classification,ALLAML,cif_one_tree,split_count,knn,50,0.6402222222222222,0.6444444444444444,0.14371503869003763,25,25,5,5,7129,0,True
classification,ALLAML,cif_one_tree,split_count,knn,100,0.7346666666666667,0.7444444444444445,0.11787600725516521,25,25,5,5,7129,0,True
classification,ALLAML,cif_one_tree,split_count,lr,5,0.7613333333333334,0.8,0.14842693675864754,25,25,5,5,7129,0,True
classification,ALLAML,cif_one_tree,split_count,lr,10,0.7568888888888888,0.8,0.1346317947760077,25,25,5,5,7129,0,True
classification,ALLAML,cif_one_tree,split_count,lr,25,0.7286666666666668,0.7444444444444445,0.14674696174671897,25,25,5,5,7129,0,True
classification,ALLAML,cif_one_tree,split_count,lr,50,0.7871111111111111,0.8,0.1284775524419791,25,25,5,5,7129,0,True
classification,ALLAML,cif_one_tree,split_count,lr,100,0.8146666666666667,0.8444444444444444,0.10489412651706378,25,25,5,5,7129,0,True
classification,ALLAML,cif_one_tree,split_count,svm,5,0.7384444444444445,0.8,0.16597014952990619,25,25,5,5,7129,0,True
classification,ALLAML,cif_one_tree,split_count,svm,10,0.7366666666666667,0.7444444444444445,0.14775410559495328,25,25,5,5,7129,0,True
classification,ALLAML,cif_one_tree,split_count,svm,25,0.7528888888888889,0.7444444444444445,0.11193123256287883,25,25,5,5,7129,0,True
classification,ALLAML,cif_one_tree,split_count,svm,50,0.7586666666666667,0.788888888888889,0.12539115753047053,25,25,5,5,7129,0,True
classification,ALLAML,cif_one_tree,split_count,svm,100,0.7482222222222222,0.8,0.1055765086416232,25,25,5,5,7129,0,True
classification,ALLAML,cif_one_tree,split_importance,knn,5,0.708,0.7,0.15951540555398872,25,25,5,5,7129,0,True
classification,ALLAML,cif_one_tree,split_importance,knn,10,0.7244444444444444,0.7444444444444445,0.13164439567858652,25,25,5,5,7129,0,True
classification,ALLAML,cif_one_tree,split_importance,knn,25,0.6646666666666667,0.6888888888888889,0.12696885655537515,25,25,5,5,7129,0,True
classification,ALLAML,cif_one_tree,split_importance,knn,50,0.6402222222222222,0.6444444444444444,0.14371503869003763,25,25,5,5,7129,0,True
classification,ALLAML,cif_one_tree,split_importance,knn,100,0.7346666666666667,0.7444444444444445,0.11787600725516521,25,25,5,5,7129,0,True
classification,ALLAML,cif_one_tree,split_importance,lr,5,0.7613333333333334,0.8,0.14842693675864754,25,25,5,5,7129,0,True
classification,ALLAML,cif_one_tree,split_importance,lr,10,0.7568888888888888,0.8,0.1346317947760077,25,25,5,5,7129,0,True
