task,dataset,model_variant,ranking_variant,dataset_score,n_cells,n_downstream_models,n_k_values,min_fold_seed_rows,min_nonnull_score_rows,score_missing_rows,support_type,scores_complete
classification,ALLAML,cif_default,split_count,0.9187851851851853,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,ALLAML,cif_default,split_importance,0.9251851851851852,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,ALLAML,cif_no_bootstrap,split_count,0.9341037037037038,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,ALLAML,cif_no_bootstrap,split_importance,0.9284592592592593,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,ALLAML,cif_no_mute,split_count,0.9195703703703704,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,ALLAML,cif_no_mute,split_importance,0.9245333333333333,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,ALLAML,cif_one_tree,split_count,0.737037037037037,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,ALLAML,cif_one_tree,split_importance,0.737037037037037,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,CLL_SUB_111,cif_default,split_count,0.7306864197530863,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,CLL_SUB_111,cif_default,split_importance,0.7296161616161616,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,CLL_SUB_111,cif_no_bootstrap,split_count,0.7277854096520763,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,CLL_SUB_111,cif_no_bootstrap,split_importance,0.7063829405162739,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,CLL_SUB_111,cif_no_mute,split_count,0.7263955106621773,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
classification,CLL_SUB_111,cif_no_mute,split_importance,0.7196516273849607,15,3,5,25,25,0,dataset_mean_over_supported_downstream_standard_k,True
