task,dataset,downstream_model,k,model_variant,ranking_variant,candidate_score,candidate_fold_seed_rows,candidate_nonnull_score_rows,candidate_score_missing_rows,reference_score,reference_fold_seed_rows,reference_nonnull_score_rows,reference_score_missing_rows,reference_model_variant,reference_ranking_variant,delta_vs_reference,candidate_complete,reference_complete
classification,ALLAML,knn,5,cif_default,split_count,0.8759999999999999,25,25,0,0.858,25,25,0,cif_default,split_importance,0.017999999999999905,True,True
classification,ALLAML,knn,5,cif_no_bootstrap,split_count,0.8964444444444445,25,25,0,0.858,25,25,0,cif_default,split_importance,0.0384444444444445,True,True
classification,ALLAML,knn,5,cif_no_bootstrap,split_importance,0.8959999999999999,25,25,0,0.858,25,25,0,cif_default,split_importance,0.03799999999999992,True,True
classification,ALLAML,knn,5,cif_no_mute,split_count,0.8759999999999999,25,25,0,0.858,25,25,0,cif_default,split_importance,0.017999999999999905,True,True
classification,ALLAML,knn,5,cif_no_mute,split_importance,0.8540000000000001,25,25,0,0.858,25,25,0,cif_default,split_importance,-0.0039999999999998925,True,True
classification,ALLAML,knn,5,cif_one_tree,split_count,0.708,25,25,0,0.858,25,25,0,cif_default,split_importance,-0.15000000000000002,True,True
classification,ALLAML,knn,5,cif_one_tree,split_importance,0.708,25,25,0,0.858,25,25,0,cif_default,split_importance,-0.15000000000000002,True,True
classification,ALLAML,knn,10,cif_default,split_count,0.9022222222222221,25,25,0,0.8986666666666667,25,25,0,cif_default,split_importance,0.003555555555555423,True,True
classification,ALLAML,knn,10,cif_no_bootstrap,split_count,0.9224444444444444,25,25,0,0.8986666666666667,25,25,0,cif_default,split_importance,0.023777777777777676,True,True
classification,ALLAML,knn,10,cif_no_bootstrap,split_importance,0.9008888888888889,25,25,0,0.8986666666666667,25,25,0,cif_default,split_importance,0.0022222222222221255,True,True
classification,ALLAML,knn,10,cif_no_mute,split_count,0.9004444444444445,25,25,0,0.8986666666666667,25,25,0,cif_default,split_importance,0.001777777777777767,True,True
classification,ALLAML,knn,10,cif_no_mute,split_importance,0.9006666666666666,25,25,0,0.8986666666666667,25,25,0,cif_default,split_importance,0.0019999999999998908,True,True
classification,ALLAML,knn,10,cif_one_tree,split_count,0.7244444444444444,25,25,0,0.8986666666666667,25,25,0,cif_default,split_importance,-0.17422222222222228,True,True
classification,ALLAML,knn,10,cif_one_tree,split_importance,0.7244444444444444,25,25,0,0.8986666666666667,25,25,0,cif_default,split_importance,-0.17422222222222228,True,True
classification,ALLAML,knn,25,cif_default,split_count,0.8886666666666666,25,25,0,0.9151111111111111,25,25,0,cif_default,split_importance,-0.026444444444444493,True,True
classification,ALLAML,knn,25,cif_no_bootstrap,split_count,0.8993333333333333,25,25,0,0.9151111111111111,25,25,0,cif_default,split_importance,-0.01577777777777778,True,True
classification,ALLAML,knn,25,cif_no_bootstrap,split_importance,0.9033333333333333,25,25,0,0.9151111111111111,25,25,0,cif_default,split_importance,-0.011777777777777776,True,True
classification,ALLAML,knn,25,cif_no_mute,split_count,0.8868888888888888,25,25,0,0.9151111111111111,25,25,0,cif_default,split_importance,-0.02822222222222226,True,True
classification,ALLAML,knn,25,cif_no_mute,split_importance,0.9131111111111112,25,25,0,0.9151111111111111,25,25,0,cif_default,split_importance,-0.0019999999999998908,True,True
classification,ALLAML,knn,25,cif_one_tree,split_count,0.6646666666666667,25,25,0,0.9151111111111111,25,25,0,cif_default,split_importance,-0.25044444444444436,True,True
classification,ALLAML,knn,25,cif_one_tree,split_importance,0.6646666666666667,25,25,0,0.9151111111111111,25,25,0,cif_default,split_importance,-0.25044444444444436,True,True
classification,ALLAML,knn,50,cif_default,split_count,0.8891111111111111,25,25,0,0.9228888888888889,25,25,0,cif_default,split_importance,-0.033777777777777795,True,True
classification,ALLAML,knn,50,cif_no_bootstrap,split_count,0.9513333333333334,25,25,0,0.9228888888888889,25,25,0,cif_default,split_importance,0.028444444444444494,True,True
classification,ALLAML,knn,50,cif_no_bootstrap,split_importance,0.9193333333333333,25,25,0,0.9228888888888889,25,25,0,cif_default,split_importance,-0.003555555555555534,True,True
classification,ALLAML,knn,50,cif_no_mute,split_count,0.9071111111111111,25,25,0,0.9228888888888889,25,25,0,cif_default,split_importance,-0.01577777777777778,True,True
classification,ALLAML,knn,50,cif_no_mute,split_importance,0.9188888888888889,25,25,0,0.9228888888888889,25,25,0,cif_default,split_importance,-0.0040000000000000036,True,True
classification,ALLAML,knn,50,cif_one_tree,split_count,0.6402222222222222,25,25,0,0.9228888888888889,25,25,0,cif_default,split_importance,-0.2826666666666666,True,True
classification,ALLAML,knn,50,cif_one_tree,split_importance,0.6402222222222222,25,25,0,0.9228888888888889,25,25,0,cif_default,split_importance,-0.2826666666666666,True,True
classification,ALLAML,knn,100,cif_default,split_count,0.9291111111111111,25,25,0,0.9471111111111111,25,25,0,cif_default,split_importance,-0.018000000000000016,True,True
classification,ALLAML,knn,100,cif_no_bootstrap,split_count,0.9531111111111111,25,25,0,0.9471111111111111,25,25,0,cif_default,split_importance,0.006000000000000005,True,True
classification,ALLAML,knn,100,cif_no_bootstrap,split_importance,0.9491111111111111,25,25,0,0.9471111111111111,25,25,0,cif_default,split_importance,0.0020000000000000018,True,True
classification,ALLAML,knn,100,cif_no_mute,split_count,0.9211111111111111,25,25,0,0.9471111111111111,25,25,0,cif_default,split_importance,-0.026000000000000023,True,True
classification,ALLAML,knn,100,cif_no_mute,split_importance,0.9448888888888889,25,25,0,0.9471111111111111,25,25,0,cif_default,split_importance,-0.0022222222222222365,True,True
classification,ALLAML,knn,100,cif_one_tree,split_count,0.7346666666666667,25,25,0,0.9471111111111111,25,25,0,cif_default,split_importance,-0.21244444444444444,True,True
classification,ALLAML,knn,100,cif_one_tree,split_importance,0.7346666666666667,25,25,0,0.9471111111111111,25,25,0,cif_default,split_importance,-0.21244444444444444,True,True
classification,ALLAML,lr,5,cif_default,split_count,0.8973333333333333,25,25,0,0.9064444444444445,25,25,0,cif_default,split_importance,-0.009111111111111181,True,True
classification,ALLAML,lr,5,cif_no_bootstrap,split_count,0.9133333333333333,25,25,0,0.9064444444444445,25,25,0,cif_default,split_importance,0.006888888888888833,True,True
classification,ALLAML,lr,5,cif_no_bootstrap,split_importance,0.8993333333333333,25,25,0,0.9064444444444445,25,25,0,cif_default,split_importance,-0.007111111111111179,True,True
classification,ALLAML,lr,5,cif_no_mute,split_count,0.8933333333333333,25,25,0,0.9064444444444445,25,25,0,cif_default,split_importance,-0.013111111111111184,True,True
