task,dataset,model_variant,ranking_variant,candidate_dataset_score,candidate_n_cells,candidate_score_missing_rows,reference_dataset_score,reference_n_cells,reference_score_missing_rows,reference_model_variant,reference_ranking_variant,delta_vs_reference
classification,ALLAML,cif_default,split_count,0.9187851851851853,15,0,0.9251851851851852,15,0,cif_default,split_importance,-0.006399999999999961
classification,ALLAML,cif_no_bootstrap,split_count,0.9341037037037038,15,0,0.9251851851851852,15,0,cif_default,split_importance,0.008918518518518548
classification,ALLAML,cif_no_bootstrap,split_importance,0.9284592592592593,15,0,0.9251851851851852,15,0,cif_default,split_importance,0.003274074074074096
classification,ALLAML,cif_no_mute,split_count,0.9195703703703704,15,0,0.9251851851851852,15,0,cif_default,split_importance,-0.00561481481481485
classification,ALLAML,cif_no_mute,split_importance,0.9245333333333333,15,0,0.9251851851851852,15,0,cif_default,split_importance,-0.0006518518518519034
classification,ALLAML,cif_one_tree,split_count,0.737037037037037,15,0,0.9251851851851852,15,0,cif_default,split_importance,-0.18814814814814818
classification,ALLAML,cif_one_tree,split_importance,0.737037037037037,15,0,0.9251851851851852,15,0,cif_default,split_importance,-0.18814814814814818
classification,CLL_SUB_111,cif_default,split_count,0.7306864197530863,15,0,0.7296161616161616,15,0,cif_default,split_importance,0.00107025813692474
classification,CLL_SUB_111,cif_no_bootstrap,split_count,0.7277854096520763,15,0,0.7296161616161616,15,0,cif_default,split_importance,-0.001830751964085331
classification,CLL_SUB_111,cif_no_bootstrap,split_importance,0.7063829405162739,15,0,0.7296161616161616,15,0,cif_default,split_importance,-0.02323322109988768
classification,CLL_SUB_111,cif_no_mute,split_count,0.7263955106621773,15,0,0.7296161616161616,15,0,cif_default,split_importance,-0.003220650953984272
classification,CLL_SUB_111,cif_no_mute,split_importance,0.7196516273849607,15,0,0.7296161616161616,15,0,cif_default,split_importance,-0.009964534231200917
classification,CLL_SUB_111,cif_one_tree,split_count,0.6252345679012346,15,0,0.7296161616161616,15,0,cif_default,split_importance,-0.10438159371492706
classification,CLL_SUB_111,cif_one_tree,split_importance,0.6231012345679012,15,0,0.7296161616161616,15,0,cif_default,split_importance,-0.10651492704826038
classification,ORL,cif_default,split_count,0.7423666666666667,15,0,0.7628333333333333,15,0,cif_default,split_importance,-0.020466666666666522
classification,ORL,cif_no_bootstrap,split_count,0.7519333333333333,15,0,0.7628333333333333,15,0,cif_default,split_importance,-0.01089999999999991
classification,ORL,cif_no_bootstrap,split_importance,0.7613333333333333,15,0,0.7628333333333333,15,0,cif_default,split_importance,-0.0014999999999999458
classification,ORL,cif_no_mute,split_count,0.7397666666666667,15,0,0.7628333333333333,15,0,cif_default,split_importance,-0.02306666666666657
classification,ORL,cif_no_mute,split_importance,0.7643666666666667,15,0,0.7628333333333333,15,0,cif_default,split_importance,0.0015333333333334975
classification,ORL,cif_one_tree,split_count,0.7042999999999999,15,0,0.7628333333333333,15,0,cif_default,split_importance,-0.058533333333333326
classification,ORL,cif_one_tree,split_importance,0.7158,15,0,0.7628333333333333,15,0,cif_default,split_importance,-0.04703333333333326
classification,TOX_171,cif_default,split_count,0.7258465608465609,15,0,0.7237923280423281,15,0,cif_default,split_importance,0.0020542328042327807
classification,TOX_171,cif_no_bootstrap,split_count,0.7257314814814815,15,0,0.7237923280423281,15,0,cif_default,split_importance,0.001939153439153407
classification,TOX_171,cif_no_bootstrap,split_importance,0.7124497354497354,15,0,0.7237923280423281,15,0,cif_default,split_importance,-0.011342592592592626
classification,TOX_171,cif_no_mute,split_count,0.7271084656084655,15,0,0.7237923280423281,15,0,cif_default,split_importance,0.003316137566137467
classification,TOX_171,cif_no_mute,split_importance,0.7295992063492064,15,0,0.7237923280423281,15,0,cif_default,split_importance,0.005806878306878316
classification,TOX_171,cif_one_tree,split_count,0.6418227513227514,15,0,0.7237923280423281,15,0,cif_default,split_importance,-0.08196957671957672
classification,TOX_171,cif_one_tree,split_importance,0.6386653439153439,15,0,0.7237923280423281,15,0,cif_default,split_importance,-0.08512698412698416
classification,Yale,cif_default,split_count,0.596237037037037,15,0,0.6126518518518519,15,0,cif_default,split_importance,-0.016414814814814882
classification,Yale,cif_no_bootstrap,split_count,0.6070518518518518,15,0,0.6126518518518519,15,0,cif_default,split_importance,-0.005600000000000049
classification,Yale,cif_no_bootstrap,split_importance,0.6221629629629629,15,0,0.6126518518518519,15,0,cif_default,split_importance,0.009511111111111026
classification,Yale,cif_no_mute,split_count,0.5939555555555555,15,0,0.6126518518518519,15,0,cif_default,split_importance,-0.018696296296296433
classification,Yale,cif_no_mute,split_importance,0.6155555555555555,15,0,0.6126518518518519,15,0,cif_default,split_importance,0.0029037037037036306
classification,Yale,cif_one_tree,split_count,0.5091259259259259,15,0,0.6126518518518519,15,0,cif_default,split_importance,-0.10352592592592602
classification,Yale,cif_one_tree,split_importance,0.5064,15,0,0.6126518518518519,15,0,cif_default,split_importance,-0.10625185185185193
classification,arcene,cif_default,split_count,0.7242070707070707,15,0,0.7126750841750842,15,0,cif_default,split_importance,0.011531986531986504
classification,arcene,cif_no_bootstrap,split_count,0.7395892255892257,15,0,0.7126750841750842,15,0,cif_default,split_importance,0.0269141414141415
classification,arcene,cif_no_bootstrap,split_importance,0.7312121212121212,15,0,0.7126750841750842,15,0,cif_default,split_importance,0.01853703703703702
classification,arcene,cif_no_mute,split_count,0.7201397306397307,15,0,0.7126750841750842,15,0,cif_default,split_importance,0.007464646464646507
classification,arcene,cif_no_mute,split_importance,0.7156919191919191,15,0,0.7126750841750842,15,0,cif_default,split_importance,0.003016835016834918
classification,arcene,cif_one_tree,split_count,0.6857491582491583,15,0,0.7126750841750842,15,0,cif_default,split_importance,-0.02692592592592591
classification,arcene,cif_one_tree,split_importance,0.6857491582491583,15,0,0.7126750841750842,15,0,cif_default,split_importance,-0.02692592592592591
classification,dexter,cif_default,split_count,0.8169333333333333,15,0,0.8171555555555555,15,0,cif_default,split_importance,-0.00022222222222223476
classification,dexter,cif_no_bootstrap,split_count,0.8118666666666667,15,0,0.8171555555555555,15,0,cif_default,split_importance,-0.0052888888888887875
classification,dexter,cif_no_bootstrap,split_importance,0.8152444444444444,15,0,0.8171555555555555,15,0,cif_default,split_importance,-0.0019111111111110857
classification,dexter,cif_no_mute,split_count,0.8146666666666668,15,0,0.8171555555555555,15,0,cif_default,split_importance,-0.002488888888888763
classification,dexter,cif_no_mute,split_importance,0.814088888888889,15,0,0.8171555555555555,15,0,cif_default,split_importance,-0.003066666666666551
classification,dexter,cif_one_tree,split_count,0.5575555555555556,15,0,0.8171555555555555,15,0,cif_default,split_importance,-0.25959999999999994
classification,dexter,cif_one_tree,split_importance,0.5576444444444444,15,0,0.8171555555555555,15,0,cif_default,split_importance,-0.25951111111111114
classification,gamma,cif_default,split_count,0.7943662705020849,3,0,0.7978512683633069,3,0,cif_default,split_importance,-0.003484997861222028
classification,gamma,cif_no_bootstrap,split_count,0.7944420548000694,3,0,0.7978512683633069,3,0,cif_default,split_importance,-0.0034092135632375342
classification,gamma,cif_no_bootstrap,split_importance,0.7978512683633069,3,0,0.7978512683633069,3,0,cif_default,split_importance,0.0
classification,gamma,cif_no_mute,split_count,0.7944973567125139,3,0,0.7978512683633069,3,0,cif_default,split_importance,-0.003353911650793018
classification,gamma,cif_no_mute,split_importance,0.7978512683633069,3,0,0.7978512683633069,3,0,cif_default,split_importance,0.0
classification,gamma,cif_one_tree,split_count,0.7915041734777536,3,0,0.7978512683633069,3,0,cif_default,split_importance,-0.006347094885553295
classification,gamma,cif_one_tree,split_importance,0.7907139263496074,3,0,0.7978512683633069,3,0,cif_default,split_importance,-0.0071373420136995325
classification,gisette,cif_default,split_count,0.9212133333333333,15,0,0.9159888888888889,15,0,cif_default,split_importance,0.005224444444444476
classification,gisette,cif_no_bootstrap,split_count,0.9171955555555555,15,0,0.9159888888888889,15,0,cif_default,split_importance,0.0012066666666666892
classification,gisette,cif_no_bootstrap,split_importance,0.9146711111111112,15,0,0.9159888888888889,15,0,cif_default,split_importance,-0.00131777777777764
classification,gisette,cif_no_mute,split_count,0.9207933333333334,15,0,0.9159888888888889,15,0,cif_default,split_importance,0.0048044444444445
classification,gisette,cif_no_mute,split_importance,0.9165666666666666,15,0,0.9159888888888889,15,0,cif_default,split_importance,0.0005777777777777882
classification,gisette,cif_one_tree,split_count,0.8413222222222222,15,0,0.9159888888888889,15,0,cif_default,split_importance,-0.07466666666666666
classification,gisette,cif_one_tree,split_importance,0.8488577777777777,15,0,0.9159888888888889,15,0,cif_default,split_importance,-0.06713111111111114
classification,glass,cif_default,split_count,0.8455978835978836,6,0,0.8469775132275132,6,0,cif_default,split_importance,-0.001379629629629675
classification,glass,cif_no_bootstrap,split_count,0.8480403439153439,6,0,0.8469775132275132,6,0,cif_default,split_importance,0.0010628306878306404
classification,glass,cif_no_bootstrap,split_importance,0.8487089947089946,6,0,0.8469775132275132,6,0,cif_default,split_importance,0.0017314814814813895
classification,glass,cif_no_mute,split_count,0.8453789682539683,6,0,0.8469775132275132,6,0,cif_default,split_importance,-0.0015985449735449464
classification,glass,cif_no_mute,split_importance,0.8472896825396825,6,0,0.8469775132275132,6,0,cif_default,split_importance,0.0003121693121692637
classification,glass,cif_one_tree,split_count,0.8273968253968254,6,0,0.8469775132275132,6,0,cif_default,split_importance,-0.019580687830687893
classification,glass,cif_one_tree,split_importance,0.8309682539682539,6,0,0.8469775132275132,6,0,cif_default,split_importance,-0.016009259259259334
classification,isolet,cif_default,split_count,0.6769511806460959,15,0,0.6923395335361437,15,0,cif_default,split_importance,-0.015388352890047807
classification,isolet,cif_no_bootstrap,split_count,0.6824423583949007,15,0,0.6923395335361437,15,0,cif_default,split_importance,-0.009897175141242998
classification,isolet,cif_no_bootstrap,split_importance,0.6955461103867883,15,0,0.6923395335361437,15,0,cif_default,split_importance,0.003206576850644516
classification,isolet,cif_no_mute,split_count,0.6746624945675793,15,0,0.6923395335361437,15,0,cif_default,split_importance,-0.01767703896856443
classification,isolet,cif_no_mute,split_importance,0.6897897725626538,15,0,0.6923395335361437,15,0,cif_default,split_importance,-0.002549760973489912
classification,isolet,cif_one_tree,split_count,0.7141571200927133,15,0,0.6923395335361437,15,0,cif_default,split_importance,0.021817586556569513
classification,isolet,cif_one_tree,split_importance,0.715165116615964,15,0,0.6923395335361437,15,0,cif_default,split_importance,0.0228255830798203
classification,letter,cif_default,split_count,0.7712676808503548,6,0,0.7712330536711002,6,0,cif_default,split_importance,3.4627179254620444e-05
classification,letter,cif_no_bootstrap,split_count,0.771844086815261,6,0,0.7712330536711002,6,0,cif_default,split_importance,0.0006110331441607775
classification,letter,cif_no_bootstrap,split_importance,0.7712282575797692,6,0,0.7712330536711002,6,0,cif_default,split_importance,-4.796091330971919e-06
classification,letter,cif_no_mute,split_count,0.7712692636297155,6,0,0.7712330536711002,6,0,cif_default,split_importance,3.6209958615307514e-05
classification,letter,cif_no_mute,split_importance,0.7711401926082648,6,0,0.7712330536711002,6,0,cif_default,split_importance,-9.286106283534767e-05
classification,letter,cif_one_tree,split_count,0.7608937504403461,6,0,0.7712330536711002,6,0,cif_default,split_importance,-0.010339303230754049
classification,letter,cif_one_tree,split_importance,0.7556629800766128,6,0,0.7712330536711002,6,0,cif_default,split_importance,-0.015570073594487366
classification,madelon,cif_default,split_count,0.6916,15,0,0.67906,15,0,cif_default,split_importance,0.012539999999999996
classification,madelon,cif_no_bootstrap,split_count,0.6997466666666666,15,0,0.67906,15,0,cif_default,split_importance,0.02068666666666663
classification,madelon,cif_no_bootstrap,split_importance,0.6952066666666668,15,0,0.67906,15,0,cif_default,split_importance,0.016146666666666754
classification,madelon,cif_no_mute,split_count,0.6904133333333333,15,0,0.67906,15,0,cif_default,split_importance,0.011353333333333326
classification,madelon,cif_no_mute,split_importance,0.6796733333333334,15,0,0.67906,15,0,cif_default,split_importance,0.0006133333333333546
classification,madelon,cif_one_tree,split_count,0.5490733333333334,15,0,0.67906,15,0,cif_default,split_importance,-0.12998666666666658
classification,madelon,cif_one_tree,split_importance,0.5500533333333333,15,0,0.67906,15,0,cif_default,split_importance,-0.12900666666666671
classification,musk,cif_default,split_count,0.8806826199019151,15,0,0.8796135797184778,15,0,cif_default,split_importance,0.001069040183437342
classification,musk,cif_no_bootstrap,split_count,0.8803870365709972,15,0,0.8796135797184778,15,0,cif_default,split_importance,0.0007734568525193941
classification,musk,cif_no_bootstrap,split_importance,0.8790544417965755,15,0,0.8796135797184778,15,0,cif_default,split_importance,-0.0005591379219022086
classification,musk,cif_no_mute,split_count,0.8798540772476586,15,0,0.8796135797184778,15,0,cif_default,split_importance,0.00024049752918087197
classification,musk,cif_no_mute,split_importance,0.8797231367703059,15,0,0.8796135797184778,15,0,cif_default,split_importance,0.00010955705182813524
