task,dataset,model_variant,ranking_variant,delta_vs_reference,n_paired_fold_seeds,n_learner_k,reference_model_variant,reference_ranking_variant,included
classification,ALLAML,cif_default,split_count,-0.001629629629629633,25,15,cif_default,split_importance,True
classification,CLL_SUB_111,cif_default,split_count,-0.007454096520763193,25,15,cif_default,split_importance,True
classification,ORL,cif_default,split_count,-0.002000000000000002,25,15,cif_default,split_importance,True
classification,TOX_171,cif_default,split_count,0.002357142857142854,25,15,cif_default,split_importance,True
classification,Yale,cif_default,split_count,-0.005807407407407409,25,15,cif_default,split_importance,True
classification,arcene,cif_default,split_count,0.0033131313131313147,25,15,cif_default,split_importance,True
classification,dexter,cif_default,split_count,0.000711111111111121,25,15,cif_default,split_importance,True
classification,gamma,cif_default,split_count,0.0,25,3,cif_default,split_importance,True
classification,gisette,cif_default,split_count,0.0021666666666666705,25,15,cif_default,split_importance,True
classification,glass,cif_default,split_count,-0.01090806878306878,25,6,cif_default,split_importance,True
classification,letter,cif_default,split_count,0.00012117888346601767,25,6,cif_default,split_importance,True
classification,madelon,cif_default,split_count,0.021146666666666664,25,15,cif_default,split_importance,True
classification,musk,cif_default,split_count,0.0017079429655802725,25,15,cif_default,split_importance,True
classification,orlraws10P,cif_default,split_count,0.0017333333333333346,25,15,cif_default,split_importance,True
classification,page-blocks,cif_default,split_count,-0.003385769059145411,25,6,cif_default,split_importance,True
classification,pendigits,cif_default,split_count,5.371108500512728e-05,25,6,cif_default,split_importance,True
classification,pixraw10P,cif_default,split_count,0.011600000000000001,25,15,cif_default,split_importance,True
classification,spam,cif_default,split_count,0.0011459880664227487,25,12,cif_default,split_importance,True
classification,vowel-context,cif_default,split_count,0.0007744107744107735,25,6,cif_default,split_importance,True
classification,warpAR10P,cif_default,split_count,-0.025466666666666665,25,15,cif_default,split_importance,True
classification,warpPIE10P,cif_default,split_count,-0.011413333333333333,25,15,cif_default,split_importance,True
classification,wine,cif_default,split_count,-0.0015316658649991981,25,6,cif_default,split_importance,True
classification,ALLAML,cif_no_bootstrap,split_count,0.010770370370370366,25,15,cif_default,split_importance,True
classification,CLL_SUB_111,cif_no_bootstrap,split_count,0.011030303030303031,25,15,cif_default,split_importance,True
classification,ORL,cif_no_bootstrap,split_count,-0.0028000000000000004,25,15,cif_default,split_importance,True
classification,TOX_171,cif_no_bootstrap,split_count,0.004171957671957675,25,15,cif_default,split_importance,True
classification,Yale,cif_no_bootstrap,split_count,-0.023437037037037037,25,15,cif_default,split_importance,True
classification,arcene,cif_no_bootstrap,split_count,0.016604377104377108,25,15,cif_default,split_importance,True
classification,dexter,cif_no_bootstrap,split_count,-0.0002666666666666621,25,15,cif_default,split_importance,True
classification,gamma,cif_no_bootstrap,split_count,0.0,25,3,cif_default,split_importance,True
classification,gisette,cif_no_bootstrap,split_count,0.0031488888888888877,25,15,cif_default,split_importance,True
classification,glass,cif_no_bootstrap,split_count,-0.009597883597883595,25,6,cif_default,split_importance,True
classification,letter,cif_no_bootstrap,split_count,0.00012117888346601767,25,6,cif_default,split_importance,True
classification,madelon,cif_no_bootstrap,split_count,0.026706666666666667,25,15,cif_default,split_importance,True
classification,musk,cif_no_bootstrap,split_count,0.0010506896871054397,25,15,cif_default,split_importance,True
classification,orlraws10P,cif_no_bootstrap,split_count,-0.017866666666666663,25,15,cif_default,split_importance,True
classification,page-blocks,cif_no_bootstrap,split_count,-0.006696534953204748,25,6,cif_default,split_importance,True
classification,pendigits,cif_no_bootstrap,split_count,3.839982936225985e-06,25,6,cif_default,split_importance,True
classification,pixraw10P,cif_no_bootstrap,split_count,0.006400000000000002,25,15,cif_default,split_importance,True
classification,spam,cif_no_bootstrap,split_count,0.0008263426868119358,25,12,cif_default,split_importance,True
classification,vowel-context,cif_no_bootstrap,split_count,0.0007070707070707065,25,6,cif_default,split_importance,True
classification,warpAR10P,cif_no_bootstrap,split_count,-0.024533333333333324,25,15,cif_default,split_importance,True
classification,warpPIE10P,cif_no_bootstrap,split_count,-0.00717333333333334,25,15,cif_default,split_importance,True
classification,wine,cif_no_bootstrap,split_count,-0.00203687670354337,25,6,cif_default,split_importance,True
classification,ALLAML,cif_no_bootstrap,split_importance,0.006859259259259255,25,15,cif_default,split_importance,True
classification,CLL_SUB_111,cif_no_bootstrap,split_importance,0.00797485970819304,25,15,cif_default,split_importance,True
classification,ORL,cif_no_bootstrap,split_importance,-0.0048000000000000004,25,15,cif_default,split_importance,True
classification,TOX_171,cif_no_bootstrap,split_importance,-0.00517460317460317,25,15,cif_default,split_importance,True
classification,Yale,cif_no_bootstrap,split_importance,-0.008000000000000004,25,15,cif_default,split_importance,True
classification,arcene,cif_no_bootstrap,split_importance,0.012299663299663297,25,15,cif_default,split_importance,True
classification,dexter,cif_no_bootstrap,split_importance,0.0001333333333333407,25,15,cif_default,split_importance,True
classification,gamma,cif_no_bootstrap,split_importance,0.0,25,3,cif_default,split_importance,True
classification,gisette,cif_no_bootstrap,split_importance,0.00026222222222222505,25,15,cif_default,split_importance,True
classification,glass,cif_no_bootstrap,split_importance,-0.0164808201058201,25,6,cif_default,split_importance,True
classification,letter,cif_no_bootstrap,split_importance,5.077901886626416e-05,25,6,cif_default,split_importance,True
classification,madelon,cif_no_bootstrap,split_importance,0.023666666666666666,25,15,cif_default,split_importance,True
classification,musk,cif_no_bootstrap,split_importance,-0.00029614851886881845,25,15,cif_default,split_importance,True
classification,orlraws10P,cif_no_bootstrap,split_importance,-0.009733333333333337,25,15,cif_default,split_importance,True
classification,page-blocks,cif_no_bootstrap,split_importance,-1.3563919972877277e-06,25,6,cif_default,split_importance,True
classification,pendigits,cif_no_bootstrap,split_importance,-0.0011470398758597717,25,6,cif_default,split_importance,True
classification,pixraw10P,cif_no_bootstrap,split_importance,-0.006666666666666665,25,15,cif_default,split_importance,True
classification,spam,cif_no_bootstrap,split_importance,-0.006581253404126804,25,12,cif_default,split_importance,True
classification,vowel-context,cif_no_bootstrap,split_importance,-3.367003367003234e-05,25,6,cif_default,split_importance,True
classification,warpAR10P,cif_no_bootstrap,split_importance,-0.008977777777777769,25,15,cif_default,split_importance,True
classification,warpPIE10P,cif_no_bootstrap,split_importance,0.0031733333333333284,25,15,cif_default,split_importance,True
classification,wine,cif_no_bootstrap,split_importance,0.0010371973705307017,25,6,cif_default,split_importance,True
classification,ALLAML,cif_no_mute,split_count,-0.0008296296296296326,25,15,cif_default,split_importance,True
classification,CLL_SUB_111,cif_no_mute,split_count,-0.005713131313131317,25,15,cif_default,split_importance,True
classification,ORL,cif_no_mute,split_count,-0.008899999999999998,25,15,cif_default,split_importance,True
classification,TOX_171,cif_no_mute,split_count,-0.00010052910052910216,25,15,cif_default,split_importance,True
classification,Yale,cif_no_mute,split_count,-0.013274074074074075,25,15,cif_default,split_importance,True
classification,arcene,cif_no_mute,split_count,-0.0036717171717171693,25,15,cif_default,split_importance,True
classification,dexter,cif_no_mute,split_count,-0.0004888888888888851,25,15,cif_default,split_importance,True
classification,gamma,cif_no_mute,split_count,0.0,25,3,cif_default,split_importance,True
classification,gisette,cif_no_mute,split_count,0.002604444444444447,25,15,cif_default,split_importance,True
classification,glass,cif_no_mute,split_count,-0.01090806878306878,25,6,cif_default,split_importance,True
classification,letter,cif_no_mute,split_count,0.00011952462374724174,25,6,cif_default,split_importance,True
classification,madelon,cif_no_mute,split_count,0.022113333333333332,25,15,cif_default,split_importance,True
classification,musk,cif_no_mute,split_count,0.0006190925301573727,25,15,cif_default,split_importance,True
classification,orlraws10P,cif_no_mute,split_count,-0.003866666666666666,25,15,cif_default,split_importance,True
classification,page-blocks,cif_no_mute,split_count,-0.003516620953036356,25,6,cif_default,split_importance,True
classification,pendigits,cif_no_mute,split_count,0.0017408022952905826,25,6,cif_default,split_importance,True
classification,pixraw10P,cif_no_mute,split_count,0.008533333333333335,25,15,cif_default,split_importance,True
classification,spam,cif_no_mute,split_count,0.0017487038448919911,25,12,cif_default,split_importance,True
classification,vowel-context,cif_no_mute,split_count,-0.0008417508417508419,25,6,cif_default,split_importance,True
classification,warpAR10P,cif_no_mute,split_count,-0.02857777777777778,25,15,cif_default,split_importance,True
classification,warpPIE10P,cif_no_mute,split_count,-0.011013333333333333,25,15,cif_default,split_importance,True
classification,wine,cif_no_mute,split_count,-0.0015316658649991981,25,6,cif_default,split_importance,True
classification,ALLAML,cif_no_mute,split_importance,0.0,25,15,cif_default,split_importance,True
classification,CLL_SUB_111,cif_no_mute,split_importance,-0.0010154882154882173,25,15,cif_default,split_importance,True
classification,ORL,cif_no_mute,split_importance,0.004133333333333332,25,15,cif_default,split_importance,True
classification,TOX_171,cif_no_mute,split_importance,0.0015595238095238106,25,15,cif_default,split_importance,True
classification,Yale,cif_no_mute,split_importance,-0.007348148148148158,25,15,cif_default,split_importance,True
classification,arcene,cif_no_mute,split_importance,0.00831481481481482,25,15,cif_default,split_importance,True
classification,dexter,cif_no_mute,split_importance,-0.0031999999999999984,25,15,cif_default,split_importance,True
classification,gamma,cif_no_mute,split_importance,0.0,25,3,cif_default,split_importance,True
classification,gisette,cif_no_mute,split_importance,0.0003644444444444499,25,15,cif_default,split_importance,True
classification,glass,cif_no_mute,split_importance,0.0,25,6,cif_default,split_importance,True
classification,letter,cif_no_mute,split_importance,-0.0003462197148729899,25,6,cif_default,split_importance,True
classification,madelon,cif_no_mute,split_importance,0.0016733333333333355,25,15,cif_default,split_importance,True
classification,musk,cif_no_mute,split_importance,0.00023008705874952892,25,15,cif_default,split_importance,True
classification,orlraws10P,cif_no_mute,split_importance,0.008133333333333333,25,15,cif_default,split_importance,True
classification,page-blocks,cif_no_mute,split_importance,0.0,25,6,cif_default,split_importance,True
classification,pendigits,cif_no_mute,split_importance,0.0005591338085336627,25,6,cif_default,split_importance,True
classification,pixraw10P,cif_no_mute,split_importance,-0.001866666666666667,25,15,cif_default,split_importance,True
classification,spam,cif_no_mute,split_importance,1.417681173278589e-05,25,12,cif_default,split_importance,True
classification,vowel-context,cif_no_mute,split_importance,0.00047138047138047,25,6,cif_default,split_importance,True
classification,warpAR10P,cif_no_mute,split_importance,0.0024000000000000007,25,15,cif_default,split_importance,True
classification,warpPIE10P,cif_no_mute,split_importance,0.00026666666666666435,25,15,cif_default,split_importance,True
classification,wine,cif_no_mute,split_importance,0.00013756613756613857,25,6,cif_default,split_importance,True
classification,ALLAML,cif_one_tree,split_count,-0.19253333333333333,25,15,cif_default,split_importance,True
classification,CLL_SUB_111,cif_one_tree,split_count,-0.13688260381593714,25,15,cif_default,split_importance,True
classification,ORL,cif_one_tree,split_count,-0.07496666666666667,25,15,cif_default,split_importance,True
classification,TOX_171,cif_one_tree,split_count,-0.08494973544973546,25,15,cif_default,split_importance,True
classification,Yale,cif_one_tree,split_count,-0.10628148148148146,25,15,cif_default,split_importance,True
classification,arcene,cif_one_tree,split_count,-0.047429292929292925,25,15,cif_default,split_importance,True
classification,dexter,cif_one_tree,split_count,-0.2552888888888889,25,15,cif_default,split_importance,True
classification,gamma,cif_one_tree,split_count,-0.006961308851160864,25,3,cif_default,split_importance,True
classification,gisette,cif_one_tree,split_count,-0.06489777777777778,25,15,cif_default,split_importance,True
classification,glass,cif_one_tree,split_count,-0.030672619047619053,25,6,cif_default,split_importance,True
classification,letter,cif_one_tree,split_count,-0.006520062713276094,25,6,cif_default,split_importance,True
classification,madelon,cif_one_tree,split_count,-0.12835333333333332,25,15,cif_default,split_importance,True
classification,musk,cif_one_tree,split_count,-0.01627169851530035,25,15,cif_default,split_importance,True
classification,orlraws10P,cif_one_tree,split_count,-0.10813333333333333,25,15,cif_default,split_importance,True
classification,page-blocks,cif_one_tree,split_count,-0.013719532992204924,25,6,cif_default,split_importance,True
classification,pendigits,cif_one_tree,split_count,-0.009491480165845943,25,6,cif_default,split_importance,True
classification,pixraw10P,cif_one_tree,split_count,0.000533333333333336,25,15,cif_default,split_importance,True
classification,spam,cif_one_tree,split_count,-0.01995548303009534,25,12,cif_default,split_importance,True
classification,vowel-context,cif_one_tree,split_count,-0.011851851851851858,25,6,cif_default,split_importance,True
classification,warpAR10P,cif_one_tree,split_count,-0.15226666666666666,25,15,cif_default,split_importance,True
classification,warpPIE10P,cif_one_tree,split_count,-0.03518666666666667,25,15,cif_default,split_importance,True
