task,model_variant,ranking_variant,reference_model_variant,reference_ranking_variant,support_type,min_paired_fold_seeds,n_datasets,n_datasets_excluded,datasets,excluded_datasets,min_paired_fold_seeds_used,max_paired_fold_seeds_used,mean_delta_vs_reference,median_delta_vs_reference,ci95_mean_delta_lower,ci95_mean_delta_upper,wins,losses,ties,win_share,nonloss_share,sign_test_pvalue_two_sided,bootstrap_replicates
classification,cif_default,split_count,cif_default,split_importance,dataset_mean_over_paired_fold_seed_replicates,5,22,0,ALLAML;CLL_SUB_111;ORL;TOX_171;Yale;arcene;dexter;gamma;gisette;glass;letter;madelon;musk;orlraws10P;page-blocks;pendigits;pixraw10P;spam;vowel-context;warpAR10P;warpPIE10P;wine,,25,25,-0.001034788797367124,8.744498423557248e-05,-0.004637804410634708,0.0024611949083039814,12,9,1,0.5454545454545454,0.5909090909090909,0.6636238098144531,20000
classification,cif_no_bootstrap,split_count,cif_default,split_importance,dataset_mean_over_paired_fold_seed_replicates,5,22,0,ALLAML;CLL_SUB_111;ORL;TOX_171;Yale;arcene;dexter;gamma;gisette;glass;letter;madelon;musk;orlraws10P;page-blocks;pendigits;pixraw10P;spam;vowel-context;warpAR10P;warpPIE10P;wine,,25,25,-0.0005848475732597581,6.250943320112182e-05,-0.005506096490440442,0.004135115684370485,12,9,1,0.5454545454545454,0.5909090909090909,0.6636238098144531,20000
classification,cif_no_bootstrap,split_importance,cif_default,split_importance,dataset_mean_over_paired_fold_seed_replicates,5,22,0,ALLAML;CLL_SUB_111;ORL;TOX_171;Yale;arcene;dexter;gamma;gisette;glass;letter;madelon;musk;orlraws10P;page-blocks;pendigits;pixraw10P;spam;vowel-context;warpAR10P;warpPIE10P;wine,,25,25,-0.000565243412302529,-1.7513212833660035e-05,-0.0038346957932638473,0.0030616765573865455,9,12,1,0.4090909090909091,0.45454545454545453,0.6636238098144531,20000
classification,cif_no_mute,split_count,cif_default,split_importance,dataset_mean_over_paired_fold_seed_replicates,5,22,0,ALLAML;CLL_SUB_111;ORL;TOX_171;Yale;arcene;dexter;gamma;gisette;glass;letter;madelon;musk;orlraws10P;page-blocks;pendigits;pixraw10P;spam;vowel-context;warpAR10P;warpPIE10P;wine,,25,25,-0.0025343009087911285,-0.0008356902356902373,-0.006388117348392772,0.0012733262872899804,7,14,1,0.3181818181818182,0.36363636363636365,0.18924713134765625,20000
classification,cif_no_mute,split_importance,cif_default,split_importance,dataset_mean_over_paired_fold_seed_replicates,5,22,0,ALLAML;CLL_SUB_111;ORL;TOX_171;Yale;arcene;dexter;gamma;gisette;glass;letter;madelon;musk;orlraws10P;page-blocks;pendigits;pixraw10P;spam;vowel-context;warpAR10P;warpPIE10P;wine,,25,25,0.0006582396035561954,0.00018382659815783376,-0.0006192086897685588,0.0020483103741645923,13,5,4,0.5909090909090909,0.7727272727272727,0.09625244140625,20000
classification,cif_one_tree,split_count,cif_default,split_importance,dataset_mean_over_paired_fold_seed_replicates,5,22,0,ALLAML;CLL_SUB_111;ORL;TOX_171;Yale;arcene;dexter;gamma;gisette;glass;letter;madelon;musk;orlraws10P;page-blocks;pendigits;pixraw10P;spam;vowel-context;warpAR10P;warpPIE10P;wine,,25,25,-0.06890049834428551,-0.0413079797979798,-0.09919324982892376,-0.04250679862563872,1,21,0,0.045454545454545456,0.045454545454545456,1.0967254638671875e-05,20000
classification,cif_one_tree,split_importance,cif_default,split_importance,dataset_mean_over_paired_fold_seed_replicates,5,22,0,ALLAML;CLL_SUB_111;ORL;TOX_171;Yale;arcene;dexter;gamma;gisette;glass;letter;madelon;musk;orlraws10P;page-blocks;pendigits;pixraw10P;spam;vowel-context;warpAR10P;warpPIE10P;wine,,25,25,-0.07112888311933666,-0.043481313131313135,-0.10064930068381946,-0.04475162082025233,0,22,0,0.0,0.0,4.76837158203125e-07,20000
regression,cif_default,split_count,cif_default,split_importance,dataset_mean_over_paired_fold_seed_replicates,5,8,0,coepra1;coepra2;coepra3;comm_violence;community_crime;facebook;imports-85;residential,,25,25,-0.05258285552690762,-0.003349003264442067,-0.14159243097531718,-0.002331616092142505,2,6,0,0.25,0.25,0.2890625,20000
regression,cif_no_bootstrap,split_count,cif_default,split_importance,dataset_mean_over_paired_fold_seed_replicates,5,8,0,coepra1;coepra2;coepra3;comm_violence;community_crime;facebook;imports-85;residential,,25,25,-0.04259632718089337,-0.005580243330400442,-0.08353807976295516,-0.008501624382424414,3,5,0,0.375,0.375,0.7265625,20000
regression,cif_no_bootstrap,split_importance,cif_default,split_importance,dataset_mean_over_paired_fold_seed_replicates,5,8,0,coepra1;coepra2;coepra3;comm_violence;community_crime;facebook;imports-85;residential,,25,25,-0.06425502426005969,-0.00740318446906398,-0.12846583686180202,-0.01035885633800958,4,4,0,0.5,0.5,1.0,20000
regression,cif_no_mute,split_count,cif_default,split_importance,dataset_mean_over_paired_fold_seed_replicates,5,8,0,coepra1;coepra2;coepra3;comm_violence;community_crime;facebook;imports-85;residential,,25,25,-0.24760340084438168,-0.003352801676462656,-0.6439845428050253,-0.002459285337295245,2,6,0,0.25,0.25,0.2890625,20000
regression,cif_no_mute,split_importance,cif_default,split_importance,dataset_mean_over_paired_fold_seed_replicates,5,8,0,coepra1;coepra2;coepra3;comm_violence;community_crime;facebook;imports-85;residential,,25,25,-0.15719121832773864,-5.0413156239194346e-05,-0.4676895459122691,0.0012780418176742488,4,4,0,0.5,0.5,1.0,20000
regression,cif_one_tree,split_count,cif_default,split_importance,dataset_mean_over_paired_fold_seed_replicates,5,8,0,coepra1;coepra2;coepra3;comm_violence;community_crime;facebook;imports-85;residential,,25,25,-0.6618002535110826,-0.07119841343194819,-1.6904290495928294,-0.056337163054724526,0,8,0,0.0,0.0,0.0078125,20000
regression,cif_one_tree,split_importance,cif_default,split_importance,dataset_mean_over_paired_fold_seed_replicates,5,8,0,coepra1;coepra2;coepra3;comm_violence;community_crime;facebook;imports-85;residential,,25,25,-0.6583245153509379,-0.05910557423544717,-1.6919297369412634,-0.054108101208767766,0,8,0,0.0,0.0,0.0078125,20000
