task,model_variant,ranking_variant,reference_model_variant,reference_ranking_variant,downstream_model,k,n_datasets,mean_delta_vs_reference,median_delta_vs_reference,ci95_mean_delta_lower,ci95_mean_delta_upper,wins,losses,ties,win_share,nonloss_share,sign_test_pvalue_two_sided,bootstrap_replicates
classification,cif_default,split_count,cif_default,split_importance,knn,5,23,0.0030179507597482484,0.0,-0.005244266034487939,0.011582207794468233,11,11,1,0.4782608695652174,0.5217391304347826,1.0,20000
classification,cif_default,split_count,cif_default,split_importance,knn,10,22,0.0005668403002768693,0.0,-0.005489861185923753,0.006964426376605313,9,10,3,0.4090909090909091,0.5454545454545454,1.0,20000
classification,cif_default,split_count,cif_default,split_importance,knn,25,16,-0.0017900996457213547,-0.0022363636363635364,-0.012667447843492814,0.009604746863384746,7,9,0,0.4375,0.4375,0.803619384765625,20000
classification,cif_default,split_count,cif_default,split_importance,knn,50,16,-0.011566102405943933,-0.0038914141414141956,-0.024277733698381047,-0.001344201585531599,5,11,0,0.3125,0.3125,0.210113525390625,20000
classification,cif_default,split_count,cif_default,split_importance,knn,100,15,-0.005940057579665241,-0.007000000000000006,-0.01238702120656076,0.0007295163303403697,5,10,0,0.3333333333333333,0.3333333333333333,0.30175781249999994,20000
classification,cif_default,split_count,cif_default,split_importance,lr,5,23,0.004170395397183051,0.004848484848484769,-0.003926538597119742,0.012289496404660266,13,9,1,0.5652173913043478,0.6086956521739131,0.5234670639038086,20000
classification,cif_default,split_count,cif_default,split_importance,lr,10,22,-0.0007786989421689836,0.0,-0.006081046032807711,0.0042654981041904735,10,9,3,0.45454545454545453,0.5909090909090909,1.0,20000
classification,cif_default,split_count,cif_default,split_importance,lr,25,16,-0.004149579850925331,0.0008158110640170135,-0.016410273314324243,0.007578399584910685,8,7,1,0.5,0.5625,1.0,20000
classification,cif_default,split_count,cif_default,split_importance,lr,50,16,-0.008709364811985643,-0.010378787878787876,-0.01406111464392189,-0.0034346916606187365,6,10,0,0.375,0.375,0.454498291015625,20000
classification,cif_default,split_count,cif_default,split_importance,lr,100,15,-0.001854677083773315,-0.0007999999999999119,-0.007033242150168938,0.0025006266634600136,7,8,0,0.4666666666666667,0.4666666666666667,1.0,20000
classification,cif_default,split_count,cif_default,split_importance,svm,5,23,0.003479317318079332,-0.00020202020202020332,-0.005147639959141223,0.013738221463824871,10,12,1,0.43478260869565216,0.4782608695652174,0.8318119049072266,20000
classification,cif_default,split_count,cif_default,split_importance,svm,10,22,-0.004949316643374774,0.0,-0.013781045843773926,0.0030394950687218517,9,10,3,0.4090909090909091,0.5454545454545454,1.0,20000
classification,cif_default,split_count,cif_default,split_importance,svm,25,16,-0.004195438676318219,-0.00193893229274833,-0.01877569590163604,0.011112017946674022,6,9,1,0.375,0.4375,0.6072387695312499,20000
classification,cif_default,split_count,cif_default,split_importance,svm,50,16,-0.008361896057747016,-0.004699010247418034,-0.016453348482512946,-0.000981705631592187,6,9,1,0.375,0.4375,0.6072387695312499,20000
classification,cif_default,split_count,cif_default,split_importance,svm,100,15,-0.009884659134515512,-0.009500000000000064,-0.017787281650917922,-0.004395298771527823,2,11,2,0.13333333333333333,0.26666666666666666,0.0224609375,20000
classification,cif_no_bootstrap,split_count,cif_default,split_importance,knn,5,23,-0.0005369171241411409,-0.001451666535092766,-0.009789447635454175,0.008867223816830543,8,15,0,0.34782608695652173,0.34782608695652173,0.21003961563110352,20000
