task,model_variant,ranking_variant,reference_model_variant,reference_ranking_variant,support_type,n_datasets,mean_candidate_cells,mean_reference_cells,candidate_score_missing_rows,reference_score_missing_rows,mean_delta_vs_reference,median_delta_vs_reference,ci95_mean_delta_lower,ci95_mean_delta_upper,wins,losses,ties,win_share,nonloss_share,sign_test_pvalue_two_sided,bootstrap_replicates
classification,cif_default,split_count,cif_default,split_importance,dataset_mean_over_supported_downstream_standard_k,23,12.0,12.0,0,0,-0.0028580872422059407,-0.0005916305916304765,-0.006674502983300448,0.0009633313091604808,10,13,0,0.43478260869565216,0.43478260869565216,0.6776394844055176,20000
classification,cif_no_bootstrap,split_count,cif_default,split_importance,dataset_mean_over_supported_downstream_standard_k,23,12.0,12.0,0,0,-0.0017320668015956455,-0.0015670840402655095,-0.006598443704942038,0.003038340924996321,10,13,0,0.43478260869565216,0.43478260869565216,0.6776394844055176,20000
classification,cif_no_bootstrap,split_importance,cif_default,split_importance,dataset_mean_over_supported_downstream_standard_k,23,12.0,12.0,0,0,0.0005243519048519327,-4.796091330971919e-06,-0.0029879352381464936,0.00391375176408036,10,12,1,0.43478260869565216,0.4782608695652174,0.8318119049072266,20000
classification,cif_no_mute,split_count,cif_default,split_importance,dataset_mean_over_supported_downstream_standard_k,23,12.0,12.0,0,0,-0.0035714641216640823,-0.002488888888888763,-0.007531396215742986,0.0003748354371800767,9,14,0,0.391304347826087,0.391304347826087,0.4048728942871094,20000
classification,cif_no_mute,split_importance,cif_default,split_importance,dataset_mean_over_supported_downstream_standard_k,23,12.0,12.0,0,0,0.00038864362116165844,0.0002666666666666373,-0.0009585638939405693,0.001604587262902601,13,8,2,0.5652173913043478,0.6521739130434783,0.38331031799316406,20000
classification,cif_one_tree,split_count,cif_default,split_importance,dataset_mean_over_supported_downstream_standard_k,23,12.0,12.0,0,0,-0.06018438395029041,-0.02692592592592591,-0.0898279835512148,-0.034230400743950125,1,22,0,0.043478260869565216,0.043478260869565216,5.7220458984375e-06,20000
classification,cif_one_tree,split_importance,cif_default,split_importance,dataset_mean_over_supported_downstream_standard_k,23,12.0,12.0,0,0,-0.06078054862182412,-0.02692592592592591,-0.09129783942772954,-0.03483745190554642,1,22,0,0.043478260869565216,0.043478260869565216,5.7220458984375e-06,20000
regression,cif_default,split_count,cif_default,split_importance,dataset_mean_over_supported_downstream_standard_k,8,13.5,13.5,0,0,-0.02215379120624056,-0.0016689722051308475,-0.05991598697885642,0.0004480898571390015,3,5,0,0.375,0.375,0.7265625,20000
regression,cif_no_bootstrap,split_count,cif_default,split_importance,dataset_mean_over_supported_downstream_standard_k,8,13.5,13.5,0,0,-0.20165682620376588,-0.003914959564887882,-0.5989829617903473,-0.0011941836515315738,2,6,0,0.25,0.25,0.2890625,20000
regression,cif_no_bootstrap,split_importance,cif_default,split_importance,dataset_mean_over_supported_downstream_standard_k,8,13.5,13.5,0,0,-0.2076468250690143,-0.007590828233011243,-0.604117581366314,-0.0037091717640362894,3,5,0,0.375,0.375,0.7265625,20000
regression,cif_no_mute,split_count,cif_default,split_importance,dataset_mean_over_supported_downstream_standard_k,8,13.5,13.5,0,0,-0.032211471123816324,-0.001702607123123645,-0.0758415528901365,-0.0030014444973875225,3,5,0,0.375,0.375,0.7265625,20000
regression,cif_no_mute,split_importance,cif_default,split_importance,dataset_mean_over_supported_downstream_standard_k,8,13.5,13.5,0,0,3.6240118753157365e-05,0.0005845198136665841,-0.010531673974373684,0.008699940510801541,5,3,0,0.625,0.625,0.7265625,20000
regression,cif_one_tree,split_count,cif_default,split_importance,dataset_mean_over_supported_downstream_standard_k,8,13.5,13.5,0,0,-0.552817605498972,-0.10660096342114747,-1.322548382252225,-0.07489064958011049,0,8,0,0.0,0.0,0.0078125,20000
regression,cif_one_tree,split_importance,cif_default,split_importance,dataset_mean_over_supported_downstream_standard_k,8,13.5,13.5,0,0,-0.551658285525962,-0.10420103696493763,-1.3276149258263905,-0.07259052929267648,0,8,0,0.0,0.0,0.0078125,20000
