summary_scope,task,dataset_source,dataset_type,method_family,variant,n_runs,n_success,n_datasets,elapsed_seconds_mean,elapsed_seconds_median,elapsed_seconds_std,elapsed_ratio_vs_family_default_mean,elapsed_ratio_vs_family_default_median,mean_depth_mean,max_depth_mean,mean_features_used_per_tree_mean,importance_nonzero_count_mean,precision_at_10_mean,recall_at_10_mean,f1_at_10_mean
dataset_source,clf,real,__all__,cif,cif_default,30,30,6,10.089946131799996,5.464410669999893,12.270863388309627,1.0,1.0,7.46,10.833333333333334,17.766333333333332,67.53333333333333,,,
dataset_source,clf,real,__all__,cif,cif_n_jobs1,30,30,6,31.365529037999977,18.070820498499984,36.9986627366849,5.640731927439145,2.413926763379349,7.46,10.833333333333334,17.766333333333332,67.53333333333333,,,
dataset_source,clf,real,__all__,cif,cif_n_jobs1_no_adaptive,30,30,6,30.586032539766666,17.57623761800005,36.220358780396225,5.503254684770836,2.363126834937164,7.46,10.833333333333334,17.766333333333332,67.53333333333333,,,
dataset_source,clf,synthetic,__all__,cif,cif_default,40,40,8,21.7424071365,24.132687962499972,8.376561251313898,1.0,1.0,3.821,8.125,4.27725,70.45,0.49749999999999994,0.56,0.5183333333333333
dataset_source,clf,synthetic,__all__,cif,cif_n_jobs1,40,40,8,11.910760945949997,11.714379721999975,5.315954082020143,0.649927373568347,0.5194442286420985,3.821,8.125,4.27725,70.45,0.49749999999999994,0.56,0.5183333333333333
dataset_source,clf,synthetic,__all__,cif,cif_n_jobs1_no_adaptive,40,40,8,11.786551060925003,11.255751423500044,4.951617354705093,0.6512484769917938,0.5053078065200141,3.821,8.125,4.27725,70.45,0.49749999999999994,0.56,0.5183333333333333
dataset_source,reg,real,__all__,cif,cif_default,5,5,1,1.0178114004000236,1.01215645700006,0.018138423272312437,1.0,1.0,5.484,9.0,4.942,10.0,,,
dataset_source,reg,real,__all__,cif,cif_n_jobs1,5,5,1,2.604224294599976,2.604730881000023,0.01085901214714577,2.5593758864028002,2.5751708038551233,5.484,9.0,4.942,10.0,,,
dataset_source,reg,real,__all__,cif,cif_n_jobs1_no_adaptive,5,5,1,2.537504237600024,2.538657810000018,0.007059976127803289,2.493685992967383,2.516828546004007,5.484,9.0,4.942,10.0,,,
dataset_source,reg,synthetic,__all__,cif,cif_default,30,30,6,18.075298204500005,22.239204945499978,8.603681459826765,1.0,1.0,4.851333333333333,10.533333333333333,6.5649999999999995,95.93333333333334,0.6066666666666667,0.7366666666666667,0.65
