task,downstream_model,dataset,focus_method,baseline,n_k,supported_k,mean_delta,median_delta,start_delta,end_delta,delta_change,win_share,nonloss_share
classification,knn,ALLAML,cif,boruta,5,"5,10,25,50,100",-0.02511111111111113,-0.02400000000000002,-0.02400000000000002,0.0,0.02400000000000002,0.0,0.2
classification,knn,ALLAML,cif,cat,5,"5,10,25,50,100",-0.00479999999999996,-0.012222222222222245,-0.0537777777777777,0.05377777777777781,0.10755555555555552,0.4,0.4
classification,knn,ALLAML,cif,cit,5,"5,10,25,50,100",0.14711111111111108,0.17533333333333334,0.013777777777777667,0.18711111111111112,0.17333333333333345,1.0,1.0
classification,knn,ALLAML,cif,cpi,5,"5,10,25,50,100",0.3027111111111111,0.3322222222222222,0.3322222222222222,0.3442222222222222,0.01200000000000001,1.0,1.0
classification,knn,ALLAML,cif,et,5,"5,10,25,50,100",-0.023244444444444446,-0.023111111111111193,-0.010888888888888837,-0.018444444444444485,-0.007555555555555649,0.0,0.0
classification,knn,ALLAML,cif,lgbm,5,"5,10,25,50,100",-0.004044444444444473,-0.024222222222222256,-0.05999999999999994,0.08511111111111103,0.14511111111111097,0.4,0.4
classification,knn,ALLAML,cif,pi,5,"5,10,25,50,100",0.25697777777777775,0.2653333333333333,0.26088888888888884,0.29355555555555557,0.03266666666666673,1.0,1.0
classification,knn,ALLAML,cif,ptest_mc,5,"5,10,25,50,100",-0.0015555555555555544,-0.007555555555555538,-0.016000000000000014,0.02400000000000002,0.040000000000000036,0.4,0.4
classification,knn,ALLAML,cif,ptest_rdc,5,"5,10,25,50,100",-0.030222222222222282,-0.019777777777777894,-0.08244444444444454,0.0020000000000000018,0.08444444444444454,0.2,0.2
classification,knn,ALLAML,cif,r_cforest,5,"5,10,25,50,100",0.24582222222222222,0.24022222222222223,0.26555555555555554,0.24022222222222223,-0.02533333333333332,1.0,1.0
classification,knn,ALLAML,cif,r_ctree,5,"5,10,25,50,100",0.2923555555555556,0.30333333333333334,0.3422222222222222,0.25888888888888884,-0.08333333333333337,1.0,1.0
classification,knn,ALLAML,cif,rf,5,"5,10,25,50,100",-0.03102222222222222,-0.030000000000000027,-0.029777777777777792,0.004000000000000115,0.033777777777777906,0.2,0.2
classification,knn,ALLAML,cif,rfe,5,"5,10,25,50,100",0.008311111111111024,-0.02000000000000013,-0.04244444444444451,0.10177777777777774,0.14422222222222225,0.4,0.4
classification,knn,ALLAML,cif,xgb,5,"5,10,25,50,100",0.015866666666666605,0.0037777777777776578,-0.07622222222222219,0.1373333333333333,0.2135555555555555,0.6,0.6
classification,knn,CLL_SUB_111,cif,boruta,5,"5,10,25,50,100",-0.09430572390572392,-0.09911111111111115,-0.0521077441077441,-0.1112727272727273,-0.0591649831649832,0.0,0.0
