dataset,cif,r_cforest,r_ctree,CIF_vs_rcforest,CIF_vs_rctree
ALLAML,0.9448,0.7656,0.6476,0.1792,0.2972
CLL_SUB_111,0.7105,0.623,0.701,0.0876,0.0095
ORL,0.8579,0.7962,0.8215,0.0616,0.0364
TOX_171,0.7046,0.605,0.5758,0.0997,0.1288
Yale,0.6506,0.5128,0.4829,0.1378,0.1677
arcene,0.6777,0.6453,0.6683,0.0324,0.0095
dexter,0.7332,,,,
dorothea,0.6364,,,,
gisette,0.8554,0.6928,0.6507,0.1626,0.2047
isolet,0.825,0.6624,0.8052,0.1626,0.0197
madelon,0.5876,0.5391,0.5114,0.0485,0.0763
musk,0.8367,0.8369,0.7833,-0.0002,0.0534
orlraws10P,0.9065,0.7555,0.834,0.151,0.0725
pixraw10P,0.9455,0.9255,0.942,0.02,0.0035
spam,0.9122,0.8998,0.8825,0.0125,0.0298
synthetic_bias_noise50_levels500,0.9045,0.7995,0.7255,0.105,0.179
synthetic_corr_noise_p100_k10_n1000_noise20_r0.9,0.9065,0.8288,0.7868,0.0777,0.1197
synthetic_nonlinear_p100_n1000,0.8232,0.6477,0.5461,0.1756,0.2772
synthetic_p1000_k5_n200_sep0.5,0.5645,0.479,0.4705,0.0855,0.094
synthetic_p100_k10_n1000_sep2.0,0.9911,0.8843,0.883,0.1068,0.1081
synthetic_redundant20,0.9864,0.9806,0.9635,0.0057,0.0229
synthetic_toeplitz_p100_k10_n1000_r0.95,0.7782,0.7454,0.7056,0.0329,0.0726
synthetic_weak_p100_k10_n1000_sep0.1_flip0.1,0.5029,0.4942,0.5041,0.0087,-0.0012
warpAR10P,0.8548,0.5673,0.7193,0.2875,0.1355
warpPIE10P,0.9676,0.9353,0.9541,0.0323,0.0136
