task,dataset_source,dataset_type,variant,n_runs,n_success,mean_elapsed_seconds,median_elapsed_seconds,p25_elapsed_seconds,p75_elapsed_seconds,mean_elapsed_ratio_vs_default,median_elapsed_ratio_vs_default,mean_elapsed_speedup_vs_default,median_elapsed_speedup_vs_default,mean_depth,mean_max_depth,mean_features_used,mean_importance_nonzero_count,mean_precision_at_10,mean_recall_at_10,mean_f1_at_10,changes_statistical_rule
clf,real,real_breast_cancer,cit_default,5,5,14.592163761799995,14.236286241000016,13.991448625999992,14.292146540999966,1.0,1.0,1.0,1.0,5.8,5.8,3.2,3.2,,,,False
clf,real,real_breast_cancer,cit_exact_thresholds,5,5,17.200325982599992,17.220671535999998,17.17333654800001,17.236924442999964,1.183011573876771,1.206041681251469,0.8481997194292983,0.8291587393251066,6.0,6.0,3.6,3.6,,,,False
clf,real,real_breast_cancer,cit_no_adaptive,5,5,2.530891541200009,1.7524244859999951,1.6760640459999934,1.9838933110000312,0.16751634343730074,0.12309562032779818,7.200870818793769,8.123765876779729,11.0,11.0,12.0,12.0,,,,False
clf,real,real_breast_cancer,cit_no_bonferroni,5,5,0.10350090639999503,0.1035626930000148,0.1017165509999813,0.1050668469999891,0.007127259620005462,0.007380214560269249,141.21598304869025,135.49741566910726,7.8,7.8,6.4,6.4,,,,True
clf,real,real_breast_cancer,cit_no_feature_mute,5,5,14.07594302299999,13.990777253999994,13.98067479599996,14.230214838999984,0.9686052517840993,0.999342554739906,1.037144998373308,1.0006578777787214,5.8,5.8,3.2,3.2,,,,False
clf,real,real_breast_cancer,cit_no_feature_scan,5,5,9.216789598999998,8.865704208000011,6.918965908000018,11.055023978999998,0.6384613057977786,0.6227540004405845,1.8102912287283526,1.6057704957214605,5.0,5.0,5.2,5.2,,,,False
clf,real,real_breast_cancer,cit_no_threshold_scan,5,5,7.024027454600008,8.186607178999992,3.203031254999985,10.115046225000016,0.4803629434868455,0.4973777143918329,3.0821455568334453,2.010544443517633,8.2,8.2,4.4,4.4,,,,False
clf,real,real_digits,cit_default,5,5,1.0313896115999968,0.4784847230000082,0.4215954259999819,0.5181636259999891,1.0,1.0,1.0,1.0,9.2,9.2,17.8,17.8,,,,False
clf,real,real_digits,cit_exact_thresholds,5,5,0.48750842459999716,0.4436722350000082,0.3918635119999862,0.4768378599999892,0.7864090194749784,0.9264208841941068,1.7387595648953489,1.079422989120004,9.2,9.2,17.8,17.8,,,,False
clf,real,real_digits,cit_no_adaptive,5,5,3.5587638945999998,3.0287313169999948,2.603664005000013,3.0640829619999863,5.2918647064255575,5.84512529445681,0.23226857261098394,0.17108273127153392,13.6,13.6,38.6,38.6,,,,False
