method,accuracy_mean,accuracy_ci_lo,accuracy_ci_hi,accuracy_formatted,f1_macro_mean,f1_macro_ci_lo,f1_macro_ci_hi,f1_macro_formatted,balanced_accuracy_mean,balanced_accuracy_ci_lo,balanced_accuracy_ci_hi,balanced_accuracy_formatted
boruta,0.546,,,0.546 [insufficient data],0.5320685621083365,,,0.532 [insufficient data],0.546,,,0.546 [insufficient data]
cat,0.546,,,0.546 [insufficient data],0.5320685621083365,,,0.532 [insufficient data],0.546,,,0.546 [insufficient data]
cif,0.546,,,0.546 [insufficient data],0.5320685621083365,,,0.532 [insufficient data],0.546,,,0.546 [insufficient data]
cit,0.546,,,0.546 [insufficient data],0.5320685621083365,,,0.532 [insufficient data],0.546,,,0.546 [insufficient data]
cpi,0.546,,,0.546 [insufficient data],0.5320685621083365,,,0.532 [insufficient data],0.546,,,0.546 [insufficient data]
et,0.546,,,0.546 [insufficient data],0.5320685621083365,,,0.532 [insufficient data],0.546,,,0.546 [insufficient data]
lgbm,0.546,,,0.546 [insufficient data],0.5320685621083365,,,0.532 [insufficient data],0.546,,,0.546 [insufficient data]
pi,0.546,,,0.546 [insufficient data],0.5320685621083365,,,0.532 [insufficient data],0.546,,,0.546 [insufficient data]
ptest_mc,0.546,,,0.546 [insufficient data],0.5320685621083365,,,0.532 [insufficient data],0.546,,,0.546 [insufficient data]
ptest_rdc,0.546,,,0.546 [insufficient data],0.5320685621083365,,,0.532 [insufficient data],0.546,,,0.546 [insufficient data]
r_cforest,0.50325,,,0.503 [insufficient data],0.4927885659767308,,,0.493 [insufficient data],0.50325,,,0.503 [insufficient data]
r_ctree,0.546,,,0.546 [insufficient data],0.5320685621083365,,,0.532 [insufficient data],0.546,,,0.546 [insufficient data]
rf,0.546,,,0.546 [insufficient data],0.5320685621083365,,,0.532 [insufficient data],0.546,,,0.546 [insufficient data]
rfe,0.546,,,0.546 [insufficient data],0.5320685621083365,,,0.532 [insufficient data],0.546,,,0.546 [insufficient data]
xgb,0.546,,,0.546 [insufficient data],0.5320685621083364,,,0.532 [insufficient data],0.546,,,0.546 [insufficient data]
