method1,method2,statistic,p_value,p_value_corrected,significant,n_pairs,cohens_d,effect_size
boruta,cat,140.0,0.5601714849472046,1.0,False,25,-0.18745376115108686,negligible
boruta,cif,132.0,0.42614197731018066,1.0,False,25,0.01268295845606404,negligible
boruta,cit,58.0,0.0037809014320373535,0.18526417016983032,False,25,0.3962119898305861,small
boruta,cpi,21.0,5.328655242919922e-05,0.0038366317749023438,True,24,0.6562203308921912,medium
boruta,et,104.0,0.11993378400802612,1.0,False,25,-0.14912945546613635,negligible
boruta,lgbm,113.0,0.19081425666809082,1.0,False,25,-0.20492468472976622,small
boruta,pi,49.0,0.002814650535583496,0.1463618278503418,False,24,0.33137931537785315,small
boruta,ptest_mc,112.0,0.18172985315322876,1.0,False,25,0.09395249629590978,negligible
boruta,ptest_rdc,71.0,0.012466490268707275,0.5111261010169983,False,25,0.2910528391608641,small
boruta,r_cforest,30.0,0.00047516822814941406,0.028985261917114258,True,23,0.6608345642459266,medium
boruta,r_ctree,40.0,0.0018849372863769531,0.10932636260986328,False,23,0.6758024682940614,medium
boruta,rf,116.0,0.21998637914657593,1.0,False,25,-0.20236278946038141,small
boruta,rfe,139.0,0.5424043536186218,1.0,False,25,-0.15225822309020573,negligible
boruta,xgb,146.0,0.6720751523971558,1.0,False,25,-0.10941230903905737,negligible
cat,cif,69.0,0.010510802268981934,0.4414536952972412,False,25,0.2127243896493533,small
cat,cit,4.0,4.172325134277344e-07,4.0471553802490234e-05,True,25,0.6284041016295078,medium
cat,cpi,1.0,2.384185791015625e-07,2.4557113647460938e-05,True,24,0.8737377488135349,large
cat,et,134.0,0.457846462726593,1.0,False,25,0.04140222264660212,negligible
cat,lgbm,151.0,0.7711594104766846,1.0,False,25,-0.017263011065017746,negligible
cat,pi,0.0,1.1920928955078125e-07,1.2516975402832031e-05,True,24,0.5643337739366082,medium
cat,ptest_mc,53.0,0.002255260944366455,0.12629461288452148,False,25,0.3023103132899706,small
cat,ptest_rdc,26.0,6.365776062011719e-05,0.00451970100402832,True,25,0.4995513616917043,small
cat,r_cforest,1.0,4.76837158203125e-07,4.57763671875e-05,True,23,0.9388665239128705,large
cat,r_ctree,0.0,2.384185791015625e-07,2.4557113647460938e-05,True,23,0.9516679274907682,large
cat,rf,145.0,0.6528410911560059,1.0,False,25,-0.01598543927877207,negligible
cat,rfe,155.0,0.8531995415687561,1.0,False,25,0.04179070010153122,negligible
cat,xgb,82.0,0.029578447341918945,1.0,False,25,0.08568694345299827,negligible
cif,cit,15.0,8.165836334228516e-06,0.0006369352340698242,True,25,0.40456780301101813,small
cif,cpi,24.0,9.083747863769531e-05,0.0062677860260009766,True,24,0.7138435233206452,medium
cif,et,87.0,0.04215019941329956,1.0,False,25,-0.17192230912077727,negligible
cif,lgbm,54.0,0.002507925033569336,0.13793587684631348,False,25,-0.23168657778701732,small
cif,pi,41.0,0.001092672348022461,0.06556034088134766,False,24,0.38222979645602134,small
cif,ptest_mc,109.0,0.15633821487426758,1.0,False,25,0.08583356624642882,negligible
cif,ptest_rdc,112.0,0.18172985315322876,1.0,False,25,0.29281087165857644,small
cif,r_cforest,1.0,4.76837158203125e-07,4.57763671875e-05,True,23,0.7969447554007433,medium
cif,r_ctree,1.0,4.76837158203125e-07,4.57763671875e-05,True,23,0.8111649259428362,large
cif,rf,57.0,0.003419220447540283,0.17096102237701416,False,25,-0.2286395251562808,small
cif,rfe,64.0,0.0067255496978759766,0.30264973640441895,False,25,-0.17587761467110266,negligible
cif,xgb,95.0,0.0709836483001709,1.0,False,25,-0.12987965791675854,negligible
cit,cpi,73.0,0.026927709579467773,1.0,False,24,0.38084065233440406,small
cit,et,24.0,4.5418739318847656e-05,0.003315567970275879,True,25,-0.5863980026739808,medium
