method,avg_rank,std_rank,cd
rfe,3.9130434782608696,3.1850608277347723,4.289604706734938
cat,4.6521739130434785,2.3098785146329552,4.289604706734938
lgbm,4.6521739130434785,2.529971569734984,4.289604706734938
rf,4.869565217391305,3.630239515706762,4.289604706734938
et,5.304347826086956,3.0742235867980887,4.289604706734938
xgb,6.043478260869565,3.1274140014529466,4.289604706734938
boruta,6.521739130434782,4.00129941086959,4.289604706734938
cif,6.695652173913044,2.725639655418692,4.289604706734938
ptest_mc,9.021739130434783,2.837935030316039,4.289604706734938
ptest_rdc,9.065217391304348,3.940603429365055,4.289604706734938
cit,10.695652173913043,2.9845221394313937,4.289604706734938
pi,10.956521739130435,2.026525423725464,4.289604706734938
cpi,12.26086956521739,2.9630681998394524,4.289604706734938
r_ctree,12.608695652173912,2.7778491904283977,4.289604706734938
r_cforest,12.73913043478261,2.249973744858367,4.289604706734938
