method1,method2,statistic,p_value,p_value_corrected,significant,n_pairs,cohens_d,effect_size
boruta,cat,128.0,0.5296296702875959,1.0,False,25,-0.12339239198202147,negligible
boruta,cif,110.0,0.2530979089471155,1.0,False,25,0.006812525211456913,negligible
boruta,cit,50.0,0.004274733960172558,0.20518723008828277,False,25,0.36033527164511936,small
boruta,cpi,11.0,0.00011214112045483085,0.008634866275021975,True,24,0.648480739550043,medium
boruta,et,135.0,0.6682351417952492,1.0,False,25,-0.07670976794344722,negligible
boruta,lgbm,132.0,0.6070522480710051,1.0,False,25,-0.12125311734678963,negligible
boruta,pi,47.0,0.00564428749261033,0.25399293716746485,False,24,0.33517072949378734,small
boruta,ptest_mc,83.5,0.05742039839653249,1.0,False,25,0.11715747640993907,negligible
boruta,ptest_rdc,43.0,0.002234577508303177,0.12066718544837156,False,25,0.254550365236518,small
boruta,r_cforest,30.0,0.00047516822814941406,0.029935598373413086,True,23,0.5791096810786,medium
boruta,r_ctree,27.0,0.0012364646093812478,0.06800555351596863,False,23,0.6240901327982842,medium
boruta,rf,103.0,0.44549752117368835,1.0,False,25,-0.09981467085958809,negligible
boruta,rfe,143.5,0.8526613933965645,1.0,False,25,-0.06206659842543065,negligible
boruta,xgb,133.0,0.6271697535393987,1.0,False,25,-0.06307904167061068,negligible
cat,cif,75.0,0.03212457120765664,1.0,False,25,0.1298346353300682,negligible
cat,cit,8.0,4.9676698642994975e-05,0.004570256275155538,True,25,0.48993896336229725,small
cat,cpi,0.0,2.7015948487105505e-05,0.002620547003249234,True,24,0.7767987650372311,medium
cat,et,107.0,0.21920901846833762,1.0,False,25,0.04529184480006358,negligible
cat,lgbm,127.0,0.5110890641174397,1.0,False,25,0.0009077216947578144,negligible
cat,pi,4.0,4.589511709712496e-05,0.004314141007129746,True,24,0.4696192234248514,small
cat,ptest_mc,43.0,0.002234577508303177,0.12066718544837156,False,25,0.2431097336896475,small
cat,ptest_rdc,12.0,8.051662013688955e-05,0.0066023628512249435,True,25,0.37882548125232207,small
cat,r_cforest,0.0,2.384185791015625e-07,2.5033950805664062e-05,True,23,0.7257663413434959,medium
cat,r_ctree,0.0,4.0099648164691383e-05,0.0038094665756456814,True,23,0.7645357825727156,medium
cat,rf,116.0,0.5033885325417343,1.0,False,25,0.022382890485613992,negligible
cat,rfe,103.0,0.17931823604537567,1.0,False,25,0.0617920239279998,negligible
cat,xgb,86.0,0.11374603825319686,1.0,False,25,0.06020593478018217,negligible
cif,cit,26.0,0.0003958170582658896,0.025728108787282822,True,25,0.35223019512438875,small
cif,cpi,18.0,0.00026245030304128245,0.01759791546969676,True,24,0.6422305259870336,medium
cif,et,104.0,0.1887500729032935,1.0,False,25,-0.08322987093880588,negligible
cif,lgbm,51.0,0.004675626589095523,0.21975444968748958,False,25,-0.12764546773002397,negligible
cif,pi,30.0,0.001020493721834038,0.05714764842270613,False,24,0.3298171807569103,small
cif,ptest_mc,76.0,0.034490871763967416,1.0,False,25,0.10988335676818548,negligible
cif,ptest_rdc,72.0,0.02584243384486978,0.9303276184153121,False,25,0.24703064817658793,small
cif,r_cforest,0.0,2.384185791015625e-07,2.5033950805664062e-05,True,23,0.6109688093061877,medium
cif,r_ctree,4.0,6.977779907723859e-05,0.006000890720642519,True,23,0.6545356563028284,medium
cif,rf,64.0,0.014004698339500193,0.5461832352405075,False,25,-0.10627463939859803,negligible
cif,rfe,92.0,0.09749059620220792,1.0,False,25,-0.06872082413233509,negligible
cif,xgb,113.0,0.29044639432372954,1.0,False,25,-0.069702192212641,negligible
cit,cpi,60.0,0.017674556091571775,0.6716331314797275,False,24,0.3017250356792977,small
cit,et,22.0,0.000255042253184011,0.01759791546969676,True,25,-0.4371108522064794,small
