method,avg_rank,std_rank,cd
lgbm,4.195652173913044,2.249343529521363,4.289604706734938
cat,4.413043478260869,2.8917129492254823,4.289604706734938
rf,5.413043478260869,2.8690711037040613,4.289604706734938
boruta,5.543478260869565,4.083138827459828,4.289604706734938
xgb,5.543478260869565,2.839599801404435,4.289604706734938
rfe,5.717391304347826,3.3519173194525735,4.289604706734938
et,5.934782608695652,2.6633761992681353,4.289604706734938
cif,6.065217391304348,2.5379911082950035,4.289604706734938
ptest_mc,8.717391304347826,2.6161126444822735,4.289604706734938
ptest_rdc,9.630434782608695,3.058194235962969,4.289604706734938
cit,10.021739130434783,3.619026595255202,4.289604706734938
pi,10.73913043478261,2.5102813163736437,4.289604706734938
r_ctree,12.195652173913043,3.441243236019767,4.289604706734938
cpi,12.73913043478261,2.970395835199305,4.289604706734938
r_cforest,13.130434782608695,1.4833671399332162,4.289604706734938
