method1,method2,statistic,p_value,p_value_corrected,significant,n_pairs,cohens_d,effect_size
boruta,cat,66.0,8.191913366317749e-05,0.005734339356422424,True,32,-0.5125857822552206,medium
boruta,cif,154.0,0.03942684410139918,1.0,False,32,-0.309468459750673,small
boruta,cit,197.0,0.2168873231858015,1.0,False,32,-0.21283149246173907,small
boruta,cpi,178.0,0.1756664952263236,1.0,False,31,0.14062070901878262,negligible
boruta,et,111.0,0.0033791903406381607,0.1622011363506317,False,32,-0.390403984020049,small
boruta,lgbm,51.0,1.6032252460718155e-05,0.0012024189345538616,True,32,-0.48938489983990763,small
boruta,pi,238.0,0.8543895706534386,1.0,False,31,-0.07557381681668257,negligible
boruta,ptest_mc,197.0,0.2168873231858015,1.0,False,32,-0.15393617274417074,negligible
boruta,ptest_rdc,252.0,0.8320396803319454,1.0,False,32,-0.04409720434652655,negligible
boruta,r_cforest,173.0,0.22855282202363014,1.0,False,30,0.1889051245652053,negligible
boruta,r_ctree,136.0,0.0780201614093598,1.0,False,30,0.35519713433053973,small
boruta,rf,90.0,0.0007131760939955711,0.04279056563973427,True,32,-0.4772898492444208,small
boruta,rfe,94.0,0.000980085227638483,0.055864857975393534,False,32,-0.549662996869915,medium
boruta,xgb,120.0,0.006084855645895004,0.2799033597111702,False,32,-0.34960332518706055,small
cat,cif,126.0,0.016812692771269424,0.6556950180795076,False,32,0.2155846791866141,small
cat,cit,22.0,2.4959444999694824e-07,2.4460256099700928e-05,True,32,0.31802810323995906,small
cat,cpi,7.0,3.5152372790448263e-06,0.00028824945688167575,True,31,0.6349643626760023,medium
cat,et,160.0,0.08461834699560226,1.0,False,32,0.12135736062564995,negligible
cat,lgbm,244.0,0.9375208663339457,1.0,False,32,0.018505900354304803,negligible
cat,pi,34.0,3.4635886549949646e-06,0.00028747785836458206,True,31,0.44362917911075406,small
cat,ptest_mc,52.0,1.802295446395874e-05,0.0013336986303329468,True,32,0.35482572354565434,small
cat,ptest_rdc,14.0,5.122274160385132e-08,5.2247196435928345e-06,True,32,0.44979435731873685,small
cat,r_cforest,21.0,8.326023817062378e-07,7.576681673526764e-05,True,30,0.7643848420423546,medium
cat,r_ctree,18.0,4.7124922275543213e-07,4.476867616176605e-05,True,30,0.9839389336921889,large
cat,rf,177.0,0.25364409754600126,1.0,False,32,0.037033578458514495,negligible
cat,rfe,186.0,0.33885615524718515,1.0,False,32,-0.031667807458689516,negligible
cat,xgb,77.0,0.00023426301777362823,0.014758570119738579,True,32,0.1805588030731331,negligible
cif,cit,147.0,0.02797716623172164,0.9512236518785357,False,32,0.1021737044032023,negligible
cif,cpi,43.0,1.1898577213287354e-05,0.0009161904454231262,True,31,0.47925886432001413,small
cif,et,187.0,0.2319349847309139,1.0,False,32,-0.09006219668813811,negligible
cif,lgbm,138.0,0.017460348084568977,0.6634932272136211,False,32,-0.19396722801433097,negligible
cif,pi,121.0,0.011704971082508564,0.4799038143828511,False,31,0.27544803782892785,small
