method,avg_rank,std_rank,cd
rfe,3.716666666666667,2.848050015166323,3.791510720927508
cat,4.7,2.511971337416094,3.791510720927508
lgbm,4.816666666666666,3.2158029928602425,3.791510720927508
rf,5.066666666666666,2.7164110309172447,3.791510720927508
et,6.1,3.0177254127350075,3.791510720927508
cif,6.25,2.8069853342450273,3.791510720927508
xgb,7.533333333333333,2.9970355723985365,3.791510720927508
ptest_mc,8.866666666666667,3.8099285499278794,3.791510720927508
pi,9.033333333333333,3.8835836829173935,3.791510720927508
cit,9.066666666666666,2.8276413413931327,3.791510720927508
boruta,9.183333333333334,5.093268978651029,3.791510720927508
ptest_rdc,10.9,3.2695565448543635,3.791510720927508
r_cforest,11.233333333333333,3.470670764500078,3.791510720927508
cpi,11.25,3.3509948771471834,3.791510720927508
r_ctree,12.283333333333333,4.1184206789604305,3.791510720927508
