method1,method2,statistic,p_value,p_value_corrected,significant,n_pairs,cohens_d,effect_size
boruta,cat,108.0,0.0027503338642418385,0.1292656916193664,False,32,-0.28916541746451746,small
boruta,cif,200.0,0.2386409710161388,1.0,False,32,-0.14904910651590783,negligible
boruta,cit,214.0,0.35953784734010696,1.0,False,32,0.04842077269386034,negligible
boruta,cpi,125.0,0.014852074906229973,0.5049705468118191,False,31,0.305253247278772,small
boruta,et,136.0,0.015647762920707464,0.5163761763833463,False,32,-0.2157220705907214,small
boruta,lgbm,101.0,0.0016667949967086315,0.08167295483872294,False,32,-0.2877728709474187,small
boruta,pi,193.0,0.2899207631126046,1.0,False,31,0.0804133051191546,negligible
boruta,ptest_mc,250.0,0.8033682219684124,1.0,False,32,-0.03665620336091957,negligible
boruta,ptest_rdc,209.0,0.31266863038763404,1.0,False,32,0.09243449458574124,negligible
boruta,r_cforest,131.0,0.036434996873140335,1.0,False,30,0.3181110723503033,small
boruta,r_ctree,98.0,0.009766957038791829,0.3711443674740895,False,30,0.3981721024708582,small
boruta,rf,124.0,0.007796160411089659,0.319642576854676,False,32,-0.25924302979845076,small
boruta,rfe,124.0,0.007796160411089659,0.319642576854676,False,32,-0.2840487376688572,small
boruta,xgb,160.0,0.05208174558356404,1.0,False,32,-0.19947661730530336,negligible
cat,cif,113.0,0.008156219107393366,0.319642576854676,False,32,0.13407428319230433,negligible
cat,cit,7.0,8.847564458847046e-09,9.201467037200928e-07,True,32,0.32928601014675746,small
cat,cpi,7.0,1.7695128917694092e-08,1.7695128917694092e-06,True,31,0.5666067163237495,medium
cat,et,162.0,0.05696781584993005,1.0,False,32,0.06917105501664379,negligible
cat,lgbm,226.0,0.4883263139054179,1.0,False,32,0.0016027009614331433,negligible
cat,pi,20.0,3.4552067518234253e-07,2.867821604013443e-05,True,31,0.36222057170779165,small
cat,ptest_mc,12.0,3.259629011154175e-08,3.129243850708008e-06,True,32,0.24553974150764785,small
cat,ptest_rdc,14.0,5.122274160385132e-08,4.763714969158173e-06,True,32,0.3649224181722488,small
cat,r_cforest,9.0,6.146728992462158e-08,5.6549906730651855e-06,True,30,0.6059456787960406,medium
cat,r_ctree,3.0,9.313225746154785e-09,9.592622518539429e-07,True,30,0.6919869241237212,medium
cat,rf,188.0,0.2396777232184626,1.0,False,32,0.025919789664624906,negligible
cat,rfe,263.0,0.9926442098803818,1.0,False,32,0.004367508676350407,negligible
cat,xgb,80.0,0.00030640000477433205,0.01654560025781393,True,32,0.090719683238971,negligible
cif,cit,65.0,0.00019830161441575185,0.011501493636113608,True,32,0.1926499064226383,negligible
cif,cpi,39.0,7.006339728832245e-06,0.0005184691399335861,True,31,0.439059555328912,small
cif,et,166.0,0.06784779019653797,1.0,False,32,-0.06441346977341125,negligible
cif,lgbm,115.0,0.004412336274981499,0.19414279609918594,False,32,-0.13260611996197508,negligible
cif,pi,90.0,0.0013564806431531906,0.06918051280081272,False,31,0.22768178627123692,small
cif,ptest_mc,129.0,0.010509172920137644,0.3888393980450928,False,32,0.10975803528914284,negligible
cif,ptest_rdc,137.0,0.016532947774976492,0.5290543287992477,False,32,0.23196148105571707,small
cif,r_cforest,9.0,6.146728992462158e-08,5.6549906730651855e-06,True,30,0.49128244564503615,small
cif,r_ctree,5.0,1.862645149230957e-08,1.8440186977386475e-06,True,30,0.5735396527141693,medium
cif,rf,97.0,0.003085606886162516,0.13885230987731323,False,32,-0.10686147902581652,negligible
cif,rfe,85.0,0.0014020104336958314,0.07010052168479157,False,32,-0.12945702626233954,negligible
cif,xgb,244.0,0.7190234316512942,1.0,False,32,-0.04586241911198831,negligible
cit,cpi,111.0,0.006217258051037788,0.2673420961946249,False,31,0.25751742836513664,small
cit,et,52.0,1.802295446395874e-05,0.0012976527214050293,True,32,-0.2576347759612335,small
cit,lgbm,9.0,1.5366822481155396e-08,1.552049070596695e-06,True,32,-0.327955964414559,small
cit,pi,243.0,0.9307350646704435,1.0,False,31,0.034424426730188994,negligible
cit,ptest_mc,161.0,0.05448048235848546,1.0,False,32,-0.08313550144631483,negligible
cit,ptest_rdc,245.0,0.7328818910755217,1.0,False,32,0.044294029271562806,negligible
