method1,method2,statistic,p_value,p_value_corrected,significant,n_pairs,cohens_d,effect_size
boruta,cat,106.0,0.0023907003924250603,0.11714431922882795,False,32,-0.30267304339258794,small
boruta,cif,210.0,0.32171454932540655,1.0,False,32,-0.14112745161397824,negligible
boruta,cit,205.0,0.2781296819448471,1.0,False,32,0.10419679938528156,negligible
boruta,cpi,124.0,0.014004520140588284,0.5041627250611782,False,31,0.3456480970127415,small
boruta,et,128.0,0.0099095250479877,0.396381001919508,False,32,-0.24469691891831855,small
boruta,lgbm,112.0,0.003615216352045536,0.1699151685461402,False,32,-0.29688785076921304,small
boruta,pi,192.0,0.28106469474732876,1.0,False,31,0.10466372009939977,negligible
boruta,ptest_mc,241.0,0.6779994335956872,1.0,False,32,-0.055537424943137306,negligible
boruta,ptest_rdc,198.0,0.223978775087744,1.0,False,32,0.09117667314640464,negligible
boruta,r_cforest,131.0,0.036434996873140335,1.0,False,30,0.36262750045022907,small
boruta,r_ctree,92.0,0.006653403202997279,0.2927497409318803,False,30,0.46447723091027665,small
boruta,rf,117.0,0.005025593563914299,0.23117730394005775,False,32,-0.28731990328844687,small
boruta,rfe,142.0,0.021623995155096054,0.7352158352732658,False,32,-0.2758196981029096,small
boruta,xgb,175.0,0.09838791796937585,1.0,False,32,-0.19301885883023306,negligible
cat,cif,120.0,0.012129378934285609,0.4487870205685675,False,32,0.15091772576466764,negligible
cat,cit,5.0,4.6566128730773926e-09,4.889443516731262e-07,True,32,0.3914716521164925,small
cat,cpi,7.0,1.7695128917694092e-08,1.716427505016327e-06,True,31,0.6133307882243407,medium
cat,et,156.0,0.04332865076139569,1.0,False,32,0.05526171787163715,negligible
cat,lgbm,218.0,0.39995870366692543,1.0,False,32,0.0062401218182133004,negligible
cat,pi,29.0,1.6195699572563171e-06,0.00012632645666599274,True,31,0.3946651591789658,small
cat,ptest_mc,23.0,2.980232238769531e-07,2.5331974029541016e-05,True,32,0.2432021206730618,small
cat,ptest_rdc,16.0,7.869675755500793e-08,7.161404937505722e-06,True,32,0.3774020900691811,small
cat,r_cforest,14.0,2.0489096641540527e-07,1.782551407814026e-05,True,30,0.6584438424673416,medium
cat,r_ctree,3.0,9.313225746154785e-09,9.685754776000977e-07,True,30,0.7717025011563599,medium
cat,rf,185.0,0.21698598574255135,1.0,False,32,0.01269829215974129,negligible
cat,rfe,239.0,0.6511482996866107,1.0,False,32,0.024265779762024146,negligible
cat,xgb,76.0,0.00021386053413152695,0.012403910979628563,True,32,0.10892452091680166,negligible
cif,cit,49.0,1.2635253369808197e-05,0.000897102989256382,True,32,0.23573061718639104,small
cif,cpi,35.0,4.003755748271942e-06,0.00030828919261693954,True,31,0.4930256608885928,small
cif,et,148.0,0.02941882098093629,0.8825646294280887,False,32,-0.09636386949752664,negligible
cif,lgbm,128.0,0.0099095250479877,0.396381001919508,False,32,-0.14512926756970027,negligible
