method1,method2,statistic,p_value,p_value_corrected,significant,n_pairs,cohens_d,effect_size
boruta,cat,105.0,0.0022269743494689465,0.11134871747344732,False,32,-0.30288343157777425,small
boruta,cif,207.0,0.2950702649541199,1.0,False,32,-0.13381816573561314,negligible
boruta,cit,208.0,0.30378718534484506,1.0,False,32,0.10799757762264452,negligible
boruta,cpi,126.0,0.015742935240268707,0.5667456686496735,False,31,0.3446898641433313,small
boruta,et,130.0,0.01113977748900652,0.4121717670932412,False,32,-0.2456666306212756,small
boruta,lgbm,101.0,0.0016667949967086315,0.08500654483214021,False,32,-0.3071924458744972,small
boruta,pi,197.0,0.3271495960652828,1.0,False,31,0.1030455178783672,negligible
boruta,ptest_mc,235.0,0.5987727888859808,1.0,False,32,-0.05738801116069909,negligible
boruta,ptest_rdc,203.0,0.2618452035821974,1.0,False,32,0.10323635477264474,negligible
boruta,r_cforest,131.0,0.036434996873140335,1.0,False,30,0.3557308287997081,small
boruta,r_ctree,93.0,0.007100609066184297,0.297661067917943,False,30,0.44858460963887864,small
boruta,rf,118.0,0.005359220784157515,0.23580571450293064,False,32,-0.28903331500864965,small
boruta,rfe,140.0,0.019448095466941595,0.6806833413429558,False,32,-0.2812534017795048,small
boruta,xgb,170.0,0.08032503305003047,1.0,False,32,-0.19827669556115005,negligible
cat,cif,115.0,0.009151543797767604,0.35691020811293656,False,32,0.1582617624460305,negligible
cat,cit,5.0,4.6566128730773926e-09,4.889443516731262e-07,True,32,0.3936647826787723,small
cat,cpi,4.0,6.51925802230835e-09,6.780028343200684e-07,True,31,0.6096309767008535,medium
cat,et,165.0,0.06498370366171002,1.0,False,32,0.05563896631245458,negligible
cat,lgbm,225.0,0.4767507752403617,1.0,False,32,-0.003251828311132088,negligible
cat,pi,26.0,9.955838322639465e-07,8.064229041337967e-05,True,31,0.3913943317484639,small
cat,ptest_mc,26.0,4.977919161319733e-07,4.1814520955085754e-05,True,32,0.24090446814558814,small
cat,ptest_rdc,15.0,6.379559636116028e-08,5.932990461587906e-06,True,32,0.38679308333587514,small
cat,r_cforest,13.0,1.6391277313232422e-07,1.4588236808776855e-05,True,30,0.6514711489124336,medium
cat,r_ctree,3.0,9.313225746154785e-09,9.592622518539429e-07,True,30,0.7560885383840658,medium
cat,rf,178.0,0.17013873841797633,1.0,False,32,0.012377542129631729,negligible
cat,rfe,243.0,0.7052542311139405,1.0,False,32,0.020249409780028066,negligible
cat,xgb,81.0,0.00033454643562436104,0.018400053959339857,True,32,0.10459567505055226,negligible
cif,cit,60.0,4.397472366690636e-05,0.002946306485682726,True,32,0.23168011758767346,small
cif,cpi,47.0,1.9677914679050446e-05,0.0013971319422125816,True,31,0.48527131965263853,small
cif,et,147.0,0.02797716623172164,0.8952693194150925,False,32,-0.10389432602397572,negligible
