method,avg_rank,std_rank,cd
rfe,4.083333333333333,3.130716992781189,3.791510720927508
cat,4.133333333333334,2.3767391293301183,3.791510720927508
lgbm,4.533333333333333,2.895206766747795,3.791510720927508
rf,4.616666666666666,2.78592693531056,3.791510720927508
et,5.866666666666666,2.9886823555242907,3.791510720927508
cif,6.05,2.6531427904782405,3.791510720927508
xgb,7.533333333333333,2.9634814361190496,3.791510720927508
boruta,8.65,5.172281894869999,3.791510720927508
ptest_mc,9.0,2.9776948578836393,3.791510720927508
pi,9.166666666666666,3.4528571100209486,3.791510720927508
ptest_rdc,10.116666666666667,3.3854673073135544,3.791510720927508
cit,10.566666666666666,2.5649344804280845,3.791510720927508
cpi,11.5,3.5449494589721118,3.791510720927508
r_cforest,11.6,3.4890304288345395,3.791510720927508
r_ctree,12.583333333333334,3.281471553366805,3.791510720927508
