method,avg_rank,std_rank,cd
cat,4.266666666666667,2.55516905289824,3.791510720927508
rfe,4.316666666666666,3.3478434186137735,3.791510720927508
rf,4.616666666666666,2.613054832098928,3.791510720927508
lgbm,4.7,3.045762083069961,3.791510720927508
et,5.516666666666667,2.634651568782652,3.791510720927508
cif,6.083333333333333,2.516887407537775,3.791510720927508
xgb,7.5,2.8722813232690143,3.791510720927508
boruta,8.483333333333333,5.2033376040981825,3.791510720927508
ptest_mc,8.733333333333333,3.2856590747604284,3.791510720927508
pi,9.266666666666667,3.861634656751234,3.791510720927508
ptest_rdc,10.3,3.1953090617340916,3.791510720927508
cit,10.466666666666667,2.4594488994262287,3.791510720927508
cpi,11.5,3.497618237219913,3.791510720927508
r_cforest,11.666666666666666,3.4383458555273676,3.791510720927508
r_ctree,12.583333333333334,3.316834166624688,3.791510720927508
