method,avg_rank,std_rank,cd
cat,4.133333333333334,2.2910453703252776,3.791510720927508
rfe,4.466666666666667,3.537733109712426,3.791510720927508
lgbm,4.566666666666666,2.996479415729214,3.791510720927508
rf,4.8,2.7856776554368237,3.791510720927508
et,5.766666666666667,2.8830924754891614,3.791510720927508
cif,6.233333333333333,2.4451766580124406,3.791510720927508
xgb,7.4,2.8821288428289717,3.791510720927508
boruta,8.616666666666667,5.166693548317167,3.791510720927508
ptest_mc,8.633333333333333,3.3910011632096047,3.791510720927508
pi,9.166666666666666,3.757954526364338,3.791510720927508
ptest_rdc,10.066666666666666,3.4149995932975195,3.791510720927508
cit,10.433333333333334,2.5256462319352826,3.791510720927508
cpi,11.566666666666666,3.5254629325648694,3.791510720927508
r_cforest,11.633333333333333,3.5447927380251096,3.791510720927508
r_ctree,12.516666666666667,3.292626442354019,3.791510720927508
