method,accuracy_mean,accuracy_ci_lo,accuracy_ci_hi,accuracy_formatted,f1_macro_mean,f1_macro_ci_lo,f1_macro_ci_hi,f1_macro_formatted,balanced_accuracy_mean,balanced_accuracy_ci_lo,balanced_accuracy_ci_hi,balanced_accuracy_formatted
boruta,0.7896761213679863,0.7427192762104099,0.8333019660152198,"0.790 [0.743, 0.833]",0.7684790311162311,0.7236751040018732,0.810986274555928,"0.768 [0.724, 0.811]",0.7716706313029773,0.7278503609879234,0.8130316995394891,"0.772 [0.728, 0.813]"
cat,0.8268920676909889,0.7827151969796978,0.8676223772780127,"0.827 [0.783, 0.868]",0.8063157567784437,0.7649306134166663,0.8463890440770935,"0.806 [0.765, 0.846]",0.808386004685213,0.768381522848936,0.8478678658250206,"0.808 [0.768, 0.848]"
cif,0.8096746905072345,0.7610217635990931,0.853998748862093,"0.810 [0.761, 0.854]",0.7860801728582024,0.7405191001780217,0.8308301111326033,"0.786 [0.741, 0.831]",0.7896988941894276,0.7456367523329936,0.8334358238579009,"0.790 [0.746, 0.833]"
cit,0.7829451432007134,0.7339519421941434,0.8319736776915958,"0.783 [0.734, 0.832]",0.753652213410299,0.7048118024291223,0.8031375135201778,"0.754 [0.705, 0.803]",0.7578192718206599,0.7104098467107458,0.8057753365323038,"0.758 [0.710, 0.806]"
cpi,0.7376895278701284,0.6759299762629726,0.7999673005790418,"0.738 [0.676, 0.800]",0.718250707739451,0.6559263969324955,0.7796186535428591,"0.718 [0.656, 0.780]",0.7241069283904834,0.6651037393963545,0.7834305805425855,"0.724 [0.665, 0.783]"
et,0.8181628006997299,0.7723445645912648,0.8601921854038461,"0.818 [0.772, 0.860]",0.7995024048175734,0.7558094506386637,0.8417353089861918,"0.800 [0.756, 0.842]",0.8018054831303905,0.7588803119817847,0.843470894326542,"0.802 [0.759, 0.843]"
lgbm,0.8266955382533151,0.782267747651123,0.8665354023283028,"0.827 [0.782, 0.867]",0.8067078019869186,0.7647914888410449,0.8474884280364066,"0.807 [0.765, 0.847]",0.8076554939030867,0.7668924903407544,0.8473156692217662,"0.808 [0.767, 0.847]"
pi,0.7740498950970032,0.7227884909752994,0.8252015777495536,"0.774 [0.723, 0.825]",0.7568967193932516,0.7067854830698918,0.8065289064019763,"0.757 [0.707, 0.807]",0.76117738773279,0.7134465038794046,0.8094917079575417,"0.761 [0.713, 0.809]"
ptest_mc,0.7946903096358001,0.745998415872954,0.8415693052895512,"0.795 [0.746, 0.842]",0.7759306858197041,0.7314262843388951,0.8210486955860855,"0.776 [0.731, 0.821]",0.7786758648195102,0.7345715408601757,0.8226037991276163,"0.779 [0.735, 0.823]"
ptest_rdc,0.7763882378848819,0.7234623633951304,0.8263359199141289,"0.776 [0.723, 0.826]",0.7542124888863004,0.7030851839075146,0.805353637431728,"0.754 [0.703, 0.805]",0.75952354377373,0.7114460096586779,0.8089035224653568,"0.760 [0.711, 0.809]"
r_cforest,0.7390789933006481,0.683416146492994,0.7960134772367999,"0.739 [0.683, 0.796]",0.7212150916879274,0.6676753592144719,0.7752611510228762,"0.721 [0.668, 0.775]",0.7250920689425302,0.6727492351914074,0.7786914965037932,"0.725 [0.673, 0.779]"
r_ctree,0.7277907966761455,0.6741173257937048,0.7854095442296285,"0.728 [0.674, 0.785]",0.7096450447046748,0.6611077128026551,0.7622024744714613,"0.710 [0.661, 0.762]",0.71249563366589,0.6642106163302155,0.763191401607989,"0.712 [0.664, 0.763]"
rf,0.8236483995151415,0.7774837314633575,0.8658263630654517,"0.824 [0.777, 0.866]",0.804807610129398,0.761276470731085,0.8464197865070466,"0.805 [0.761, 0.846]",0.8068818006283931,0.7650758432441178,0.8479568432707575,"0.807 [0.765, 0.848]"
rfe,0.8263542840446463,0.7833798021695866,0.867187670241788,"0.826 [0.783, 0.867]",0.803847166019869,0.7617008762876369,0.845614389284808,"0.804 [0.762, 0.846]",0.805508286521329,0.7646842208627576,0.8464278086214355,"0.806 [0.765, 0.846]"
xgb,0.8156286181175775,0.7712285145055211,0.8559460956157743,"0.816 [0.771, 0.856]",0.7935110561282172,0.7512155614327102,0.8356529967905836,"0.794 [0.751, 0.836]",0.7954248972702034,0.7535445145731805,0.8370823667031015,"0.795 [0.754, 0.837]"
