method1,method2,statistic,p_value,p_value_corrected,significant,n_pairs,cohens_d,effect_size
boruta,cat,28.0,0.012274756174561623,0.6014630525535195,False,23,-0.13199231434088912,negligible
boruta,cif,83.0,0.9133009306692093,1.0,False,23,0.03169646911565721,negligible
boruta,cit,31.0,0.0176206611104818,0.792929749971681,False,23,0.3252896932658791,small
boruta,cpi,12.0,0.002263335872858075,0.14711683173577486,False,22,0.4983994538984554,small
boruta,et,46.0,0.08538899791882958,1.0,False,23,-0.059800556662724075,negligible
boruta,lgbm,40.0,0.047530615905761214,1.0,False,23,-0.0960251738475119,negligible
boruta,pi,31.0,0.03124928092967935,1.0,False,22,0.2492974966971371,small
boruta,ptest_mc,54.0,0.17011443450093056,1.0,False,23,0.08334435567505347,negligible
boruta,ptest_rdc,32.0,0.019809109689971443,0.8716008263587435,False,23,0.14328894257270305,negligible
boruta,r_cforest,26.0,0.0010023117065429688,0.0801849365234375,False,21,0.36662433339900374,small
boruta,r_ctree,18.0,0.009725523541639646,0.5068340242450984,False,21,0.33671255937512223,small
boruta,rf,66.0,0.3957522466577532,1.0,False,23,-0.051743552029072284,negligible
boruta,rfe,82.0,0.8788507586415779,1.0,False,23,0.04980665235050353,negligible
boruta,xgb,65.0,0.045807389836448366,1.0,False,23,-0.08070909018016797,negligible
cat,cif,14.0,0.0018466307707454856,0.129264153952184,False,23,0.1566752566358583,negligible
cat,cit,9.0,0.0008634758631167838,0.07253197250180984,False,23,0.4456369049921542,small
cat,cpi,1.0,0.00035153256850746316,0.03374712657671646,True,22,0.6047120453601883,medium
cat,et,37.0,0.034669963150986444,1.0,False,23,0.0696237946399717,negligible
cat,lgbm,40.0,0.047530615905761214,1.0,False,23,0.03371559990289369,negligible
cat,pi,3.0,0.0005026300645801943,0.04674459600595807,True,22,0.36223165866254214,small
cat,ptest_mc,10.0,0.0010088325774685678,0.0801849365234375,False,23,0.2109387059135572,small
cat,ptest_rdc,4.0,0.0003861775700434037,0.03668686915412335,True,23,0.27173550000990787,small
cat,r_cforest,0.0,9.5367431640625e-07,0.00010013580322265625,True,21,0.4825482890004464,small
cat,r_ctree,1.0,0.0005312427827532942,0.04834309323054977,True,21,0.4511215101217604,small
cat,rf,27.0,0.01084369805519191,0.5530286008147874,False,23,0.07678846844693192,negligible
cat,rfe,14.0,0.0018466307707454856,0.129264153952184,False,23,0.17548867815253733,negligible
cat,xgb,80.0,0.13103048934663195,1.0,False,23,0.0499434956788022,negligible
cif,cit,17.0,0.0028525212334313426,0.17685631647274325,False,23,0.2803927357764453,small
cif,cpi,11.0,0.001930989935757909,0.1293763256957799,False,22,0.4808731148580433,small
cif,et,65.0,0.3719737719646685,1.0,False,23,-0.08782119316827229,negligible
