method,avg_rank,std_rank,cd
boruta,7.5,0.0,15.166042883710032
cat,7.5,0.0,15.166042883710032
cif,7.5,0.0,15.166042883710032
cit,7.5,0.0,15.166042883710032
cpi,7.5,0.0,15.166042883710032
et,7.5,0.0,15.166042883710032
lgbm,7.5,0.0,15.166042883710032
pi,7.5,0.0,15.166042883710032
ptest_mc,7.5,0.0,15.166042883710032
ptest_rdc,7.5,0.0,15.166042883710032
r_ctree,7.5,0.0,15.166042883710032
rf,7.5,0.0,15.166042883710032
rfe,7.5,0.0,15.166042883710032
xgb,7.5,0.0,15.166042883710032
r_cforest,15.0,0.0,15.166042883710032
