method,avg_rank,std_rank,cd
lgbm,4.655172413793103,3.074094899809065,3.8521787446430187
cat,4.844827586206897,3.0231960944414267,3.8521787446430187
rfe,5.172413793103448,3.567757583357206,3.8521787446430187
rf,5.982758620689655,3.04416558586254,3.8521787446430187
et,6.086206896551724,3.2458699633939103,3.8521787446430187
xgb,6.5,3.327005488008906,3.8521787446430187
cif,7.155172413793103,2.4498537897113652,3.8521787446430187
ptest_mc,8.5,3.2931485824673774,3.8521787446430187
boruta,8.96551724137931,4.226213423961827,3.8521787446430187
pi,9.586206896551724,3.7739327459544,3.8521787446430187
cit,9.60344827586207,3.4098723566585196,3.8521787446430187
ptest_rdc,9.741379310344827,3.9317906108855545,3.8521787446430187
cpi,11.051724137931034,4.377341398269453,3.8521787446430187
r_cforest,11.051724137931034,3.3742044466863663,3.8521787446430187
r_ctree,11.10344827586207,3.9661918466667734,3.8521787446430187
