method,avg_rank,std_rank,cd
lgbm,4.637931034482759,3.1918445421810024,3.8521787446430187
cat,4.827586206896552,2.916291522219336,3.8521787446430187
rfe,4.982758620689655,3.5754979364362898,3.8521787446430187
rf,6.068965517241379,2.949939034820172,3.8521787446430187
et,6.206896551724138,3.2444043111372602,3.8521787446430187
xgb,6.706896551724138,3.1114838498567114,3.8521787446430187
cif,7.293103448275862,2.317538979247801,3.8521787446430187
ptest_mc,8.241379310344827,3.590266270154126,3.8521787446430187
boruta,9.0,4.212051674700208,3.8521787446430187
cit,9.362068965517242,3.5352816590813325,3.8521787446430187
pi,9.482758620689655,3.981601563529624,3.8521787446430187
ptest_rdc,9.758620689655173,3.777475643261517,3.8521787446430187
cpi,10.89655172413793,4.583289193748471,3.8521787446430187
r_ctree,11.086206896551724,3.8597591614995905,3.8521787446430187
r_cforest,11.448275862068966,3.046605877394709,3.8521787446430187
