method1,method2,statistic,p_value,p_value_corrected,significant,n_pairs,cohens_d,effect_size
boruta,cat,70.0,0.011453330516815186,0.5726665258407593,False,25,-0.2665847856224401,small
boruta,cif,143.5,0.6091728904475721,1.0,False,25,-0.08569622328256812,negligible
boruta,cit,81.0,0.02747941017150879,1.0,False,25,0.17515374090359612,negligible
boruta,cpi,33.0,0.00037276744842529297,0.024602651596069336,True,24,0.6051925275573911,medium
boruta,et,82.0,0.05203342136079938,1.0,False,25,-0.15896187243574192,negligible
boruta,lgbm,85.0,0.036682069301605225,1.0,False,25,-0.26937321259778113,small
boruta,pi,80.0,0.045679688453674316,1.0,False,24,0.25644155311008515,small
boruta,ptest_mc,104.0,0.11993378400802612,1.0,False,25,0.062107433724027716,negligible
boruta,ptest_rdc,82.0,0.05203342136079938,1.0,False,25,0.19633646139669558,negligible
boruta,r_cforest,48.0,0.004851341247558594,0.25712108612060547,False,23,0.3985308809549266,small
boruta,r_ctree,52.0,0.0074520111083984375,0.38750457763671875,False,23,0.40962330684342263,small
boruta,rf,114.0,0.19187777256106353,1.0,False,25,-0.2216256520519392,small
boruta,rfe,89.0,0.22342853015648512,1.0,False,25,-0.17757097520438977,negligible
boruta,xgb,111.0,0.17295855283737183,1.0,False,25,-0.21934447966191767,small
cat,cif,73.0,0.014722049236297607,0.6919363141059875,False,25,0.18865293947634082,negligible
cat,cit,11.0,3.2782554626464844e-06,0.0002884864807128906,True,25,0.4656925376980532,small
cat,cpi,1.0,2.384185791015625e-07,2.5033950805664062e-05,True,24,0.874612724746927,large
cat,et,98.0,0.08513903617858887,1.0,False,25,0.11500999775023113,negligible
cat,lgbm,146.0,0.6720751523971558,1.0,False,25,-0.0033285660445664706,negligible
cat,pi,14.0,1.3113021850585938e-05,0.0010752677917480469,True,24,0.5650837883417047,medium
cat,ptest_mc,29.0,0.000102996826171875,0.00762176513671875,True,25,0.34883206029359465,small
cat,ptest_rdc,36.0,0.00028705596923828125,0.020093917846679688,True,25,0.478574478960249,small
cat,r_cforest,1.0,4.76837158203125e-07,4.7206878662109375e-05,True,23,0.7339015729162538,medium
cat,r_ctree,1.0,4.76837158203125e-07,4.7206878662109375e-05,True,23,0.7408821494139622,medium
cat,rf,124.0,0.45756817506250735,1.0,False,25,0.04456860500992637,negligible
cat,rfe,126.0,0.33878785371780396,1.0,False,25,0.09435602716031398,negligible
cat,xgb,99.0,0.09031611680984497,1.0,False,25,0.04686041109112634,negligible
cif,cit,32.0,0.00016230344772338867,0.011685848236083984,True,25,0.27259421482127855,small
cif,cpi,22.0,6.389617919921875e-05,0.004920005798339844,True,24,0.7457090409369542,medium
cif,et,108.0,0.1425140133367944,1.0,False,25,-0.075577274726761,negligible
cif,lgbm,51.0,0.0018156766891479492,0.1034935712814331,False,25,-0.19166879877901677,negligible
cif,pi,42.0,0.002029563537274234,0.11340713500976562,False,24,0.4110707684726454,small
cif,ptest_mc,99.0,0.09031611680984497,1.0,False,25,0.15552266336289608,negligible
cif,ptest_rdc,107.0,0.14091521501541138,1.0,False,25,0.29154036807233613,small
cif,r_cforest,1.0,4.76837158203125e-07,4.7206878662109375e-05,True,23,0.6158459043377118,medium
cif,r_ctree,1.0,4.76837158203125e-07,4.7206878662109375e-05,True,23,0.624450846623786,medium
cif,rf,72.5,0.015442095236307154,0.7103363808701291,False,25,-0.14227590283574365,negligible
cif,rfe,93.0,0.0626264214515686,1.0,False,25,-0.09531958500466049,negligible
cif,xgb,96.0,0.07547956705093384,1.0,False,25,-0.13991797670529715,negligible
cit,cpi,39.0,0.0015160667825173603,0.08944794016852425,False,24,0.5384812137233259,medium
cit,et,40.0,0.0004894733428955078,0.030836820602416992,True,25,-0.35237953209471107,small
cit,lgbm,11.0,3.2782554626464844e-06,0.0002884864807128906,True,25,-0.46837261853975526,small
cit,pi,67.0,0.017713670332261764,0.7971151649517794,False,24,0.1610547696391851,negligible
cit,ptest_mc,96.0,0.07547956705093384,1.0,False,25,-0.11965054614320658,negligible
cit,ptest_rdc,154.0,0.8325093984603882,1.0,False,25,0.026800189124784973,negligible
cit,r_cforest,30.0,0.00047516822814941406,0.0304107666015625,True,23,0.3660913117889055,small
cit,r_ctree,57.0,0.012294530868530273,0.6024320125579834,False,23,0.3779527058092285,small
cit,rf,20.0,2.2113323211669922e-05,0.0017690658569335938,True,25,-0.4157964636019815,small
cit,rfe,11.0,3.2782554626464844e-06,0.0002884864807128906,True,25,-0.3714098398980598,small
cit,xgb,28.0,8.803606033325195e-05,0.0066027045249938965,True,25,-0.4132952424312186,small
