method1,method2,statistic,p_value,p_value_corrected,significant,n_pairs,cohens_d,effect_size
boruta,cat,58.0,0.026145513798720977,1.0,False,25,-0.1799391768206799,negligible
boruta,cif,132.0,0.6070522480710051,1.0,False,25,-0.048293039228033796,negligible
boruta,cit,67.0,0.01771947129118138,0.7619372655207994,False,25,0.219932562679653,small
boruta,cpi,26.0,0.0006580763435422675,0.04606534404795873,True,24,0.554098468158108,medium
boruta,et,89.0,0.0813274990952447,1.0,False,25,-0.10440467734299717,negligible
boruta,lgbm,79.0,0.042501961142818866,1.0,False,25,-0.17434791795745813,negligible
boruta,pi,69.0,0.03584937324277264,1.0,False,24,0.2431295543486794,small
boruta,ptest_mc,135.0,0.6682351417952492,1.0,False,25,0.06827152337294387,negligible
boruta,ptest_rdc,87.0,0.07186063822585158,1.0,False,25,0.1565154369360169,negligible
boruta,r_cforest,39.0,0.0016598701477050781,0.10457181930541992,False,23,0.37330956468393967,small
boruta,r_ctree,40.0,0.004980709461618356,0.25899689200415454,False,23,0.40179863722669557,small
boruta,rf,104.0,0.1887500729032935,1.0,False,25,-0.10373751514604689,negligible
boruta,rfe,117.0,0.3457539786772782,1.0,False,25,-0.074757766264975,negligible
boruta,xgb,89.0,0.08135857180414459,1.0,False,25,-0.15474032433363555,negligible
cat,cif,51.0,0.004675626589095523,0.2478082092220627,False,25,0.1291896535753046,negligible
cat,cit,14.0,0.00010202944863870718,0.009284679826122353,True,25,0.3955763908430659,small
cat,cpi,2.0,3.527453036695767e-05,0.0034569039759618516,True,24,0.7055030332511383,medium
cat,et,61.0,0.01916233882294181,0.804818230563556,False,25,0.07418835751103958,negligible
cat,lgbm,98.0,0.35482494312859736,1.0,False,25,0.006475485015200627,negligible
cat,pi,12.0,0.00012695899968328866,0.011172391972129402,True,24,0.4141686468755701,small
cat,ptest_mc,24.0,0.0003182171803150673,0.025775591605520454,True,25,0.24350952928100444,small
cat,ptest_rdc,21.0,0.00037261649947601137,0.02980931995808091,True,25,0.3336171346400172,small
cat,r_cforest,0.0,2.384185791015625e-07,2.5033950805664062e-05,True,23,0.5441172808217463,medium
cat,r_ctree,0.0,4.0099648164691383e-05,0.0038896658719750643,True,23,0.5655717310732221,medium
cat,rf,38.0,0.0013742758758316944,0.08932793192906013,False,25,0.07329767492068419,negligible
cat,rfe,69.0,0.02065205489241756,0.84673425058912,False,25,0.10588211365978227,negligible
cat,xgb,119.0,0.37577150825113037,1.0,False,25,0.026597923410231258,negligible
cif,cit,43.0,0.002234577508303177,0.13407465049819062,False,25,0.26413117242416767,small
cif,cpi,25.0,0.0005884351465884493,0.04236733055436835,True,24,0.5965400610556388,medium
cif,et,129.0,0.5485062355001472,1.0,False,25,-0.05505386772984074,negligible
cif,lgbm,81.0,0.04866338075716106,1.0,False,25,-0.12341708914353322,negligible
cif,pi,50.0,0.007439203931621478,0.3719601965810739,False,24,0.2947904701186243,small
cif,ptest_mc,87.0,0.07186063822585158,1.0,False,25,0.11441983920028549,negligible
cif,ptest_rdc,63.0,0.012929172172726563,0.6076710921181485,False,25,0.2019291678050851,small
cif,r_cforest,2.0,7.152557373046875e-07,7.224082946777344e-05,True,23,0.4623629336865196,small
cif,r_ctree,11.0,0.00017698793982282913,0.015220962824763306,True,23,0.48709910425935166,small
cif,rf,129.0,0.5485062355001472,1.0,False,25,-0.05483127325457699,negligible
cif,rfe,140.0,0.7750969621959847,1.0,False,25,-0.02524219991364199,negligible
cif,xgb,85.0,0.06329083223334526,1.0,False,25,-0.10392849152828693,negligible
cit,cpi,43.0,0.003859525141790109,0.2199929330820362,False,24,0.3636394108422425,small
cit,et,27.0,0.000440938267949364,0.03395224663210103,True,25,-0.3202441258097563,small
cit,lgbm,18.0,0.0001623156225715602,0.014121459163725737,True,25,-0.3911414342066692,small
cit,pi,108.0,0.5480967583988466,1.0,False,24,0.03466505643023615,negligible
cit,ptest_mc,99.0,0.14507695028788475,1.0,False,25,-0.1475739561293971,negligible
cit,ptest_rdc,109.0,0.24142655338204444,1.0,False,25,-0.06372298563472938,negligible
cit,r_cforest,47.0,0.009850910466175594,0.4826946128426041,False,23,0.21104132547000115,small
cit,r_ctree,50.0,0.013005368828380605,0.6076710921181485,False,23,0.24588267545365644,small
cit,rf,36.0,0.0011253977870503726,0.07535751495211607,False,25,-0.3177570734970653,small
