method,accuracy_mean,accuracy_ci_lo,accuracy_ci_hi,accuracy_formatted,f1_macro_mean,f1_macro_ci_lo,f1_macro_ci_hi,f1_macro_formatted,balanced_accuracy_mean,balanced_accuracy_ci_lo,balanced_accuracy_ci_hi,balanced_accuracy_formatted
boruta,0.9587789838982911,,,0.959 [insufficient data],0.9587758312583914,,,0.959 [insufficient data],0.9587744458930899,,,0.959 [insufficient data]
cat,0.9587789838982911,,,0.959 [insufficient data],0.9587758312583914,,,0.959 [insufficient data],0.9587744458930899,,,0.959 [insufficient data]
cif,0.9587789838982911,,,0.959 [insufficient data],0.9587758312583914,,,0.959 [insufficient data],0.9587744458930899,,,0.959 [insufficient data]
cit,0.9587789838982911,,,0.959 [insufficient data],0.9587758312583914,,,0.959 [insufficient data],0.9587744458930899,,,0.959 [insufficient data]
cpi,0.9587789838982911,,,0.959 [insufficient data],0.9587758312583914,,,0.959 [insufficient data],0.9587744458930899,,,0.959 [insufficient data]
et,0.9587789838982911,,,0.959 [insufficient data],0.9587758312583914,,,0.959 [insufficient data],0.9587744458930899,,,0.959 [insufficient data]
lgbm,0.9587789838982911,,,0.959 [insufficient data],0.9587758312583914,,,0.959 [insufficient data],0.9587744458930899,,,0.959 [insufficient data]
pi,0.9587789838982911,,,0.959 [insufficient data],0.9587758312583914,,,0.959 [insufficient data],0.9587744458930899,,,0.959 [insufficient data]
ptest_mc,0.9587789838982911,,,0.959 [insufficient data],0.9587758312583914,,,0.959 [insufficient data],0.9587744458930899,,,0.959 [insufficient data]
ptest_rdc,0.9587789838982911,,,0.959 [insufficient data],0.9587758312583914,,,0.959 [insufficient data],0.9587744458930899,,,0.959 [insufficient data]
r_cforest,0.9589585574250424,,,0.959 [insufficient data],0.958953975065409,,,0.959 [insufficient data],0.9589549109083008,,,0.959 [insufficient data]
r_ctree,0.9587502672653411,,,0.959 [insufficient data],0.958740150370966,,,0.959 [insufficient data],0.9587461973055194,,,0.959 [insufficient data]
rf,0.9587789838982911,,,0.959 [insufficient data],0.9587758312583914,,,0.959 [insufficient data],0.9587744458930899,,,0.959 [insufficient data]
rfe,0.9587789838982911,,,0.959 [insufficient data],0.9587758312583914,,,0.959 [insufficient data],0.9587744458930899,,,0.959 [insufficient data]
xgb,0.9587789838982911,,,0.959 [insufficient data],0.9587758312583915,,,0.959 [insufficient data],0.9587744458930899,,,0.959 [insufficient data]
