method1,method2,statistic,p_value,p_value_corrected,significant,n_pairs,cohens_d,effect_size
boruta,cat,33.0,1.4957040548324585e-06,0.00012713484466075897,True,32,-0.28356751438089633,small
boruta,cif,164.0,0.062217178754508495,1.0,False,32,-0.15851496461560866,negligible
boruta,cit,232.0,0.5607573566958308,1.0,False,32,0.02917249792352669,negligible
boruta,cpi,145.0,0.04345365799963474,1.0,False,31,0.30959064690980165,small
boruta,et,103.0,0.0019289571791887283,0.10030577331781387,False,32,-0.20296542304133783,small
boruta,lgbm,77.0,0.00023426301777362823,0.014758570119738579,True,32,-0.27549944194279846,small
boruta,pi,232.0,0.7645525922998786,1.0,False,31,0.0677022038627203,negligible
boruta,ptest_mc,215.0,0.3694013226777315,1.0,False,32,-0.051422723885412934,negligible
boruta,ptest_rdc,239.0,0.6511482996866107,1.0,False,32,0.035283436132113766,negligible
boruta,r_cforest,145.0,0.07324407435953617,1.0,False,30,0.2445603174563274,small
boruta,r_ctree,99.0,0.010396668482565371,0.4054700708200495,False,30,0.32944286135866124,small
boruta,rf,112.0,0.003615216352045536,0.17353038489818573,False,32,-0.23409088099176506,small
boruta,rfe,111.0,0.0033791903406381607,0.16558032669126987,False,32,-0.2539994195075558,small
boruta,xgb,126.0,0.008798165712505579,0.35192662850022316,False,32,-0.22772044180193804,small
cat,cif,82.0,0.0011418285734504392,0.06394240011322459,False,32,0.129831929095491,negligible
cat,cit,12.0,3.259629011154175e-08,3.259629011154175e-06,True,32,0.32609704373021464,small
cat,cpi,21.0,4.163011908531189e-07,3.788340836763382e-05,True,31,0.588688531517075,medium
cat,et,164.5,0.06280278066440712,1.0,False,32,0.07998925374921544,negligible
cat,lgbm,215.0,0.3694013226777315,1.0,False,32,0.008418159639768923,negligible
cat,pi,45.0,1.5350058674812317e-05,0.0011973045766353607,True,31,0.36478211046969583,small
cat,ptest_mc,30.0,9.476207196712494e-07,8.24430026113987e-05,True,32,0.2364302301520441,small
cat,ptest_rdc,21.0,2.0815059542655945e-07,1.9566155970096588e-05,True,32,0.3231787997703559,small
cat,r_cforest,13.0,1.6391277313232422e-07,1.55717134475708e-05,True,30,0.55430207927147,medium
cat,r_ctree,4.0,1.30385160446167e-08,1.3560056686401367e-06,True,30,0.6529083086887623,medium
cat,rf,161.0,0.08821318483432394,1.0,False,32,0.046922014256959584,negligible
cat,rfe,252.0,0.8320396803319454,1.0,False,32,0.029294526193168385,negligible
cat,xgb,104.0,0.00207323394715786,0.10573493130505085,False,32,0.06024920955795886,negligible
cif,cit,55.0,2.54092738032341e-05,0.0018802862614393234,True,32,0.1955075028064787,negligible
cif,cpi,41.0,9.162351489067078e-06,0.0007329881191253662,True,31,0.48346186540597286,small
cif,et,173.0,0.09081820072606206,1.0,False,32,-0.048084166250951695,negligible
cif,lgbm,135.0,0.014803256839513779,0.5477205030620098,False,32,-0.121431595820591,negligible
cif,pi,111.0,0.006217258051037788,0.2611248381435871,False,31,0.25093111119256606,small
cif,ptest_mc,194.0,0.19655908923596144,1.0,False,32,0.10863353800820222,negligible
cif,ptest_rdc,132.0,0.012499021831899881,0.4749628296121955,False,32,0.19672207815444545,negligible
cif,r_cforest,25.0,1.6838312149047852e-06,0.00014144182205200195,True,30,0.4648630330154899,small
cif,r_ctree,5.0,1.862645149230957e-08,1.9185245037078857e-06,True,30,0.5594245660244915,medium
cif,rf,113.0,0.008156219107393366,0.334404983403128,False,32,-0.08077725742574329,negligible
cif,rfe,56.0,0.00016819865161111014,0.010932912354722159,True,32,-0.09985588085907922,negligible
cif,xgb,212.0,0.34029899863526225,1.0,False,32,-0.0706560984716875,negligible
cit,cpi,106.0,0.0044362908229231834,0.20406937785446644,False,31,0.3313041909995416,small
cit,et,58.0,0.00011712554798960385,0.007847411715303457,True,32,-0.2412938422673777,small
cit,lgbm,19.0,1.4295801520347595e-07,1.3723969459533691e-05,True,32,-0.3176731011782703,small
cit,pi,190.0,0.26389263197779655,1.0,False,31,0.08459697773038849,negligible
cit,ptest_mc,177.0,0.10643770126625896,1.0,False,32,-0.0833040200987899,negligible
cit,ptest_rdc,257.0,0.9045956083573401,1.0,False,32,0.007196092654218155,negligible
cit,r_cforest,81.0,0.0012321043759584427,0.06776574067771435,False,30,0.29917574856495277,small
cit,r_ctree,69.0,0.0004183966666460037,0.025522196665406227,True,30,0.38847076956587734,small
cit,rf,35.0,2.0042061805725098e-06,0.0001663491129875183,True,32,-0.27362352004669344,small
cit,rfe,15.0,6.379559636116028e-08,6.251968443393707e-06,True,32,-0.2949430613839403,small
cit,xgb,61.0,4.890747368335724e-05,0.0034235231578350067,True,32,-0.2681451739908976,small
cpi,et,22.0,4.991888999938965e-07,4.4927000999450684e-05,True,31,-0.5089032061906655,medium
cpi,lgbm,32.0,2.5741755962371826e-06,0.00021108239889144897,True,31,-0.5840205115284024,medium
cpi,pi,43.0,0.00016113557960971872,0.010634948254241435,True,31,-0.25066215779495854,small
cpi,ptest_mc,47.0,1.9677914679050446e-05,0.0015151994302868843,True,31,-0.3625845441285386,small
cpi,ptest_rdc,127.0,0.016678825952112675,0.6004377342760563,False,31,-0.28166268427301344,small
cpi,r_cforest,203.0,0.5561132747679949,1.0,False,30,-0.07347889605162157,negligible
