method1,method2,statistic,p_value,p_value_corrected,significant,n_pairs,cohens_d,effect_size
boruta,cat,49.0,1.2635253369808197e-05,0.0009855497628450394,True,32,-0.28691240636558935,small
boruta,cif,160.0,0.05208174558356404,1.0,False,32,-0.15441405654745108,negligible
boruta,cit,228.0,0.5119121475145221,1.0,False,32,0.03653041139306803,negligible
boruta,cpi,143.0,0.03935616556555033,1.0,False,31,0.3156734564252429,small
boruta,et,93.0,0.0009061265736818314,0.05436759442090988,False,32,-0.21950583568978077,small
boruta,lgbm,86.0,0.0005131973884999752,0.03233143547549844,True,32,-0.2718971713285082,small
boruta,pi,235.0,0.8091655615717173,1.0,False,31,0.06345798344562133,negligible
boruta,ptest_mc,210.0,0.32171454932540655,1.0,False,32,-0.06221441573123634,negligible
boruta,ptest_rdc,242.0,0.691578262951225,1.0,False,32,0.04017402421357187,negligible
boruta,r_cforest,147.0,0.0803273618221283,1.0,False,30,0.24502237164347665,small
boruta,r_ctree,100.0,0.011062253064602436,0.43142786951949497,False,30,0.3272624924901333,small
boruta,rf,105.0,0.0022269743494689465,0.11813987419009209,False,32,-0.24893541154832918,small
boruta,rfe,115.0,0.004412336274981499,0.19855513237416744,False,32,-0.24584767173526106,small
boruta,xgb,127.0,0.009339593350887299,0.37505199294537306,False,32,-0.22066438534940785,small
cat,cif,107.0,0.005725296767140745,0.2519130577541928,False,32,0.1334865464825522,negligible
cat,cit,12.0,3.259629011154175e-08,3.259629011154175e-06,True,32,0.3319370011317713,small
cat,cpi,25.0,8.419156074523926e-07,7.493048906326294e-05,True,31,0.5982885177201926,medium
cat,et,173.0,0.09081820072606206,1.0,False,32,0.06756311379502308,negligible
cat,lgbm,204.0,0.269905602093786,1.0,False,32,0.014579146654708552,negligible
cat,pi,62.0,0.00010677427053451538,0.007260650396347046,True,31,0.3623820053477513,small
cat,ptest_mc,27.0,5.871988832950592e-07,5.343509837985039e-05,True,32,0.23324633772211673,small
cat,ptest_rdc,18.0,1.1781230568885803e-07,1.1427793651819229e-05,True,32,0.3342078520734813,small
cat,r_cforest,20.0,6.910413503646851e-07,6.219372153282166e-05,True,30,0.5583129626138057,medium
cat,r_ctree,2.0,5.587935447692871e-09,5.811452865600586e-07,True,30,0.6541281647239793,medium
cat,rf,188.0,0.2396777232184626,1.0,False,32,0.03554432423800863,negligible
cat,rfe,240.0,0.6645215428434312,1.0,False,32,0.040070820197845414,negligible
cat,xgb,103.0,0.0019289571791887283,0.10609264485538006,False,32,0.06920540259460056,negligible
cif,cit,55.0,2.54092738032341e-05,0.0019056955352425575,True,32,0.19542862026462324,negligible
cif,cpi,37.0,5.317851901054382e-06,0.00043074600398540497,True,31,0.5040675658557057,medium
cif,et,165.0,0.06498370366171002,1.0,False,32,-0.06574763966726101,negligible
cif,lgbm,160.0,0.05208174558356404,1.0,False,32,-0.11863465660344005,negligible
cif,pi,122.0,0.012432587333023548,0.47243831865489483,False,31,0.26039293455658463,small
cif,ptest_mc,176.0,0.10235170600935817,1.0,False,32,0.09638083293881972,negligible
cif,ptest_rdc,123.0,0.007333340588957071,0.308000304736197,False,32,0.19837825852371335,negligible
cif,r_cforest,26.0,1.991167664527893e-06,0.0001692492514848709,True,30,0.4816657842669129,small
cif,r_ctree,4.0,1.30385160446167e-08,1.3299286365509033e-06,True,30,0.574289847819106,medium
cif,rf,92.0,0.0022351876428046242,0.11813987419009209,False,32,-0.0966002848913406,negligible
cif,rfe,97.0,0.003085606886162516,0.1511947374219633,False,32,-0.09277057460428659,negligible
cif,xgb,224.0,0.4653229475952685,1.0,False,32,-0.06548809381378036,negligible
cit,cpi,110.0,0.005818215198814869,0.2519130577541928,False,31,0.33806389250378793,small
cit,et,59.0,0.00012640144792264876,0.008468897010817466,True,32,-0.26238587001820246,small
cit,lgbm,20.0,1.7276033759117126e-07,1.62394717335701e-05,True,32,-0.3163525126644642,small
cit,pi,203.0,0.3883800162002444,1.0,False,31,0.07789626120628002,negligible
cit,ptest_mc,162.0,0.05696781584993005,1.0,False,32,-0.10154470375788752,negligible
cit,ptest_rdc,262.0,0.9779350669123232,1.0,False,32,0.0038964946538280255,negligible
cit,r_cforest,86.0,0.0018640067428350449,0.10438437759876251,False,30,0.3002590798563024,small
cit,r_ctree,82.0,0.001340603455901146,0.07641439698636532,False,30,0.3879618612327667,small
cit,rf,35.0,2.0042061805725098e-06,0.0001692492514848709,True,32,-0.292315098701015,small
cit,rfe,15.0,6.379559636116028e-08,6.251968443393707e-06,True,32,-0.28937018724148095,small
cit,xgb,59.0,3.949552774429321e-05,0.0028436779975891113,True,32,-0.26403299734478203,small
cpi,et,19.0,2.859160304069519e-07,2.6304274797439575e-05,True,31,-0.5320977043293522,medium
cpi,lgbm,41.0,9.162351489067078e-06,0.0007329881191253662,True,31,-0.5904374970349378,medium
cpi,pi,42.0,0.00014771976188914798,0.009749504284683767,True,31,-0.26187045704725903,small
cpi,ptest_mc,44.0,1.3524666428565979e-05,0.0010413993149995804,True,31,-0.3845700798740941,small
cpi,ptest_rdc,133.0,0.023342357017099857,0.8403248526155949,False,31,-0.2881521282263483,small
cpi,r_cforest,193.0,0.42795460671186447,1.0,False,30,-0.07954524330670719,negligible
cpi,r_ctree,204.0,0.5698575973510742,1.0,False,30,-0.010587694751328666,negligible
cpi,rf,18.0,2.3562461137771606e-07,2.1913088858127594e-05,True,31,-0.5619016388138838,medium
cpi,rfe,36.0,4.6193599700927734e-06,0.0003787875175476074,True,31,-0.5712068471747495,medium
cpi,xgb,58.0,6.987154483795166e-05,0.004891008138656616,True,31,-0.5503675805409995,medium
et,lgbm,247.0,0.7608502637594938,1.0,False,32,-0.052862922327073444,negligible
et,pi,82.0,0.00070173479616642,0.04350755736231804,True,31,0.2919525112023359,small
et,ptest_mc,38.0,3.867189791789531e-05,0.002823048548006357,True,32,0.16362509848433948,negligible
et,ptest_rdc,56.0,2.8421171009540558e-05,0.0021031666547060013,True,32,0.2650090445594465,small
et,r_cforest,23.0,1.1920928955078125e-06,0.0001049041748046875,True,30,0.4910509289691289,small
et,r_ctree,13.0,1.6391277313232422e-07,1.55717134475708e-05,True,30,0.5834400083406122,medium
et,rf,228.5,0.5068011260927487,1.0,False,32,-0.031372769412967315,negligible
et,rfe,235.0,0.5987727888859808,1.0,False,32,-0.027212870526136905,negligible
et,xgb,227.0,0.5000474993139505,1.0,False,32,0.0009232849005577171,negligible
lgbm,pi,72.0,0.0002865353599190712,0.018624798394739628,True,31,0.3542430839364287,small
lgbm,ptest_mc,97.0,0.0012352922931313515,0.07164695300161839,False,32,0.21779960089284184,small
lgbm,ptest_rdc,34.0,1.7331913113594055e-06,0.00014905445277690887,True,32,0.3187029031300327,small
lgbm,r_cforest,37.0,1.0609626770019531e-05,0.000838160514831543,True,30,0.5564962481907254,medium
lgbm,r_ctree,0.0,1.862645149230957e-09,1.955777406692505e-07,True,30,0.6517868932600429,medium
lgbm,rf,262.0,0.9701671116777577,1.0,False,32,0.02104383032308493,negligible
lgbm,rfe,258.0,0.91921989293769,1.0,False,32,0.025481071620954806,negligible
lgbm,xgb,113.0,0.0038655917160212994,0.17781721893697977,False,32,0.05434165555616159,negligible
pi,ptest_mc,160.0,0.08650196995586157,1.0,False,31,-0.13030603623286247,negligible
pi,ptest_rdc,237.0,0.8392556216567755,1.0,False,31,-0.029563990767270457,negligible
pi,r_cforest,89.0,0.0023674946278333664,0.12074222601950169,False,30,0.19926278545094125,negligible
pi,r_ctree,88.0,0.0021877754479646683,0.11813987419009209,False,30,0.2819296881155405,small
pi,rf,58.0,6.987154483795166e-05,0.004891008138656616,True,31,-0.3251622510690433,small
pi,rfe,83.0,0.0007640225812792778,0.046605377458035946,True,31,-0.33398440016400177,small
pi,xgb,117.0,0.00914760958403349,0.37505199294537306,False,31,-0.3094415120932898,small
ptest_mc,ptest_rdc,138.0,0.017460348084568977,0.6460328791290522,False,32,0.10499033613522755,negligible
ptest_mc,r_cforest,93.0,0.0032229889184236526,0.15470346808433533,False,30,0.3260917613727459,small
ptest_mc,r_ctree,89.0,0.0023674946278333664,0.12074222601950169,False,30,0.4139442685340198,small
ptest_mc,rf,59.0,3.949552774429321e-05,0.0028436779975891113,True,32,-0.19440864634921587,negligible
ptest_mc,rfe,112.0,0.003615216352045536,0.1699151685461402,False,32,-0.1909923604644318,negligible
ptest_mc,xgb,168.0,0.07387770712375641,1.0,False,32,-0.1643570710112183,negligible
ptest_rdc,r_cforest,147.0,0.0803273618221283,1.0,False,30,0.22342209550554457,small
