method1,method2,statistic,p_value,p_value_corrected,significant,n_pairs,cohens_d,effect_size
boruta,cat,53.0,2.0234379917383194e-05,0.0015378128737211227,True,32,-0.2926639543376341,small
boruta,cif,161.0,0.05448048235848546,1.0,False,32,-0.15157626899610704,negligible
boruta,cit,224.0,0.4653229475952685,1.0,False,32,0.05615859005675497,negligible
boruta,cpi,141.0,0.0355817461386323,1.0,False,31,0.3382463429979972,small
boruta,et,102.0,0.0017936383374035358,0.10223738523200154,False,32,-0.22529858398121394,small
boruta,lgbm,89.0,0.0006575542502105236,0.04011080926284194,True,32,-0.28180455486281814,small
boruta,pi,229.0,0.7206862810999155,1.0,False,31,0.08099246625431639,negligible
boruta,ptest_mc,226.0,0.4883263139054179,1.0,False,32,-0.05868194153991795,negligible
boruta,ptest_rdc,239.0,0.6511482996866107,1.0,False,32,0.046407022107249694,negligible
boruta,r_cforest,147.0,0.0803273618221283,1.0,False,30,0.25664451778520214,small
boruta,r_ctree,99.0,0.010396668482565371,0.4054700708200495,False,30,0.3464471258702958,small
boruta,rf,108.0,0.0027503338642418385,0.1430173609405756,False,32,-0.25849308876317006,small
boruta,rfe,122.0,0.006894533988088369,0.30335949547588825,False,32,-0.2540967088756266,small
boruta,xgb,129.0,0.010509172920137644,0.4054700708200495,False,32,-0.22606522810428395,small
cat,cif,109.0,0.006451217773136427,0.2903047997911392,False,32,0.14370522689054593,negligible
cat,cit,12.0,3.259629011154175e-08,3.259629011154175e-06,True,32,0.3515387205256908,small
cat,cpi,24.0,7.096678018569946e-07,6.387010216712952e-05,True,31,0.6224889048375185,medium
cat,et,178.0,0.11064805556088686,1.0,False,32,0.069170914946402,negligible
cat,lgbm,228.0,0.5119121475145221,1.0,False,32,0.010498872016339231,negligible
cat,pi,59.0,7.781665772199631e-05,0.005213716067373753,True,31,0.3835219647760277,small
cat,ptest_mc,33.0,1.4957040548324585e-06,0.00013162195682525635,True,32,0.2428765619523445,small
cat,ptest_rdc,23.0,2.980232238769531e-07,2.7418136596679688e-05,True,32,0.34312561264690966,small
cat,r_cforest,20.0,6.910413503646851e-07,6.288476288318634e-05,True,30,0.5771551397541995,medium
cat,r_ctree,3.0,9.313225746154785e-09,9.685754776000977e-07,True,30,0.6793654989072531,medium
cat,rf,182.0,0.19588243884972711,1.0,False,32,0.03325123673500503,negligible
cat,rfe,254.0,0.8609301364049315,1.0,False,32,0.038748621244435656,negligible
cat,xgb,106.0,0.0023907003924250603,0.12909782119095325,False,32,0.06993773614044808,negligible
cif,cit,63.0,6.0301274061203e-05,0.004100486636161804,True,32,0.20956168195489205,small
cif,cpi,45.0,1.5350058674812317e-05,0.001212654635310173,True,31,0.526242220942235,medium
cif,et,168.0,0.07387770712375641,1.0,False,32,-0.07480850799566315,negligible
cif,lgbm,144.0,0.02400159277021885,0.8640573397278786,False,32,-0.13291456076577407,negligible
cif,pi,114.0,0.007560359314084053,0.3175350911915302,False,31,0.27753177544248564,small
cif,ptest_mc,180.0,0.11945036612451077,1.0,False,32,0.09685276138941021,negligible
cif,ptest_rdc,122.0,0.006894533988088369,0.30335949547588825,False,32,0.20040878566613163,small
cif,r_cforest,21.0,8.326023817062378e-07,7.410161197185516e-05,True,30,0.5026094353993819,medium
cif,r_ctree,5.0,1.862645149230957e-08,1.8998980522155762e-06,True,30,0.6028736038955715,medium
cif,rf,101.0,0.003968030368262883,0.18252939694009263,False,32,-0.1096505702756297,negligible
cif,rfe,105.0,0.0022269743494689465,0.12248358922079206,False,32,-0.10467524594704575,negligible
cif,xgb,223.0,0.4540447914041579,1.0,False,32,-0.0748322918419398,negligible
cit,cpi,116.0,0.008589296601712704,0.34357186406850815,False,31,0.35218706989138765,small
cit,et,58.0,3.54335643351078e-05,0.002551216632127762,True,32,-0.28384333949765084,small
cit,lgbm,20.0,1.7276033759117126e-07,1.641223207116127e-05,True,32,-0.3405002390748054,small
cit,pi,198.0,0.336907590739429,1.0,False,31,0.08818790851372854,negligible
cit,ptest_mc,162.0,0.05696781584993005,1.0,False,32,-0.11693223759886381,negligible
cit,ptest_rdc,251.0,0.8176742987707257,1.0,False,32,-0.010064950220864973,negligible
cit,r_cforest,90.0,0.002560090273618698,0.135684784501791,False,30,0.30650871919663913,small
cit,r_ctree,80.0,0.0011314544826745987,0.06675581447780132,False,30,0.4007962784824613,small
cit,rf,38.0,3.061257302761078e-06,0.00025714561343193054,True,32,-0.3168495028576704,small
cit,rfe,15.0,6.379559636116028e-08,6.251968443393707e-06,True,32,-0.3126189823972653,small
cit,xgb,62.0,5.433475598692894e-05,0.003749098163098097,True,32,-0.2849056957209662,small
cpi,et,19.0,2.859160304069519e-07,2.6590190827846527e-05,True,31,-0.5584462675171808,medium
cpi,lgbm,35.0,4.003755748271942e-06,0.0003323117271065712,True,31,-0.6208180037017981,medium
cpi,pi,41.0,0.00013536081360538934,0.008933813697955695,True,31,-0.26828194353813306,small
cpi,ptest_mc,45.0,1.5350058674812317e-05,0.001212654635310173,True,31,-0.4009092277690823,small
cpi,ptest_rdc,127.0,0.016678825952112675,0.617116560228169,False,31,-0.30385672978804606,small
cpi,r_cforest,193.0,0.42795460671186447,1.0,False,30,-0.09583504336432905,negligible
cpi,r_ctree,204.0,0.5698575973510742,1.0,False,30,-0.02018353668907262,negligible
cpi,rf,17.0,1.9278377294540405e-07,1.812167465686798e-05,True,31,-0.5914955130035938,medium
cpi,rfe,35.0,4.003755748271942e-06,0.0003323117271065712,True,31,-0.5995242512635435,medium
cpi,xgb,55.0,5.0222501158714294e-05,0.0035155750811100006,True,31,-0.5756028155552315,medium
et,lgbm,244.0,0.7190234316512942,1.0,False,32,-0.05850833667737135,negligible
et,pi,80.0,0.0005905693396925926,0.03661529906094074,True,31,0.31395418470786113,small
et,ptest_mc,55.0,2.54092738032341e-05,0.0018808292225003242,True,32,0.17303701125728693,negligible
et,ptest_rdc,56.0,2.8421171009540558e-05,0.0020747454836964607,True,32,0.27505999438217654,small
