method,avg_rank,std_rank,cd
cat,4.5,2.6801741236966925,3.791510720927508
rfe,4.516666666666667,3.241613110097434,3.791510720927508
lgbm,5.033333333333333,3.0053655721429675,3.791510720927508
rf,5.133333333333334,2.578543947441829,3.791510720927508
et,5.65,3.1388692231439013,3.791510720927508
cif,6.216666666666667,2.5484744892233517,3.791510720927508
xgb,7.233333333333333,3.333499995833541,3.791510720927508
ptest_mc,8.416666666666666,3.281471553366805,3.791510720927508
pi,9.3,3.828837943815329,3.791510720927508
boruta,9.316666666666666,4.673477173250008,3.791510720927508
cit,9.7,3.63455636907725,3.791510720927508
ptest_rdc,10.066666666666666,3.881007887420769,3.791510720927508
cpi,11.133333333333333,3.9283867200445304,3.791510720927508
r_cforest,11.4,3.746998799039039,3.791510720927508
r_ctree,12.383333333333333,3.458524091124549,3.791510720927508
