method,avg_rank,std_rank,cd
cat,4.433333333333334,2.485737091666955,3.791510720927508
rfe,4.65,3.101478142219717,3.791510720927508
rf,4.966666666666667,2.5882211823738883,3.791510720927508
lgbm,5.3,3.267516896156264,3.791510720927508
et,5.35,3.0197957988358524,3.791510720927508
cif,6.183333333333334,2.58354837814627,3.791510720927508
xgb,7.166666666666667,3.426206194742063,3.791510720927508
ptest_mc,8.416666666666666,3.082432300779514,3.791510720927508
pi,8.9,4.0091561871961705,3.791510720927508
boruta,9.516666666666667,4.803615536470652,3.791510720927508
cit,9.833333333333334,3.7245432232989617,3.791510720927508
ptest_rdc,10.3,3.5791060336346563,3.791510720927508
cpi,11.166666666666666,3.939825151224635,3.791510720927508
r_cforest,11.166666666666666,3.847798793538398,3.791510720927508
r_ctree,12.65,2.9015800293403364,3.791510720927508
