method,avg_rank,std_rank,cd
cat,4.6,2.537715508089904,3.791510720927508
rfe,4.766666666666667,3.392966581359478,3.791510720927508
rf,5.1,2.6627053911388696,3.791510720927508
lgbm,5.166666666666667,3.3274948868814542,3.791510720927508
et,5.566666666666666,3.0406505151949896,3.791510720927508
cif,6.1,2.5865034312755126,3.791510720927508
xgb,7.233333333333333,3.412558505806978,3.791510720927508
ptest_mc,8.366666666666667,3.17787490139069,3.791510720927508
pi,8.9,4.091454509095756,3.791510720927508
boruta,9.316666666666666,4.8140131098930565,3.791510720927508
cit,9.8,3.7273761995984964,3.791510720927508
ptest_rdc,10.066666666666666,3.7321426672742413,3.791510720927508
cpi,11.166666666666666,3.845632443290555,3.791510720927508
r_cforest,11.2,3.7806525010020877,3.791510720927508
r_ctree,12.65,2.935841730520681,3.791510720927508
