method,accuracy_mean,accuracy_ci_lo,accuracy_ci_hi,accuracy_formatted,f1_macro_mean,f1_macro_ci_lo,f1_macro_ci_hi,f1_macro_formatted,balanced_accuracy_mean,balanced_accuracy_ci_lo,balanced_accuracy_ci_hi,balanced_accuracy_formatted
boruta,0.7802162399841479,0.7325354934728138,0.8258663167110322,"0.780 [0.733, 0.826]",0.7604114708027172,0.7106131978712608,0.8055067515953798,"0.760 [0.711, 0.806]",0.7766077020905451,0.728556336011539,0.8223838361050179,"0.777 [0.729, 0.822]"
cat,0.818459542089236,0.7751371264817987,0.8589773569738468,"0.818 [0.775, 0.859]",0.799615526985175,0.7551059243994318,0.8408795503266118,"0.800 [0.755, 0.841]",0.8147623972468107,0.7727376081621709,0.8544165662863696,"0.815 [0.773, 0.854]"
cif,0.8017628660007645,0.7577697010039453,0.8441223368012534,"0.802 [0.758, 0.844]",0.7809972688110677,0.734630102845809,0.8240609278492598,"0.781 [0.735, 0.824]",0.7976028922608347,0.753613653023283,0.8402558535254322,"0.798 [0.754, 0.840]"
cit,0.7762257330885582,0.7328565345774112,0.8202585947561655,"0.776 [0.733, 0.820]",0.7525528480834218,0.7044496773563569,0.799412521119154,"0.753 [0.704, 0.799]",0.7715882976065391,0.7259736531851789,0.8162229275822771,"0.772 [0.726, 0.816]"
cpi,0.7284978460576783,0.676004934126661,0.7843717592007611,"0.728 [0.676, 0.784]",0.7091607704414864,0.657067281058104,0.7658700951328847,"0.709 [0.657, 0.766]",0.7291317258255089,0.6764327247322224,0.7837959570425831,"0.729 [0.676, 0.784]"
et,0.8080646266414264,0.7633496441072176,0.85078884801472,"0.808 [0.763, 0.851]",0.7907404858039948,0.7449574665705857,0.8325704825438718,"0.791 [0.745, 0.833]",0.8061696313016978,0.7622147575674597,0.847421941665059,"0.806 [0.762, 0.847]"
lgbm,0.8173859430189886,0.7749307194468795,0.8568742791174747,"0.817 [0.775, 0.857]",0.7982714194914818,0.7531700541774261,0.840329514215766,"0.798 [0.753, 0.840]",0.8129252544722909,0.7700045228920943,0.8520299878758357,"0.813 [0.770, 0.852]"
pi,0.7665291391775075,0.7186575051383358,0.8146903458021615,"0.767 [0.719, 0.815]",0.7495486646803545,0.704788599590787,0.7981039979465356,"0.750 [0.705, 0.798]",0.7684707293028334,0.7212364388462179,0.8167115414533662,"0.768 [0.721, 0.817]"
ptest_mc,0.7873508991952902,0.7416386748860042,0.8325846211743138,"0.787 [0.742, 0.833]",0.768337631967869,0.7250735268201328,0.8116153651069242,"0.768 [0.725, 0.812]",0.7850088400463273,0.7424363742104655,0.8289114413652491,"0.785 [0.742, 0.829]"
ptest_rdc,0.7752496229875416,0.7275562023991198,0.8225183819285873,"0.775 [0.728, 0.823]",0.753952849498736,0.7073782986787757,0.7994138935290853,"0.754 [0.707, 0.799]",0.7710612864773977,0.7265714688470059,0.8159354362600321,"0.771 [0.727, 0.816]"
r_cforest,0.7383259069913425,0.6889307071623608,0.7877805281574293,"0.738 [0.689, 0.788]",0.721757282473053,0.6752401683422147,0.7693989808029261,"0.722 [0.675, 0.769]",0.7397815792890418,0.6918747104148014,0.7888808939341375,"0.740 [0.692, 0.789]"
r_ctree,0.7274585447434752,0.6799943449528236,0.774341758772708,"0.727 [0.680, 0.774]",0.7103088285934116,0.6658807443530809,0.7562224651176248,"0.710 [0.666, 0.756]",0.7292427572989476,0.6814899569328794,0.7757204360893241,"0.729 [0.681, 0.776]"
rf,0.812357202762378,0.7667061862213561,0.8547896069333883,"0.812 [0.767, 0.855]",0.7953325299992193,0.7498258603496123,0.8373075627263605,"0.795 [0.750, 0.837]",0.8102275399480319,0.7661824725454672,0.8513852113178697,"0.810 [0.766, 0.851]"
rfe,0.8146975989071195,0.769979300766857,0.8563925265887101,"0.815 [0.770, 0.856]",0.7946401726127755,0.7499777898669895,0.8369502102570808,"0.795 [0.750, 0.837]",0.8096736561897074,0.766468925043049,0.8500452735639175,"0.810 [0.766, 0.850]"
xgb,0.8108116045227773,0.7677312654657139,0.8507741393256646,"0.811 [0.768, 0.851]",0.7906915069144194,0.7459347888542877,0.8321610998723638,"0.791 [0.746, 0.832]",0.806051772396366,0.7641129716104574,0.8461398960097543,"0.806 [0.764, 0.846]"
