method1,method2,statistic,p_value,p_value_corrected,significant,n_pairs,cohens_d,effect_size
boruta,cat,66.0,8.191913366317749e-05,0.004915148019790649,True,32,-0.3194551348788654,small
boruta,cif,193.0,0.1900944379158318,1.0,False,32,-0.15660557815236792,negligible
boruta,cit,210.0,0.32171454932540655,1.0,False,32,0.05236787666425127,negligible
boruta,cpi,123.0,0.01319857221096754,0.4619500273838639,False,31,0.345173025643967,small
boruta,et,117.0,0.005025593563914299,0.20604933612048626,False,32,-0.2221084804268975,small
boruta,lgbm,84.0,0.00043344777077436447,0.022972731851041317,True,32,-0.3175725690476205,small
boruta,pi,203.0,0.3883800162002444,1.0,False,31,0.0964478224813007,negligible
boruta,ptest_mc,251.0,0.8176742987707257,1.0,False,32,-0.023211578355525956,negligible
boruta,ptest_rdc,201.0,0.24621350597590208,1.0,False,32,0.08221702822030924,negligible
boruta,r_cforest,123.0,0.023410143330693245,0.7491245865821838,False,30,0.32628055826604174,small
boruta,r_ctree,92.0,0.006653403202997279,0.2528293217138966,False,30,0.41516475497506505,small
boruta,rf,118.0,0.005359220784157515,0.21436883136630058,False,32,-0.2660600415081314,small
boruta,rfe,123.0,0.007333340588957071,0.27133360179141164,False,32,-0.2962826061621299,small
boruta,xgb,135.0,0.014803256839513779,0.5033107325434685,False,32,-0.23884550814026317,small
cat,cif,75.0,0.0006984106608704659,0.03561894370439376,True,32,0.15931065811802403,negligible
cat,cit,5.0,4.6566128730773926e-09,4.6566128730773926e-07,True,32,0.3727623464802489,small
cat,cpi,7.0,1.7695128917694092e-08,1.6810372471809387e-06,True,31,0.6378266636569607,medium
cat,et,127.0,0.009339593350887299,0.33622536063194275,False,32,0.09357523255641897,negligible
cat,lgbm,210.0,0.32171454932540655,1.0,False,32,0.001882055491563744,negligible
cat,pi,18.0,2.3562461137771606e-07,1.9321218132972717e-05,True,31,0.4141310696620033,small
cat,ptest_mc,20.0,1.7276033759117126e-07,1.4684628695249557e-05,True,32,0.28800753245484856,small
cat,ptest_rdc,8.0,1.1641532182693481e-08,1.1175870895385742e-06,True,32,0.3910155157663851,small
cat,r_cforest,11.0,1.0244548320770264e-07,9.220093488693237e-06,True,30,0.6553024377325559,medium
cat,r_ctree,0.0,1.862645149230957e-09,1.955777406692505e-07,True,30,0.7620419733564706,medium
cat,rf,176.0,0.15825899104195218,1.0,False,32,0.04738085578399197,negligible
cat,rfe,263.0,0.9926442098803818,1.0,False,32,0.021654173366254612,negligible
cat,xgb,92.0,0.000837184488773346,0.0418592244386673,True,32,0.08351047943555456,negligible
cif,cit,53.0,2.0234379917383194e-05,0.001355703454464674,True,32,0.20889103070179008,small
cif,cpi,42.0,1.0450370609760284e-05,0.0007524266839027405,True,31,0.4964646951390367,small
cif,et,159.0,0.04976938618347049,1.0,False,32,-0.06488427454591764,negligible
cif,lgbm,92.0,0.000837184488773346,0.0418592244386673,True,32,-0.15745201244627186,negligible
cif,pi,97.0,0.0023254938423633575,0.10232172906398773,False,31,0.26280918293988514,small
cif,ptest_mc,152.0,0.03581887949258089,1.0,False,32,0.1298917731839363,negligible
cif,ptest_rdc,150.0,0.03248823946341872,1.0,False,32,0.23325730924378732,small
cif,r_cforest,11.0,1.0244548320770264e-07,9.220093488693237e-06,True,30,0.5264760061514852,medium
cif,r_ctree,1.0,3.725290298461914e-09,3.7997961044311523e-07,True,30,0.6240589851810265,medium
cif,rf,74.0,0.0006501081161352272,0.03380562203903181,True,32,-0.10937287967361199,negligible
cif,rfe,70.0,0.00012157298624515533,0.006808087229728699,True,32,-0.13713564579936843,negligible
cif,xgb,201.0,0.24621350597590208,1.0,False,32,-0.07833977488961681,negligible
cit,cpi,103.0,0.0035971812903881073,0.15467879548668861,False,31,0.32263750080524556,small
cit,et,48.0,1.1194031685590744e-05,0.0007947762496769428,True,32,-0.274553336054642,small
cit,lgbm,6.0,6.51925802230835e-09,6.388872861862183e-07,True,32,-0.37087344802921124,small
cit,pi,203.0,0.3883800162002444,1.0,False,31,0.07419617679051058,negligible
cit,ptest_mc,160.0,0.05208174558356404,1.0,False,32,-0.07445094706620528,negligible
cit,ptest_rdc,253.0,0.8464598199352622,1.0,False,32,0.031589156970259664,negligible
cit,r_cforest,54.0,8.856505155563354e-05,0.005225338041782379,True,30,0.33403403749294686,small
cit,r_ctree,55.0,9.90256667137146e-05,0.005743488669395447,True,30,0.42234547769207575,small
cit,rf,18.0,1.1781230568885803e-07,1.0367482900619507e-05,True,32,-0.3183099738607545,small
cit,rfe,3.0,2.3283064365386963e-09,2.398155629634857e-07,True,32,-0.3492904331294152,small
cit,xgb,48.0,1.1194031685590744e-05,0.0007947762496769428,True,32,-0.2923162712974575,small
cpi,et,12.0,6.51925802230835e-08,5.997717380523682e-06,True,31,-0.546216712561943,medium
cpi,lgbm,16.0,1.5739351511001587e-07,1.369323581457138e-05,True,31,-0.6369409582461811,medium
cpi,pi,38.0,0.00010387197393854377,0.005920702514496994,True,31,-0.2504166717709698,small
cpi,ptest_mc,55.0,5.0222501158714294e-05,0.003214240074157715,True,31,-0.359084506504699,small
cpi,ptest_rdc,104.0,0.0038599325343966484,0.16211716644465923,False,31,-0.2616226897190724,small
cpi,r_cforest,224.0,0.871207794174552,1.0,False,30,-0.03084951285864415,negligible
cpi,r_ctree,201.0,0.5291051845997572,1.0,False,30,0.03594629880989276,negligible
cpi,rf,5.0,9.313225746154785e-09,9.033828973770142e-07,True,31,-0.5854492924165556,medium
cpi,rfe,24.0,7.096678018569946e-07,5.7483091950416565e-05,True,31,-0.6182345654177864,medium
cpi,xgb,47.0,1.9677914679050446e-05,0.0013380981981754303,True,31,-0.5690509369765013,medium
et,lgbm,193.0,0.1900944379158318,1.0,False,32,-0.09171830724247342,negligible
et,pi,55.0,5.0222501158714294e-05,0.003214240074157715,True,31,0.31578117482906093,small
et,ptest_mc,58.0,3.54335643351078e-05,0.002338615246117115,True,32,0.19373073931399687,negligible
et,ptest_rdc,59.0,3.949552774429321e-05,0.002567209303379059,True,32,0.296543303961755,small
et,r_cforest,29.0,3.2391399145126343e-06,0.0002526529133319855,True,30,0.5591930706095817,medium
et,r_ctree,9.0,6.146728992462158e-08,5.716457962989807e-06,True,30,0.6590082152547885,medium
et,rf,157.0,0.07453982446665863,1.0,False,32,-0.04491456930738525,negligible
et,rfe,172.0,0.08720785705372691,1.0,False,32,-0.07173126948012455,negligible
et,xgb,212.0,0.34029899863526225,1.0,False,32,-0.012076689680610504,negligible
lgbm,pi,28.0,1.3811513781547546e-06,0.00010911095887422562,True,31,0.4132513403810652,small
lgbm,ptest_mc,44.0,6.794929504394531e-06,0.0005096197128295898,True,32,0.2861797263344491,small
lgbm,ptest_rdc,17.0,9.639188647270203e-08,8.771661669015884e-06,True,32,0.3892033263045316,small
lgbm,r_cforest,21.0,8.326023817062378e-07,6.660819053649902e-05,True,30,0.6646691071157222,medium
lgbm,r_ctree,1.0,3.725290298461914e-09,3.7997961044311523e-07,True,30,0.7718237581645699,medium
lgbm,rf,228.0,0.5119121475145221,1.0,False,32,0.04553906361408543,negligible
lgbm,rfe,244.0,0.7190234316512942,1.0,False,32,0.019782305872791305,negligible
lgbm,xgb,45.0,7.71600753068924e-06,0.0005709845572710037,True,32,0.08160873085616913,negligible
pi,ptest_mc,158.0,0.07933946698904037,1.0,False,31,-0.11561541045364965,negligible
pi,ptest_rdc,239.0,0.8695757398381829,1.0,False,31,-0.012826174132204462,negligible
pi,r_cforest,68.0,0.0003800932317972183,0.02052503451704979,True,30,0.23850868565222128,small
pi,r_ctree,78.0,0.0009517744183540344,0.04568517208099365,True,30,0.32079036688015383,small
pi,rf,17.0,1.9278377294540405e-07,1.619383692741394e-05,True,31,-0.35949047993970856,small
pi,rfe,41.0,9.162351489067078e-06,0.0006688516587018967,True,31,-0.39358334603895206,small
pi,xgb,89.0,0.0012524444609880447,0.05761244520545006,False,31,-0.3381072852886809,small
ptest_mc,ptest_rdc,169.0,0.07704806188121438,1.0,False,32,0.10302857504017197,negligible
ptest_mc,r_cforest,87.0,0.0020201820880174637,0.09090819396078587,False,30,0.3471046581388614,small
ptest_mc,r_ctree,78.0,0.0009517744183540344,0.04568517208099365,True,30,0.4348334769973377,small
ptest_mc,rf,49.0,1.2635253369808197e-05,0.0008718324825167656,True,32,-0.23672708610010854,small
ptest_mc,rfe,76.0,0.00021386053413152695,0.011762329377233982,True,32,-0.2656600943358417,small
ptest_mc,xgb,141.0,0.020511694252490997,0.6768859103322029,False,32,-0.20939281007772406,small
ptest_rdc,r_cforest,135.0,0.044907208532094955,1.0,False,30,0.24584369272152315,small
ptest_rdc,r_ctree,131.0,0.036434996873140335,1.0,False,30,0.3281185312724401,small
ptest_rdc,rf,43.0,5.974899977445602e-06,0.0004599597305059433,True,32,-0.3386149084970438,small
ptest_rdc,rfe,62.0,5.433475598692894e-05,0.0033687548711895943,True,32,-0.36847114842615847,small
ptest_rdc,xgb,62.0,5.433475598692894e-05,0.0033687548711895943,True,32,-0.31380777979765795,small
r_cforest,r_ctree,152.0,0.10039735585451126,1.0,False,30,0.07397255324942023,negligible
r_cforest,rf,14.0,2.0489096641540527e-07,1.7005950212478638e-05,True,30,-0.5974288085177252,medium
r_cforest,rfe,13.0,1.6391277313232422e-07,1.4096498489379883e-05,True,30,-0.6680278900200028,medium
r_cforest,xgb,33.0,5.973502993583679e-06,0.0004599597305059433,True,30,-0.5879978503648077,medium
r_ctree,rf,0.0,1.862645149230957e-09,1.955777406692505e-07,True,30,-0.6986699538398349,medium
r_ctree,rfe,2.0,5.587935447692871e-09,5.532056093215942e-07,True,30,-0.7751250202112794,medium
r_ctree,xgb,5.0,1.862645149230957e-08,1.7508864402770996e-06,True,30,-0.6913223863183617,medium
rf,rfe,202.0,0.36735385209832616,1.0,False,32,-0.02594033807403388,negligible
rf,xgb,157.0,0.045395012479275465,1.0,False,32,0.033906903841765396,negligible
rfe,xgb,118.0,0.005359220784157515,0.21436883136630058,False,32,0.061189759980409326,negligible
