method1,method2,statistic,p_value,p_value_corrected,significant,n_pairs,cohens_d,effect_size
boruta,cat,71.0,0.0001338697038590908,0.007898312527686357,True,32,-0.3289406138568189,small
boruta,cif,196.0,0.2099543111398816,1.0,False,32,-0.1496365855399132,negligible
boruta,cit,207.0,0.2950702649541199,1.0,False,32,0.08357550847387922,negligible
boruta,cpi,120.0,0.011014155112206936,0.41853789426386356,False,31,0.3659445006771306,small
boruta,et,114.0,0.0041310470551252365,0.1817660704255104,False,32,-0.24799799213994617,small
boruta,lgbm,93.0,0.0009061265736818314,0.04711858183145523,True,32,-0.31719025600585443,small
boruta,pi,201.0,0.3672574386000633,1.0,False,31,0.10422006067168262,negligible
boruta,ptest_mc,250.0,0.8033682219684124,1.0,False,32,-0.03901278362680448,negligible
boruta,ptest_rdc,202.0,0.2539480281993747,1.0,False,32,0.087150717715022,negligible
boruta,r_cforest,124.0,0.024786051362752914,0.7931536436080933,False,30,0.35043061682202964,small
boruta,r_ctree,89.0,0.005459684044325266,0.21766569465398788,False,30,0.44781984725464236,small
boruta,rf,112.0,0.003615216352045536,0.16268473584204912,False,32,-0.28995501463422874,small
boruta,rfe,133.0,0.01323032844811678,0.47629182413220406,False,32,-0.2812918468615741,small
boruta,xgb,148.0,0.02941882098093629,0.8211240172386169,False,32,-0.2287734153932934,small
cat,cif,94.0,0.002545598124998869,0.12218870999994572,False,32,0.1695517925613053,negligible
cat,cit,5.0,4.6566128730773926e-09,4.6566128730773926e-07,True,32,0.4035957594900678,small
cat,cpi,9.0,3.073364496231079e-08,2.919696271419525e-06,True,31,0.6650216964435378,medium
cat,et,146.0,0.026594987604767084,0.7978496281430125,False,32,0.07846985662764767,negligible
cat,lgbm,206.0,0.28651781333610415,1.0,False,32,0.011088500191298607,negligible
cat,pi,36.0,4.6193599700927734e-06,0.00035569071769714355,True,31,0.42874765448610797,small
cat,ptest_mc,24.0,3.548339009284973e-07,3.051571547985077e-05,True,32,0.28669109336538945,small
cat,ptest_rdc,12.0,3.259629011154175e-08,3.0640512704849243e-06,True,32,0.4063051730156473,small
cat,r_cforest,18.0,4.7124922275543213e-07,3.911368548870087e-05,True,30,0.6883741106965314,medium
cat,r_ctree,0.0,1.862645149230957e-09,1.955777406692505e-07,True,30,0.8077127378585137,large
cat,rf,187.0,0.2319349847309139,1.0,False,32,0.033587508998388034,negligible
cat,rfe,249.0,0.78912592260167,1.0,False,32,0.04431424729935497,negligible
cat,xgb,84.0,0.00043344777077436447,0.02427307516336441,True,32,0.10103039103422164,negligible
cif,cit,47.0,9.902752935886383e-06,0.0006931927055120468,True,32,0.22753737598375615,small
cif,cpi,40.0,8.019618690013885e-06,0.0005709845572710037,True,31,0.5344610585969867,medium
cif,et,131.0,0.011802620720118284,0.4366969666443765,False,32,-0.0923161541249044,negligible
cif,lgbm,114.0,0.0041310470551252365,0.1817660704255104,False,32,-0.15849091252703226,negligible
cif,pi,102.0,0.0033502401784062386,0.15411104820668697,False,31,0.28870589174945155,small
cif,ptest_mc,144.0,0.02400159277021885,0.792052561417222,False,32,0.11034368084223671,negligible
cif,ptest_rdc,147.0,0.02797716623172164,0.8113378207199275,False,32,0.23068355582149921,small
cif,r_cforest,13.0,1.6391277313232422e-07,1.4588236808776855e-05,True,30,0.5724083848747514,medium
cif,r_ctree,1.0,3.725290298461914e-09,3.7997961044311523e-07,True,30,0.6820379036930843,medium
cif,rf,72.0,0.0005626835235999877,0.03067911835387349,True,32,-0.1342666417068517,negligible
cif,rfe,107.0,0.0025649620220065117,0.12218870999994572,False,32,-0.12495178585341914,negligible
cif,xgb,221.0,0.4319446589797735,1.0,False,32,-0.07222408788829891,negligible
cit,cpi,105.0,0.00413934513926506,0.1817660704255104,False,31,0.3344344727319092,small
cit,et,44.0,6.794929504394531e-06,0.0005096197128295898,True,32,-0.3246074804999989,small
cit,lgbm,6.0,6.51925802230835e-09,6.388872861862183e-07,True,32,-0.392093498101486,small
cit,pi,214.0,0.5167645234614611,1.0,False,31,0.07027949956531816,negligible
cit,ptest_mc,145.0,0.025270413141697645,0.7931536436080933,False,32,-0.12096276895874761,negligible
cit,ptest_rdc,246.0,0.7468255525454879,1.0,False,32,0.0036907264660223003,negligible
cit,r_cforest,59.0,0.0001528710126876831,0.00886651873588562,True,30,0.3493218810451332,small
cit,r_ctree,56.0,0.00011058151721954346,0.006728542968630791,True,30,0.44661886340366425,small
cit,rf,16.0,7.869675755500793e-08,7.161404937505722e-06,True,32,-0.3648744629003018,small
cit,rfe,3.0,2.3283064365386963e-09,2.398155629634857e-07,True,32,-0.35680662378903805,small
cit,xgb,45.0,7.71600753068924e-06,0.0005709845572710037,True,32,-0.3065098201910101,small
cpi,et,10.0,4.0046870708465576e-08,3.7243589758872986e-06,True,31,-0.5907035608147293,medium
cpi,lgbm,21.0,4.163011908531189e-07,3.5385601222515106e-05,True,31,-0.6624352158955662,medium
cpi,pi,31.0,5.513331125702859e-05,0.003477424383163452,True,31,-0.26442197280189883,small
cpi,ptest_mc,52.0,3.570038825273514e-05,0.002320525236427784,True,31,-0.3988741534891804,small
cpi,ptest_rdc,109.0,0.005441642366349697,0.21766569465398788,False,31,-0.28609441165077326,small
cpi,r_cforest,227.0,0.9192965272814035,1.0,False,30,-0.03057184378475346,negligible
cpi,r_ctree,199.0,0.5027610473334789,1.0,False,30,0.04051638179941124,negligible
cpi,rf,4.0,6.51925802230835e-09,6.388872861862183e-07,True,31,-0.6292047395484754,medium
cpi,rfe,22.0,4.991888999938965e-07,4.093348979949951e-05,True,31,-0.6398547130832902,medium
cpi,xgb,50.0,2.8248876333236694e-05,0.0018644258379936218,True,31,-0.5923094729713524,medium
et,lgbm,227.0,0.5000474993139505,1.0,False,32,-0.0673040982377643,negligible
et,pi,62.0,0.00010677427053451538,0.006620004773139954,True,31,0.34869043784762327,small
et,ptest_mc,42.0,5.245208740234375e-06,0.0003986358642578125,True,32,0.2069082995706415,small
et,ptest_rdc,45.0,7.71600753068924e-06,0.0005709845572710037,True,32,0.3275363881200224,small
et,r_cforest,21.0,8.326023817062378e-07,6.744079291820526e-05,True,30,0.61179144231221,medium
et,r_ctree,8.0,4.6566128730773926e-08,4.284083843231201e-06,True,30,0.7246358347655307,medium
et,rf,181.0,0.18919355679705585,1.0,False,32,-0.04376392486744082,negligible
et,rfe,228.0,0.5119121475145221,1.0,False,32,-0.033658754485758106,negligible
et,xgb,193.0,0.1900944379158318,1.0,False,32,0.021507022595595685,negligible
lgbm,pi,48.0,2.2230669856071472e-05,0.00151168555021286,True,31,0.42594314903446073,small
lgbm,ptest_mc,69.0,0.00011030398309230804,0.006728542968630791,True,32,0.27515076769750324,small
lgbm,ptest_rdc,22.0,2.4959444999694824e-07,2.1714717149734497e-05,True,32,0.394834969522239,small
lgbm,r_cforest,23.0,1.1920928955078125e-06,9.5367431640625e-05,True,30,0.6961208419543524,medium
lgbm,r_ctree,1.0,3.725290298461914e-09,3.7997961044311523e-07,True,30,0.815881048032423,large
lgbm,rf,255.0,0.8754460029304028,1.0,False,32,0.022630364141866793,negligible
lgbm,rfe,238.0,0.637883335351944,1.0,False,32,0.03325480164751761,negligible
lgbm,xgb,53.0,2.0234379917383194e-05,0.0013961722142994404,True,32,0.08968619096684129,negligible
pi,ptest_mc,158.0,0.07933946698904037,1.0,False,31,-0.14142249858129124,negligible
pi,ptest_rdc,246.0,0.9768865816295147,1.0,False,31,-0.023762519973357356,negligible
pi,r_cforest,66.0,0.00031275488436222076,0.017827028408646584,True,30,0.25510844083235534,small
