method1,method2,statistic,p_value,p_value_corrected,significant,n_pairs,cohens_d,effect_size
boruta,cat,70.0,0.00012157298624515533,0.007051233202219009,True,32,-0.3335990115953843,small
boruta,cif,196.0,0.2099543111398816,1.0,False,32,-0.14524830208953274,negligible
boruta,cit,206.0,0.28651781333610415,1.0,False,32,0.09445599955436751,negligible
boruta,cpi,123.0,0.01319857221096754,0.5015457440167665,False,31,0.3826162754155572,small
boruta,et,114.0,0.0041310470551252365,0.17763502337038517,False,32,-0.25110985040644207,small
boruta,lgbm,89.0,0.0006575542502105236,0.03485037526115775,True,32,-0.33222711768419677,small
boruta,pi,201.0,0.3672574386000633,1.0,False,31,0.11566827054665478,negligible
boruta,ptest_mc,249.0,0.78912592260167,1.0,False,32,-0.03525744712729043,negligible
boruta,ptest_rdc,196.0,0.2099543111398816,1.0,False,32,0.09458996522248275,negligible
boruta,r_cforest,124.0,0.024786051362752914,0.7931536436080933,False,30,0.3550802826666383,small
boruta,r_ctree,87.0,0.004775081659652942,0.19481889717280865,False,30,0.45523739823956605,small
boruta,rf,111.0,0.0033791903406381607,0.14868437498807907,False,32,-0.296659257118709,small
boruta,rfe,134.0,0.013997930567711592,0.5179234310053289,False,32,-0.2922423968673626,small
boruta,xgb,142.0,0.021623995155096054,0.7568398304283619,False,32,-0.23852691732933512,small
cat,cif,87.0,0.001604740386917619,0.0775809045881033,False,32,0.1785693715022757,negligible
cat,cit,5.0,4.6566128730773926e-09,4.6566128730773926e-07,True,32,0.4125260745627939,small
cat,cpi,8.0,2.3283064365386963e-08,2.2118911147117615e-06,True,31,0.6809822519824368,medium
cat,et,142.0,0.021623995155096054,0.7568398304283619,False,32,0.08132679668366032,negligible
cat,lgbm,229.0,0.5239179385825992,1.0,False,32,0.0009803458416454752,negligible
cat,pi,31.0,2.2118911147117615e-06,0.00017473939806222916,True,31,0.4420234108071584,small
cat,ptest_mc,28.0,6.905756890773773e-07,5.731778219342232e-05,True,32,0.29351682145147945,small
cat,ptest_rdc,11.0,2.561137080192566e-08,2.407468855381012e-06,True,32,0.4147670855521975,small
cat,r_cforest,17.0,3.855675458908081e-07,3.277324140071869e-05,True,30,0.6983228796585768,medium
cat,r_ctree,0.0,1.862645149230957e-09,1.955777406692505e-07,True,30,0.8209244161226036,large
cat,rf,176.0,0.15825899104195218,1.0,False,32,0.03293248629551773,negligible
cat,rfe,258.0,0.91921989293769,1.0,False,32,0.03856072150536862,negligible
cat,xgb,90.0,0.0007131760939955711,0.0370851568877697,True,32,0.09626800557206605,negligible
cif,cit,56.0,2.8421171009540558e-05,0.001932639628648758,True,32,0.23134737445506975,small
cif,cpi,44.0,1.3524666428565979e-05,0.0009737759828567505,True,31,0.5449387918866766,medium
cif,et,144.0,0.02400159277021885,0.792052561417222,False,32,-0.09917764082579897,negligible
cif,lgbm,98.0,0.0013326280750334263,0.06663140375167131,False,32,-0.17741440188434615,negligible
cif,pi,107.0,0.004751680418848991,0.19481889717280865,False,31,0.2947836538384696,small
cif,ptest_mc,161.0,0.05448048235848546,1.0,False,32,0.1090329171578101,negligible
cif,ptest_rdc,151.0,0.03411991102620959,0.9553575087338686,False,32,0.23228441785305634,small
cif,r_cforest,11.0,1.0244548320770264e-07,9.32253897190094e-06,True,30,0.5821399462145601,medium
cif,r_ctree,1.0,3.725290298461914e-09,3.7997961044311523e-07,True,30,0.6955737998246782,medium
cif,rf,76.0,0.0007500311345902855,0.03825158786410456,True,32,-0.14455429886089557,negligible
cif,rfe,86.0,0.0005131973884999752,0.02873905375599861,True,32,-0.13974724714400755,negligible
cif,xgb,209.0,0.31266863038763404,1.0,False,32,-0.08597615250570795,negligible
cit,cpi,105.0,0.00413934513926506,0.17763502337038517,False,31,0.34676782994010485,small
cit,et,47.0,9.902752935886383e-06,0.0007328037172555923,True,32,-0.33394846025418556,small
cit,lgbm,6.0,6.51925802230835e-09,6.388872861862183e-07,True,32,-0.41116682093355306,small
cit,pi,206.0,0.42137710005044937,1.0,False,31,0.07868140676173623,negligible
cit,ptest_mc,148.0,0.02941882098093629,0.8825646294280887,False,32,-0.12712308946460132,negligible
cit,ptest_rdc,244.0,0.7190234316512942,1.0,False,32,-0.00040945415130241457,negligible
cit,r_cforest,54.0,8.856505155563354e-05,0.005402468144893646,True,30,0.35306799971101205,small
cit,r_ctree,55.0,9.90256667137146e-05,0.005842514336109161,True,30,0.45234966855613373,small
cit,rf,18.0,1.1781230568885803e-07,1.0485295206308365e-05,True,32,-0.376819845666556,small
cit,rfe,3.0,2.3283064365386963e-09,2.398155629634857e-07,True,32,-0.37281112121525856,small
cit,xgb,46.0,8.74791294336319e-06,0.0006560934707522392,True,32,-0.32237706099758134,small
cpi,et,10.0,4.0046870708465576e-08,3.7243589758872986e-06,True,31,-0.6054124107804095,medium
cpi,lgbm,14.0,1.0244548320770264e-07,9.32253897190094e-06,True,31,-0.6849969201824062,medium
cpi,pi,34.0,7.252170003228449e-05,0.004568867102033923,True,31,-0.26989891294892043,small
cpi,ptest_mc,51.0,3.177858889102936e-05,0.002127449493855238,True,31,-0.40762066461489,small
cpi,ptest_rdc,109.0,0.005441642366349697,0.2122240522876382,False,31,-0.2916597252348609,small
cpi,r_cforest,216.0,0.7456546742469072,1.0,False,30,-0.04729093037757241,negligible
cpi,r_ctree,200.0,0.5158484429121017,1.0,False,30,0.02361845749532159,negligible
cpi,rf,4.0,6.51925802230835e-09,6.388872861862183e-07,True,31,-0.6465523582574354,medium
cpi,rfe,20.0,3.4552067518234253e-07,2.9714778065681458e-05,True,31,-0.658876155223845,medium
cpi,xgb,48.0,2.2230669856071472e-05,0.0015783775597810745,True,31,-0.6115502845916391,medium
et,lgbm,206.0,0.28651781333610415,1.0,False,32,-0.08024765875495729,negligible
et,pi,60.0,8.656829595565796e-05,0.0053672343492507935,True,31,0.35944642275020383,small
et,ptest_mc,57.0,3.175297752022743e-05,0.002127449493855238,True,32,0.21244226172470027,small
et,ptest_rdc,55.0,2.54092738032341e-05,0.001753239892423153,True,32,0.3356218856647246,small
et,r_cforest,27.0,2.348795533180237e-06,0.00018320605158805847,True,30,0.6194751398617008,medium
et,r_ctree,10.0,8.009374141693115e-08,7.368624210357666e-06,True,30,0.7359207518502713,medium
et,rf,184.0,0.13863924238830805,1.0,False,32,-0.04746913810512145,negligible
et,rfe,212.0,0.34029899863526225,1.0,False,32,-0.04217933143541538,negligible
et,xgb,205.0,0.2781296819448471,1.0,False,32,0.014264687736605592,negligible
lgbm,pi,37.0,5.317851901054382e-06,0.00040415674448013306,True,31,0.4464469167899348,small
lgbm,ptest_mc,63.0,6.0301274061203e-05,0.003859281539916992,True,32,0.2922139379558032,small
lgbm,ptest_rdc,23.0,2.980232238769531e-07,2.5928020477294922e-05,True,32,0.41339313836329206,small
lgbm,r_cforest,23.0,1.1920928955078125e-06,9.655952453613281e-05,True,30,0.7140294143973567,medium
lgbm,r_ctree,1.0,3.725290298461914e-09,3.7997961044311523e-07,True,30,0.8377512629514515,large
lgbm,rf,233.0,0.573302308563143,1.0,False,32,0.03192375108450544,negligible
lgbm,rfe,237.0,0.6247301651164889,1.0,False,32,0.03754066821093849,negligible
lgbm,xgb,47.0,9.902752935886383e-06,0.0007328037172555923,True,32,0.09516106847164717,negligible
pi,ptest_mc,155.0,0.06948136258870363,1.0,False,31,-0.14545999599880177,negligible
pi,ptest_rdc,243.0,0.9307350646704435,1.0,False,31,-0.024777340001616917,negligible
pi,r_cforest,68.0,0.0003800932317972183,0.021665314212441444,True,30,0.24695608336567387,small
pi,r_ctree,86.0,0.0018640067428350449,0.08574431017041206,False,30,0.33778326825254873,small
pi,rf,24.0,7.096678018569946e-07,5.819275975227356e-05,True,31,-0.4057779276960708,small
pi,rfe,48.0,2.2230669856071472e-05,0.0015783775597810745,True,31,-0.4181944242339423,small
pi,xgb,92.0,0.001587800681591034,0.0775809045881033,False,31,-0.3645546694080261,small
ptest_mc,ptest_rdc,165.0,0.06498370366171002,1.0,False,32,0.12744407259703625,negligible
ptest_mc,r_cforest,84.0,0.0015832837671041489,0.0775809045881033,False,30,0.3894026670780054,small
ptest_mc,r_ctree,73.0,0.0006084088236093521,0.032854076474905014,True,30,0.48995825758890127,small
ptest_mc,rf,57.0,3.175297752022743e-05,0.002127449493855238,True,32,-0.25762974979091546,small
ptest_mc,rfe,110.0,0.0031568114645779133,0.1420565159060061,False,32,-0.2531383976853171,small
ptest_mc,xgb,151.0,0.03411991102620959,0.9553575087338686,False,32,-0.19978345076797843,negligible
ptest_rdc,r_cforest,136.0,0.047259049490094185,1.0,False,30,0.2650991287824016,small
ptest_rdc,r_ctree,125.0,0.026228994131088257,0.813098818063736,False,30,0.3562714602806992,small
ptest_rdc,rf,35.0,2.0042061805725098e-06,0.00016033649444580078,True,32,-0.3787604533311717,small
ptest_rdc,rfe,86.0,0.0005131973884999752,0.02873905375599861,True,32,-0.37473708323999794,small
ptest_rdc,xgb,67.0,9.054644033312798e-05,0.0054327864199876785,True,32,-0.3239926169903682,small
r_cforest,r_ctree,155.0,0.11417667381465435,1.0,False,30,0.0813134371712146,negligible
r_cforest,rf,12.0,1.30385160446167e-07,1.1473894119262695e-05,True,30,-0.6602382821970912,medium
r_cforest,rfe,17.0,3.855675458908081e-07,3.277324140071869e-05,True,30,-0.7119248751226991,medium
r_cforest,xgb,30.0,3.7904828786849976e-06,0.0002918671816587448,True,30,-0.6297398712623321,medium
r_ctree,rf,0.0,1.862645149230957e-09,1.955777406692505e-07,True,30,-0.7784593546751314,medium
r_ctree,rfe,2.0,5.587935447692871e-09,5.532056093215942e-07,True,30,-0.8357306042828486,large
r_ctree,xgb,5.0,1.862645149230957e-08,1.7881393432617188e-06,True,30,-0.7483681165477792,medium
rf,rfe,249.0,0.78912592260167,1.0,False,32,0.005425033060311819,negligible
rf,xgb,149.0,0.030921863857656717,0.8967340518720448,False,32,0.061955908580274645,negligible
rfe,xgb,135.0,0.014803256839513779,0.532917246222496,False,32,0.05668370148906707,negligible
